rule_id,status,review_action_bucket,review_category,triage_priority,likely_status,likely_correct_score,rule_object,constraint_scope,applies_to,operator,value,unit,condition,support_gaps,source_page,evidence_id,evidence_quote,rule_sentence
vancouver_rs_004,review_needed,upstream_candidate_issue,possible_rule_object_mismatch,low,plausible,0.56,floor_area,floor_area,main habitable room in a laneway house,>=,16.7,m2,laneway house with separate bedrooms,text_candidate_requires_review; rule_family_direction_mismatch; rule_object_not_supported,8,m4_pack_0002_ev_001,"1 main habitable room that is not a bedroom, with a minimum size of 16.7 m2",main habitable room in a laneway house: floor area for floor area must be at least 16.7 m2 when laneway house with separate bedrooms.
vancouver_rs_005,review_needed,retry_with_better_evidence,possible_rule_object_mismatch,low,plausible,0.562,floor_area,floor_area,bedroom in a laneway house,>=,8.4,m2,laneway house with separate bedrooms,text_candidate_requires_review; rule_family_direction_mismatch; rule_object_not_supported,8,m4_pack_0002_ev_002,at least 1 bedroom with a minimum size of 8.4 m2,bedroom in a laneway house: floor area for floor area must be at least 8.4 m2 when laneway house with separate bedrooms.
vancouver_rs_008,review_needed,defer_low_priority,general_review,medium,likely_correct,0.842,floor_area,floor_area,laneway house,<=,0.25,,multiplied by the site area,coefficient_operand_not_value,8,m4_pack_0004_ev_001,The floor area for a laneway house must not exceed the lesser of: (a) 0.25 multiplied by the site area,laneway house: floor area for floor area must be no more than 0.25 when multiplied by the site area.
vancouver_rs_009,review_needed,defer_low_priority,upstream_review_requested,medium,likely_correct,0.848,floor_area,floor_area,laneway house,<=,186,m2,,upstream_extraction_requested_review; extraction_source_fidelity_hold,8,m4_pack_0004_ev_002,11.3.8.2 The floor area for a laneway house must not exceed the lesser of: (a) 0.25 multiplied by the site area; and (b) 186 m2.,laneway house: floor area for floor area must be no more than 186 m2.
vancouver_rs_013,review_needed,upstream_candidate_issue,possible_rule_object_mismatch,low,plausible,0.614,building_separation,building_separation,laneway house,>=,4.9,m,from the single detached house or single detached house with secondary suite,text_candidate_requires_review; rule_object_not_supported,8,m4_pack_0007_ev_001,"A laneway house must be at least: (a) 4.9 m, measured across the width of the site, from the single detached house",laneway house: building separation for building separation must be at least 4.9 m when from the single detached house or single detached house with secondary suite.
vancouver_rs_014,review_needed,retry_with_better_evidence,operator_uncertain,low,likely_wrong_or_noise,0.276,setback,setback,laneway house,>=,0.9,m,from the ultimate rear property line,text_candidate_requires_review; applies_to_not_supported; operator_not_supported; rule_object_not_supported,8,m4_pack_0007_ev_002,(b) 0.9 m from the ultimate rear property line,laneway house: setback for setback must be at least 0.9 m when from the ultimate rear property line.
vancouver_rs_015,review_needed,retry_with_better_evidence,operator_uncertain,low,likely_wrong_or_noise,0.289,setback,setback,laneway house,>=,1.2,m,from each side property line,text_candidate_requires_review; applies_to_not_supported; operator_not_supported; rule_object_not_supported,8,m4_pack_0007_ev_003,"(c) 1.2 m from each side property line, except that the Director of Planning may reduce this requirement for sites less than 10.1 m in width.",laneway house: setback for setback must be at least 1.2 m when from each side property line.
vancouver_rs_017,review_needed,retry_with_better_evidence,general_review,medium,likely_correct,0.811,floor_area,floor_area,common space,>,4,m2,per unit,text_candidate_requires_review; rule_family_direction_mismatch,7,m4_pack_0009_ev_001,any floor area for common space that exceeds 4 m2 per unit,common space: floor area for floor area must be at least 4 m2 when per unit.
vancouver_rs_019,review_needed,defer_low_priority,general_review,medium,likely_correct,0.879,floor_area,floor_area,dwelling unit,>=,37,m2,except for a lock-off unit,text_candidate_requires_review; rule_family_direction_mismatch,4,m4_pack_0010_ev_001,"the floor area of each: (a) dwelling unit, except for a lock-off unit, must be at least 37 m2",dwelling unit: floor area for floor area must be at least 37 m2 when except for a lock-off unit.
vancouver_rs_021,review_needed,defer_low_priority,general_review,medium,likely_correct,0.795,floor_area,floor_area,micro dwelling,>=,29.7,m2,,text_candidate_requires_review; rule_family_direction_mismatch,5,m4_pack_0015_ev_001,The floor area of a micro dwelling must be at least 29.7 m2,micro dwelling: floor area for floor area must be at least 29.7 m2.
vancouver_rs_022,review_needed,evidence_packet_repair_candidate,missing_scope_evidence,medium,plausible,0.64,setback,setback,side yards,>=,6.0,m,,upstream_extraction_requested_review; extraction_source_fidelity_hold; text_candidate_requires_review; constraint_scope_not_supported,11,m4_pack_0050_ev_001,side yards must have a minimum width of 6.0 m,side yards: setback for setback must be at least 6.0 m.
vancouver_rs_023,review_needed,retry_with_better_evidence,missing_scope_evidence,medium,plausible,0.633,setback,setback,interior side yards,>=,4.5,m,,upstream_extraction_requested_review; extraction_source_fidelity_hold; text_candidate_requires_review; constraint_scope_not_supported,11,m4_pack_0051_ev_001,interior side yards must have a minimum width of 4.5 m,interior side yards: setback for setback must be at least 4.5 m.
vancouver_rs_024,review_needed,retry_with_better_evidence,operator_uncertain,low,weak,0.434,setback,setback,interior side yards,>=,0.3,m,for every 0.6 m by which the height of the building exceeds 10.7 m,upstream_extraction_requested_review; extraction_source_fidelity_hold; text_candidate_requires_review; applies_to_not_supported; operator_not_supported,11,m4_pack_0051_ev_002,an additional 0.3 m for every 0.6 m by which the height of the building exceeds 10.7 m,interior side yards: setback for setback must be at least 0.3 m when for every 0.6 m by which the height of the building exceeds 10.7 m.
vancouver_rs_025,review_needed,retry_with_better_evidence,upstream_review_requested,medium,likely_correct,0.804,height,height,building,>,10.7,m,,upstream_extraction_requested_review; extraction_source_fidelity_hold; text_candidate_requires_review; rule_family_direction_mismatch,11,m4_pack_0051_ev_003,height of the building exceeds 10.7 m,building: height for height must be at least 10.7 m.
vancouver_rs_026,review_needed,upstream_candidate_issue,possible_rule_object_mismatch,low,plausible,0.55,lot_area,lot_area,site,>=,2000,m2,,upstream_extraction_requested_review; extraction_source_fidelity_hold; text_candidate_requires_review; rule_object_not_supported,12,m4_pack_0061_ev_001,"The site area must be at least 2,000 m2",site: lot area for lot area must be at least 2000 m2.
