original_rule_id,retry_decision,promotion_ready,rule_object,constraint_scope,applies_to,operator,value,unit,condition,original_evidence_id,retry_evidence_id,retry_evidence_page,retry_support_gaps,promotion_risk_flags,promotion_recommendation,retry_evidence_quote,rule_sentence
burnaby_r1_002,rejected,False,lot_area,lot_area,lot,<=,280,m2,Maximum Lot Area,m4_pack_0002_ev_002,m4_pack_0002_ev_001,1,text_candidate_requires_review; rule_family_direction_mismatch; value_not_found_in_evidence,,Keep in review; inspect rerun gaps and cited evidence before changing verifier behavior.,"Minimum Lot Area - 281 m2 are Facilities 101.5.6 Accessory Use Use-Specific Regulations Boarding Use (up to 2 boarders) - Home Occupations 6.8, 6.8A Urban Agriculture 6.30 Accessory Buildings, Structures, and Uses 101.5.5, 6.6 (B/L No. 14694-24-11-04) 101.3...",lot: lot area for lot area must be no more than 280 m2 when Maximum Lot Area.
burnaby_r1_003,review_needed,False,dwelling_units,dwelling_units,small-scale multi-unit lots,,1,units,,m4_pack_0004_ev_001,m4_pack_0008_ev_001,5,upstream_extraction_requested_review; text_candidate_requires_review,,Keep in review; inspect rerun gaps and cited evidence before changing verifier behavior.,"1 to 3 small-scale multi-unit dwelling units on a lot (2) An accessory structure not being a building, excluding a fence or a retaining wall, located outside of a required yard, shall not exceed 4.6 m in height. 101.5.6 Child Care Facilities (1) A child car...",small-scale multi-unit lots: dwelling units for dwelling units has value 1 units.
burnaby_r1_004,review_needed,False,dwelling_units,dwelling_units,small-scale multi-unit lots,,3,units,,m4_pack_0004_ev_002,m4_pack_0008_ev_001,5,upstream_extraction_requested_review; text_candidate_requires_review,,Keep in review; inspect rerun gaps and cited evidence before changing verifier behavior.,"1 to 3 small-scale multi-unit dwelling units on a lot (2) An accessory structure not being a building, excluding a fence or a retaining wall, located outside of a required yard, shall not exceed 4.6 m in height. 101.5.6 Child Care Facilities (1) A child car...",small-scale multi-unit lots: dwelling units for dwelling units has value 3 units.
burnaby_r1_006,rejected,False,impervious_surface,impervious_surface,lots in the R1 District on the Community Heritage Register,<=,70,%,subject to approval of the Director of Planning and Development and the registration of a Section 219 Covenant,m4_pack_0006_ev_002,m4_pack_0006_ev_001,6,text_candidate_requires_review; text_condition_not_supported; value_not_found_in_evidence; applies_to_not_supported,,Keep in review; inspect rerun gaps and cited evidence before changing verifier behavior.,"maximum lot coverage as set out in Section 101.4 may be increased up to 60% ge character, some or all of the following regulations may apply to lots in the R1 District on the Community Heritage Register: (a) panhandle lots and other irregularly shaped lots...",lots in the R1 District on the Community Heritage Register: impervious surface for impervious surface must be no more than 70 % when subject to approval of the Director of Planning and Development and the registration of a Section 219 Covenant.
burnaby_r1_007,rejected,False,setback,setback,street yards,>=,2.0,m,lots in the R1 District on the Community Heritage Register,m4_pack_0006_ev_003,m4_pack_0006_ev_001,6,text_candidate_requires_review; value_not_found_in_evidence; unit_not_found_in_evidence; rule_object_not_supported,,Keep in review; inspect rerun gaps and cited evidence before changing verifier behavior.,"maximum lot coverage as set out in Section 101.4 may be increased up to 60% ge character, some or all of the following regulations may apply to lots in the R1 District on the Community Heritage Register: (a) panhandle lots and other irregularly shaped lots...",street yards: setback for setback must be at least 2.0 m when lots in the R1 District on the Community Heritage Register.
burnaby_r1_008,review_needed,False,dwelling_units,dwelling_units,small-scale multi-unit,,1,units,on a lot,m4_pack_0008_ev_001,m4_pack_0008_ev_002,5,upstream_extraction_requested_review; text_candidate_requires_review,,Keep in review; inspect rerun gaps and cited evidence before changing verifier behavior.,"1 to 3 small-scale multi-unit dwelling units on a lot (2) An accessory structure not being a building, excluding a fence or a retaining wall, located outside of a required yard, shall not exceed 4.6 m in height. 101.5.6 Child Care Facilities (1) A child car...",small-scale multi-unit: dwelling units for dwelling units has value 1 units when on a lot.
burnaby_r1_009,review_needed,False,dwelling_units,dwelling_units,small-scale multi-unit,,3,units,on a lot,m4_pack_0008_ev_002,m4_pack_0008_ev_001,5,upstream_extraction_requested_review; text_candidate_requires_review,,Keep in review; inspect rerun gaps and cited evidence before changing verifier behavior.,"1 to 3 small-scale multi-unit dwelling units on a lot (2) An accessory structure not being a building, excluding a fence or a retaining wall, located outside of a required yard, shall not exceed 4.6 m in height. 101.5.6 Child Care Facilities (1) A child car...",small-scale multi-unit: dwelling units for dwelling units has value 3 units when on a lot.
burnaby_r1_010,review_needed,False,dwelling_units,dwelling_units,dwelling units,,1,units,Total Dwelling Units on a Lot 1 to 3 Units,m4_pack_0017_ev_001,m4_pack_0008_ev_001,5,upstream_extraction_requested_review; text_candidate_requires_review,,Keep in review; inspect rerun gaps and cited evidence before changing verifier behavior.,"1 to 3 small-scale multi-unit dwelling units on a lot (2) An accessory structure not being a building, excluding a fence or a retaining wall, located outside of a required yard, shall not exceed 4.6 m in height. 101.5.6 Child Care Facilities (1) A child car...",dwelling units: dwelling units for dwelling units has value 1 units when Total Dwelling Units on a Lot 1 to 3 Units.
burnaby_r1_012,rejected,False,dwelling_units,dwelling_units,dwelling units,,4,units,Total Dwelling Units on a Lot 4 to 6 Units,m4_pack_0017_ev_003,burnaby_r1_matrix_p2_t0_b0_001,2,upstream_extraction_requested_review; extraction_source_fidelity_hold; value_not_found_in_evidence; operator_not_supported,,Keep in review; inspect rerun gaps and cited evidence before changing verifier behavior.,Permitted Dwelling Units (including secondary suites) Permitted Dwelling Units (including secondary suites) Rowhouse 1 to 3 Units 1 to 3 Units Permitted Dwelling Units (including secondary suites) | Rowhouse 1 to 3 Units | 1 to 3 Units 101.4 Development Reg...,dwelling units: dwelling units for dwelling units has value 4 units when Total Dwelling Units on a Lot 4 to 6 Units.
burnaby_r1_013,rejected,False,dwelling_units,dwelling_units,dwelling units,,6,units,Total Dwelling Units on a Lot 4 to 6 Units,m4_pack_0017_ev_004,m4_pack_0045_v3_clause_ev_002,1,upstream_extraction_requested_review; extraction_source_fidelity_hold; text_candidate_requires_review; value_not_found_in_evidence,,Keep in review; inspect rerun gaps and cited evidence before changing verifier behavior.,"101.2 Permitted Uses Principal Use Use-Specific Regulations Small-Scale Multi-Unit Housing - Rowhouse Dwellings 101.5.2 Boarding, Lodging, or Rooming House 101.5.3 Group Home - Supportive Housing (Category A) 101.5.4 Child Care Facilities 101.5.6 Accessory...",dwelling units: dwelling units for dwelling units has value 6 units when Total Dwelling Units on a Lot 4 to 6 Units.
