original_rule_id,retry_decision,promotion_ready,rule_object,constraint_scope,applies_to,operator,value,unit,condition,original_evidence_id,retry_evidence_id,retry_evidence_page,retry_support_gaps,promotion_risk_flags,promotion_recommendation,retry_evidence_quote,rule_sentence
burnaby_r1_001,rejected,False,lot_area,lot_area,rowhouse lots,>=,281,m2,at the time of registration of the subdivision plan to create two or more rowhouse lots,m4_pack_0002_ev_001,m4_pack_0002_ev_002,1,pipeline5_text_candidate_requires_review; value_not_found_in_evidence,,Keep in review; inspect rerun gaps and cited evidence before changing verifier behavior.,"Maximum Lot Area 280 m2 essory Use Use-Specific Regulations Boarding Use (up to 2 boarders) - Home Occupations 6.8, 6.8A Urban Agriculture 6.30 Accessory Buildings, Structures, and Uses 101.5.5, 6.6 (B/L No. 14694-24-11-04) 101.3 Subdivision Regulations Dwe...",rowhouse lots: lot area for lot area must be at least 281 m2 when at the time of registration of the subdivision plan to create two or more rowhouse lots.
burnaby_r1_002,rejected,False,lot_area,lot_area,rowhouse lots,<=,280,m2,at the time of registration of the subdivision plan to create two or more rowhouse lots,m4_pack_0002_ev_002,m4_pack_0002_ev_001,1,pipeline5_text_candidate_requires_review; rule_family_direction_mismatch; value_not_found_in_evidence,,Keep in review; inspect rerun gaps and cited evidence before changing verifier behavior.,"Minimum Lot Area - 281 m2 are Facilities 101.5.6 Accessory Use Use-Specific Regulations Boarding Use (up to 2 boarders) - Home Occupations 6.8, 6.8A Urban Agriculture 6.30 Accessory Buildings, Structures, and Uses 101.5.5, 6.6 (B/L No. 14694-24-11-04) 101.3...",rowhouse lots: lot area for lot area must be no more than 280 m2 when at the time of registration of the subdivision plan to create two or more rowhouse lots.
burnaby_r1_005,rejected,False,setback,setback,street yards,>=,2.0,m,heritage lots,m4_pack_0006_ev_003,m4_pack_0006_ev_001,6,pipeline5_text_candidate_requires_review; value_not_found_in_evidence; unit_not_found_in_evidence; rule_object_not_supported,,Keep in review; inspect rerun gaps and cited evidence before changing verifier behavior.,"maximum lot coverage as set out in Section 101.4 may be increased up to 60% ge character, some or all of the following regulations may apply to lots in the R1 District on the Community Heritage Register: (a) panhandle lots and other irregularly shaped lots...",street yards: setback for setback must be at least 2.0 m when heritage lots.
burnaby_r1_007,rejected,False,height,height,fire access corridor,>=,2.5,m,clear of any projections or obstructions,m4_pack_0034_ev_002,m4_pack_0034_ev_001,6,pipeline5_text_candidate_requires_review; value_not_found_in_evidence,,Keep in review; inspect rerun gaps and cited evidence before changing verifier behavior.,All dwelling units shall have a minimum 1.0 m paved or gravel fire access corridor 101.6.3 Access and Fire Safety (1) Dwelling units located more than 45 m from a lot line abutting a street shall contain an automatic sprinkler system. (2) All dwelling units...,fire access corridor: height for height must be at least 2.5 m when clear of any projections or obstructions.
burnaby_r1_008,review_needed,False,setback,setback,projections into required lane yards,<=,0.8,m,in the R1 District,m4_pack_0044_ev_001,v3_repair_pack_0007_ev_001,5,pipeline5_text_candidate_requires_review; rule_family_direction_mismatch,,Keep in review; inspect rerun gaps and cited evidence before changing verifier behavior.,"projections into required lane yards are limited to a maximum of 0.8 m gutters, sills, chimneys, bay windows, or other similar features up to the lesser of 0.9 m or 25% of the width of a required separation; (f) sunken access areas and window wells as per S...",projections into required lane yards: setback for setback must be no more than 0.8 m when in the R1 District.
burnaby_r1_009,rejected,False,dwelling_units,dwelling_units,lot,<=,6,units,,m4_pack_0057_ev_001,m4_pack_0045_v3_clause_ev_002,1,pipeline5_text_candidate_requires_review; value_not_found_in_evidence,,Keep in review; inspect rerun gaps and cited evidence before changing verifier behavior.,"101.2 Permitted Uses Principal Use Use-Specific Regulations Small-Scale Multi-Unit Housing - Rowhouse Dwellings 101.5.2 Boarding, Lodging, or Rooming House 101.5.3 Group Home - Supportive Housing (Category A) 101.5.4 Child Care Facilities 101.5.6 Accessory...",lot: dwelling units for dwelling units must be no more than 6 units.
burnaby_r1_092,review_needed,False,permitted_use,district,Small-Scale Multi-Unit Housing,allowed,,,,m4_pack_0045_v3_clause_ev_002,m4_pack_0045_v3_clause_ev_003,1,pipeline5_text_candidate_requires_review,,Keep in review; inspect rerun gaps and cited evidence before changing verifier behavior.,"101.2 Permitted Uses Principal Use Use-Specific Regulations Small-Scale Multi-Unit Housing - Rowhouse Dwellings 101.5.2 Boarding, Lodging, or Rooming House 101.5.3 Group Home - Supportive Housing (Category A) 101.5.4 Child Care Facilities 101.5.6 Accessory...",Small-Scale Multi-Unit Housing: permitted use for district is permitted.
burnaby_r1_093,review_needed,False,permitted_use,use,Principal Use,allowed,,,Group Home,m4_pack_0045_v3_clause_ev_003,m4_pack_0045_v3_clause_ev_002,1,pipeline5_text_candidate_requires_review,,Keep in review; inspect rerun gaps and cited evidence before changing verifier behavior.,"101.2 Permitted Uses Principal Use Use-Specific Regulations Small-Scale Multi-Unit Housing - Rowhouse Dwellings 101.5.2 Boarding, Lodging, or Rooming House 101.5.3 Group Home - Supportive Housing (Category A) 101.5.4 Child Care Facilities 101.5.6 Accessory...",Principal Use: permitted use for use is permitted when Group Home.
burnaby_r1_094,review_needed,False,lot_area,lot_area,rowhouse lots,>=,281,m2,at the time of registration of the subdivision plan to create two or more rowhouse lots,v3_repair_pack_0001_ev_001,m4_pack_0002_ev_001,1,pipeline5_text_candidate_requires_review; applies_to_not_supported,,Keep in review; inspect rerun gaps and cited evidence before changing verifier behavior.,"Minimum Lot Area - 281 m2 are Facilities 101.5.6 Accessory Use Use-Specific Regulations Boarding Use (up to 2 boarders) - Home Occupations 6.8, 6.8A Urban Agriculture 6.30 Accessory Buildings, Structures, and Uses 101.5.5, 6.6 (B/L No. 14694-24-11-04) 101.3...",rowhouse lots: lot area for lot area must be at least 281 m2 when at the time of registration of the subdivision plan to create two or more rowhouse lots.
burnaby_r1_095,rejected,False,lot_area,lot_area,rowhouse lots,<=,280,m2,at the time of registration of the subdivision plan to create two or more rowhouse lots,v3_repair_pack_0001_ev_002,m4_pack_0002_ev_001,1,pipeline5_text_candidate_requires_review; rule_family_direction_mismatch; value_not_found_in_evidence,,Keep in review; inspect rerun gaps and cited evidence before changing verifier behavior.,"Minimum Lot Area - 281 m2 are Facilities 101.5.6 Accessory Use Use-Specific Regulations Boarding Use (up to 2 boarders) - Home Occupations 6.8, 6.8A Urban Agriculture 6.30 Accessory Buildings, Structures, and Uses 101.5.5, 6.6 (B/L No. 14694-24-11-04) 101.3...",rowhouse lots: lot area for lot area must be no more than 280 m2 when at the time of registration of the subdivision plan to create two or more rowhouse lots.
