rule_id,city,zone,status,rule_object,constraint_type,constraint_scope,applies_to,operator,value,unit,condition,exception,source_page,evidence_id,evidence_quote,rule_sentence
burnaby_r1_001,Burnaby,R1,verified,lot_area,minimum,lot_area,lot,>=,281,m2,Minimum Lot Area,,1,m4_pack_0002_ev_001,Minimum Lot Area - 281 m2,lot: lot area for lot area must be at least 281 m2 when Minimum Lot Area.
burnaby_r1_011,Burnaby,R1,verified,dwelling_units,maximum,dwelling_units,dwelling units,<=,3,units,Total Dwelling Units on a Lot 1 to 3 Units,,2,bundle::burnaby_r1_011,"[burnaby_r1_matrix_p2_t0_b0_001] Permitted Dwelling Units (including secondary suites) | Rowhouse 1 to 3 Units | 1 to 3
Units",dwelling units: dwelling units for dwelling units must be no more than 3 units when Total Dwelling Units on a Lot 1 to 3 Units.
burnaby_r1_023,Burnaby,R1,verified,fire_access_corridor,minimum,corridor_width,All dwelling units,>=,1.0,m,paved or gravel fire access corridor,,6,m4_pack_0034_ev_001,All dwelling units shall have a minimum 1.0 m paved or gravel fire access corridor,All dwelling units: fire access corridor for corridor width must be at least 1.0 m when paved or gravel fire access corridor.
burnaby_r1_025,Burnaby,R1,verified,automatic_sprinkler,required,automatic_sprinkler,Dwelling units more than 45 m from a street lot line,>,45,m,located more than 45 m from a lot line abutting a street,,6,m4_pack_0035_ev_001,Dwelling units located more than 45 m from a lot line abutting a street shall contain an automatic sprinkler system.,Dwelling units more than 45 m from a street lot line: automatic sprinkler for automatic sprinkler must be more than 45 m when located more than 45 m from a lot line abutting a street.
burnaby_r1_029,Burnaby,R1,verified,dwelling_units,maximum,lot,lot,<=,3,units,,,2,burnaby_r1_matrix_p2_t0_b0_001,"Permitted Dwelling Units (including secondary suites) | Rowhouse 1 to 3 Units | 1 to 3
Units",lot: dwelling units for lot must be no more than 3 units.
burnaby_r1_030,Burnaby,R1,verified,dwelling_units,maximum,lot,lot,<=,2,units,,,2,burnaby_r1_matrix_p2_t0_b1_002,"Permitted Dwelling Units (including secondary suites) | Small-Scale Multi-Unit 1 to 2 Units | 1 to 2
Units",lot: dwelling units for lot must be no more than 2 units.
burnaby_r1_031,Burnaby,R1,verified,dwelling_units,maximum,lot,lot,<=,4,units,,,2,burnaby_r1_matrix_p2_t0_b2_003,"Permitted Dwelling Units (including secondary suites) | Small-Scale Multi-Unit 3 to 4 Units | 3 to 4
Units",lot: dwelling units for lot must be no more than 4 units.
burnaby_r1_032,Burnaby,R1,verified,dwelling_units,maximum,lot,lot,<=,6,units,,,2,burnaby_r1_matrix_p2_t0_b3_004,Permitted Dwelling Units (including secondary suites) | Small-Scale Multi-Unit 5 to 6 Units Frequent Transit Network Area Only | 5 to 6 Units,lot: dwelling units for lot must be no more than 6 units.
burnaby_r1_033,Burnaby,R1,verified,lot_area,minimum,lot_area,Small-Scale Multi-Unit 3 to 4 Units,>=,281,m2,,,2,burnaby_r1_matrix_p2_t0_b2_005,"Minimum Lot Area | Small-Scale Multi-Unit 3 to 4 Units | 4 Units Only
:
281 m2",Small-Scale Multi-Unit 3 to 4 Units: lot area for lot area must be at least 281 m2.
burnaby_r1_034,Burnaby,R1,verified,lot_area,minimum,lot_area,Small-Scale Multi-Unit 5 to 6 Units Frequent Transit Network Area Only,>=,281,m2,,,2,burnaby_r1_matrix_p2_t0_b3_006,Minimum Lot Area | Small-Scale Multi-Unit 5 to 6 Units Frequent Transit Network Area Only | 281 m2,Small-Scale Multi-Unit 5 to 6 Units Frequent Transit Network Area Only: lot area for lot area must be at least 281 m2.
