original_rule_id,retry_decision,promotion_ready,rule_object,constraint_scope,applies_to,operator,value,unit,condition,original_evidence_id,retry_evidence_id,retry_evidence_page,retry_support_gaps,promotion_risk_flags,promotion_recommendation,retry_evidence_quote,rule_sentence
calgary_rcg_005,rejected,False,balcony,contextual_single_detached_dwelling_balcony_recess_limit,balcony recess from front façade,<=,4.5,m,"For a Contextual Single Detached Dwelling, when a balcony is located on a side façade and forms part of the front façade",calgary_generic_graph_pack_065__page_0390__local_002,calgary_generic_graph_pack_066__page_0390__local_003,390,pipeline5_text_candidate_requires_review; value_not_found_in_evidence; rule_object_not_supported; rule_object_unit_not_compatible,original_rule_had_legal_conflict_or_exception,Keep in review; inspect rerun gaps and cited evidence before changing verifier behavior.,"(iii) the privacy wall is a minimum of 2.0 metres in height and a maximum of 3.0 metres in height; and 27P2011 (c) must not have a balcony with a height greater than 6.0 metres, when measured vertically at any point from grade to the platform of the balcony...","balcony recess from front façade: balcony for contextual single detached dwelling balcony recess limit must be no more than 4.5 m when For a Contextual Single Detached Dwelling, when a balcony is located on a side façade and forms part of the front façade."
calgary_rcg_007,review_needed,False,privacy_wall,contextual_single_detached_dwelling_balcony_privacy_wall,privacy wall,required,,,"For a Contextual Single Detached Dwelling, where a balcony is located on a rear façade and is facing a side property line shared with a parcel",calgary_generic_graph_pack_065__page_0390__local_002,calgary_generic_graph_pack_066__page_0390__local_003,390,pipeline5_text_candidate_requires_review; rule_object_not_supported,original_rule_had_legal_conflict_or_exception,Keep in review; inspect rerun gaps and cited evidence before changing verifier behavior.,"(iii) the privacy wall is a minimum of 2.0 metres in height and a maximum of 3.0 metres in height; and 27P2011 (c) must not have a balcony with a height greater than 6.0 metres, when measured vertically at any point from grade to the platform of the balcony...","privacy wall: privacy wall for contextual single detached dwelling balcony privacy wall is required when For a Contextual Single Detached Dwelling, where a balcony is located on a rear façade and is facing a side property line shared with a parcel."
calgary_rcg_010,review_needed,False,permitted_use,calgary_generic_graph_pack_100__page_0412__local_002_backyard_suite,Backyard Suite,permitted,,,In RC-1 & RC1s districts,calgary_generic_graph_pack_100__page_0412__local_002,calgary_generic_graph_pack_091__page_0406__local_004,406,upstream_extraction_requested_review; pipeline5_text_candidate_requires_review,,Keep in review; inspect rerun gaps and cited evidence before changing verifier behavior.,"370 Rules 370 In addition to the rules in this District, all uses in this District must comply with: (a) the General Rules for Low Density Residential Land Use Districts referenced in Part 5, Division 1; (b) the Rules Governing All Districts referenced in P...",Backyard Suite: permitted use for calgary generic graph pack 100  page 0412  local 002 backyard suite is permitted when In RC-1 & RC1s districts.
calgary_rcg_011,review_needed,False,permitted_use,calgary_generic_graph_pack_100__page_0412__local_002_secondary_suite,Secondary Suite,permitted,,,In RC-1 & RC1s districts,calgary_generic_graph_pack_100__page_0412__local_002,calgary_generic_graph_pack_014__page_0093__local_004,93,upstream_extraction_requested_review; pipeline5_text_candidate_requires_review,,Keep in review; inspect rerun gaps and cited evidence before changing verifier behavior.,"(s) a Secondary Suite, when listed as a permitted use in the 26P2015, district, for which an application for a permit pursuant to the 5P2017 Building Permit Bylaw has been received; building as a temporary polling station, returning offices’ headquarters, F...",Secondary Suite: permitted use for calgary generic graph pack 100  page 0412  local 002 secondary suite is permitted when In RC-1 & RC1s districts.
calgary_rcg_012,review_needed,False,permitted_use,calgary_generic_graph_pack_124__page_0438__local_002_secondary_suite,Secondary Suite,permitted,,,In R-1 & R-1s districts,calgary_generic_graph_pack_124__page_0438__local_002,calgary_generic_graph_pack_014__page_0093__local_004,93,pipeline5_text_candidate_requires_review,,Keep in review; inspect rerun gaps and cited evidence before changing verifier behavior.,"(s) a Secondary Suite, when listed as a permitted use in the 26P2015, district, for which an application for a permit pursuant to the 5P2017 Building Permit Bylaw has been received; building as a temporary polling station, returning offices’ headquarters, F...",Secondary Suite: permitted use for calgary generic graph pack 124  page 0438  local 002 secondary suite is permitted when In R-1 & R-1s districts.
calgary_rcg_013,review_needed,False,permitted_use,calgary_generic_graph_pack_160__page_0480__local_002_secondary_suite,Secondary Suite,permitted,,,In the (R-G)(R-Gm) district,calgary_generic_graph_pack_160__page_0480__local_002,calgary_generic_graph_pack_014__page_0093__local_004,93,pipeline5_text_candidate_requires_review,,Keep in review; inspect rerun gaps and cited evidence before changing verifier behavior.,"(s) a Secondary Suite, when listed as a permitted use in the 26P2015, district, for which an application for a permit pursuant to the 5P2017 Building Permit Bylaw has been received; building as a temporary polling station, returning offices’ headquarters, F...",Secondary Suite: permitted use for calgary generic graph pack 160  page 0480  local 002 secondary suite is permitted when In the (R-G)(R-Gm) district.
calgary_rcg_014,review_needed,False,development_standards,backyard_suite_rcg_compliance,Backyard Suite,required,,,must comply with the rules of the R-CG District that apply to such development,calgary_generic_graph_pack_169__page_0505__local_003,calgary_generic_graph_pack_023__page_0139__local_006,139,pipeline5_text_candidate_requires_review; unresolved_exception_cue,,Keep in review; inspect rerun gaps and cited evidence before changing verifier behavior.,"(1) No new buildings or other new structures are allowed in the 32P2012, 11P2014, floodway, except for the replacement of existing Accessory 24P2014 Residential Buildings, Backyard Suites, Duplex Dwellings, Secondary Suites,Semi-detached Dwellings and Singl...",Backyard Suite: development standards for backyard suite rcg compliance is required when must comply with the rules of the R-CG District that apply to such development.
calgary_rcg_015,review_needed,False,parcel_access,parcel_access_compliance,developments,required,,,comply with the Controlled Streets Bylaw,calgary_generic_graph_pack_170__page_0505__local_004,calgary_generic_graph_pack_169__page_0505__local_003,505,pipeline5_text_candidate_requires_review,,Keep in review; inspect rerun gaps and cited evidence before changing verifier behavior.,"573 Single Detached, Semi-Detached, Duplex Dwellings and Backyard Suites 46P2009, 12P2010 24P2014, 56P2022 573 Any of the following uses must comply with the rules of the R-CG District that apply to such development: (b) Backyard Suite; PART 6 - DIVISION 1:...",developments: parcel access for parcel access compliance is required when comply with the Controlled Streets Bylaw.
calgary_rcg_016,review_needed,False,permitted_use,calgary_generic_graph_pack_182_page_0548_local_002_secondary_suite,Secondary Suite,permitted,,,In PART 6 - DIVISION 8: M-H1,calgary_generic_graph_pack_182__page_0548__local_002,calgary_generic_graph_pack_014__page_0093__local_004,93,pipeline5_text_candidate_requires_review,,Keep in review; inspect rerun gaps and cited evidence before changing verifier behavior.,"(s) a Secondary Suite, when listed as a permitted use in the 26P2015, district, for which an application for a permit pursuant to the 5P2017 Building Permit Bylaw has been received; building as a temporary polling station, returning offices’ headquarters, F...",Secondary Suite: permitted use for calgary generic graph pack 182 page 0548 local 002 secondary suite is permitted when In PART 6 - DIVISION 8: M-H1.
calgary_rcg_017,review_needed,False,permitted_use,secondary_suite_permitted,Secondary Suite,permitted,,,In the M-H2 District,calgary_generic_graph_pack_185__page_0554__local_002,calgary_generic_graph_pack_014__page_0093__local_004,93,pipeline5_text_candidate_requires_review,,Keep in review; inspect rerun gaps and cited evidence before changing verifier behavior.,"(s) a Secondary Suite, when listed as a permitted use in the 26P2015, district, for which an application for a permit pursuant to the 5P2017 Building Permit Bylaw has been received; building as a temporary polling station, returning offices’ headquarters, F...",Secondary Suite: permitted use for secondary suite permitted is permitted when In the M-H2 District.
