rule_id,status,review_action_bucket,review_category,triage_priority,likely_status,likely_correct_score,rule_object,constraint_scope,applies_to,operator,value,unit,condition,support_gaps,source_page,evidence_id,evidence_quote,rule_sentence
vancouver_rs_004,review_needed,upstream_candidate_issue,possible_rule_object_mismatch,low,plausible,0.556,floor_area,floor_area,main habitable room,>=,16.7,m2,no separate bedrooms,pipeline5_text_candidate_requires_review; rule_family_direction_mismatch; rule_object_not_supported,8,m4_pack_0002_ev_001,"1 main habitable room that is not a bedroom, with a minimum size of 16.7 m2",main habitable room: floor area for floor area must be at least 16.7 m2 when no separate bedrooms.
vancouver_rs_005,review_needed,retry_with_better_evidence,possible_rule_object_mismatch,low,plausible,0.556,floor_area,floor_area,bedroom,>=,8.4,m2,no separate bedrooms,pipeline5_text_candidate_requires_review; rule_family_direction_mismatch; rule_object_not_supported,8,m4_pack_0002_ev_002,at least 1 bedroom with a minimum size of 8.4 m2,bedroom: floor area for floor area must be at least 8.4 m2 when no separate bedrooms.
vancouver_rs_011,review_needed,retry_with_better_evidence,operator_uncertain,low,likely_wrong_or_noise,0.398,setback,setback,laneway house,<=,4.9,m,"measured across the width of the site, from the single detached house or single detached house with secondary suite on the site",pipeline5_text_candidate_requires_review; rule_family_direction_mismatch; operator_not_supported; rule_object_not_supported,8,m4_pack_0007_ev_001,"A laneway house must be at least: (a) 4.9 m, measured across the width of the site, from the single detached house or single detached house with secondary suite on the site","laneway house: setback for setback must be no more than 4.9 m when measured across the width of the site, from the single detached house or single detached house with secondary suite on the site."
vancouver_rs_012,review_needed,retry_with_better_evidence,operator_uncertain,low,likely_wrong_or_noise,0.268,setback,setback,laneway house,<=,0.9,m,from the ultimate rear property line,pipeline5_text_candidate_requires_review; rule_family_direction_mismatch; applies_to_not_supported; operator_not_supported; rule_object_not_supported,8,m4_pack_0007_ev_002,(b) 0.9 m from the ultimate rear property line,laneway house: setback for setback must be no more than 0.9 m when from the ultimate rear property line.
vancouver_rs_013,review_needed,retry_with_better_evidence,operator_uncertain,low,likely_wrong_or_noise,0.289,setback,setback,laneway house,<=,1.2,m,from each side property line,pipeline5_text_candidate_requires_review; rule_family_direction_mismatch; applies_to_not_supported; operator_not_supported; rule_object_not_supported,8,m4_pack_0007_ev_003,"(c) 1.2 m from each side property line, except that the Director of Planning may reduce this requirement for sites less than 10.1 m in width",laneway house: setback for setback must be no more than 1.2 m when from each side property line.
vancouver_rs_020,review_needed,upstream_candidate_issue,possible_rule_object_mismatch,low,plausible,0.565,floor_area,floor_area,main habitable room that is not a bedroom,>=,16.7,m2,Except for a laneway house with no separate bedrooms,pipeline5_text_candidate_requires_review; rule_family_direction_mismatch; rule_object_not_supported,8,v3_repair_pack_0001_ev_001,"1 main habitable room that is not a bedroom, with a minimum size of 16.7 m2",main habitable room that is not a bedroom: floor area for floor area must be at least 16.7 m2 when Except for a laneway house with no separate bedrooms.
vancouver_rs_021,review_needed,retry_with_better_evidence,possible_rule_object_mismatch,low,plausible,0.565,floor_area,floor_area,bedroom,>=,8.4,m2,Except for a laneway house with no separate bedrooms,pipeline5_text_candidate_requires_review; rule_family_direction_mismatch; rule_object_not_supported,8,v3_repair_pack_0001_ev_002,at least 1 bedroom with a minimum size of 8.4 m2,bedroom: floor area for floor area must be at least 8.4 m2 when Except for a laneway house with no separate bedrooms.
vancouver_rs_022,review_needed,defer_low_priority,general_review,medium,likely_correct,0.848,floor_area,floor_area,laneway house,<=,0.25,m2,lesser of (a) 0.25 multiplied by the site area; and (b) 186 m2,coefficient_operand_not_value,8,v3_repair_pack_0004_ev_001,The floor area for a laneway house must not exceed the lesser of: (a) 0.25 multiplied by the site area; and (b) 186 m2.,laneway house: floor area for floor area must be no more than 0.25 m2 when lesser of (a) 0.25 multiplied by the site area; and (b) 186 m2.
vancouver_rs_024,review_needed,retry_with_better_evidence,operator_uncertain,low,likely_wrong_or_noise,0.398,setback,setback,laneway house,<=,4.9,m,"measured across the width of the site, from the single detached house or single detached house with secondary suite on the site",pipeline5_text_candidate_requires_review; rule_family_direction_mismatch; operator_not_supported; rule_object_not_supported,8,v3_repair_pack_0006_ev_001,"A laneway house must be at least: (a) 4.9 m, measured across the width of the site, from the single detached house or single detached house with secondary suite on the site","laneway house: setback for setback must be no more than 4.9 m when measured across the width of the site, from the single detached house or single detached house with secondary suite on the site."
vancouver_rs_025,review_needed,retry_with_better_evidence,operator_uncertain,low,likely_wrong_or_noise,0.268,setback,setback,laneway house,<=,0.9,m,from the ultimate rear property line,pipeline5_text_candidate_requires_review; rule_family_direction_mismatch; applies_to_not_supported; operator_not_supported; rule_object_not_supported,8,v3_repair_pack_0006_ev_002,(b) 0.9 m from the ultimate rear property line,laneway house: setback for setback must be no more than 0.9 m when from the ultimate rear property line.
vancouver_rs_026,review_needed,retry_with_better_evidence,operator_uncertain,low,likely_wrong_or_noise,0.289,setback,setback,laneway house,<=,1.2,m,from each side property line,pipeline5_text_candidate_requires_review; rule_family_direction_mismatch; applies_to_not_supported; operator_not_supported; rule_object_not_supported,8,v3_repair_pack_0006_ev_003,"(c) 1.2 m from each side property line, except that the Director of Planning may reduce this requirement for sites less than 10.1 m in width",laneway house: setback for setback must be no more than 1.2 m when from each side property line.
