original_rule_id,retry_decision,promotion_ready,rule_object,constraint_scope,applies_to,operator,value,unit,condition,original_evidence_id,retry_evidence_id,retry_evidence_page,retry_support_gaps,promotion_risk_flags,promotion_recommendation,retry_evidence_quote,rule_sentence
burnaby_r1_008,review_needed,False,boarding_use,boarding_use_max_boarders,boarders,<=,2,,Accessory Use,burnaby_generic_graph_pack_002__page_0001__local_004,burnaby_generic_graph_pack_004__page_0001__local_006,1,pipeline5_text_candidate_requires_review; rule_family_direction_mismatch; applies_to_not_supported; unresolved_exception_cue,,Keep in review; inspect rerun gaps and cited evidence before changing verifier behavior.,"101.3 Subdivision Regulations Dwelling Type Rowhouse .1 Small-Scale Multi-Unit Minimum Lot Width .2 Interior Lot 5 m, except 6.2 m for end unit lots 10 m Corner Lot - Street 8 m 10 m Corner Lot - Lane 6.2 m 10 m Lot Area .3 Minimum Lot Area - 281 m2 Maximum...",boarders: boarding use for boarding use max boarders must be no more than 2 when Accessory Use.
burnaby_r1_018,rejected,False,lot_area,burnaby_generic_graph_pack_004__rowhouse_max_lot_area,lot_area,<=,280,m2,for Rowhouse,burnaby_generic_graph_pack_004__page_0001__local_006,burnaby_generic_graph_pack_002__page_0001__local_004,1,pipeline5_text_candidate_requires_review; rule_family_direction_mismatch; value_not_found_in_evidence; unit_not_found_in_evidence; rule_object_not_supported,original_rule_had_legal_conflict_or_exception,Keep in review; inspect rerun gaps and cited evidence before changing verifier behavior.,"Principal Use Use-Specific Regulations Small-Scale Multi-Unit Housing - Rowhouse Dwellings 101.5.2 Boarding, Lodging, or Rooming House 101.5.3 Group Home - Supportive Housing (Category A) 101.5.4 Child Care Facilities 101.5.6 Accessory Use Use-Specific Regu...",lot_area: lot area for burnaby generic graph pack 004  rowhouse max lot area must be no more than 280 m2 when for Rowhouse.
burnaby_r1_022,rejected,False,lot_area,burnaby_generic_graph_pack_004__ssmu_min_lot_area,lot_area,>=,281,m2,for Small-Scale Multi-Unit,burnaby_generic_graph_pack_004__page_0001__local_006,burnaby_generic_graph_pack_002__page_0001__local_004,1,pipeline5_text_candidate_requires_review; value_not_found_in_evidence; unit_not_found_in_evidence; rule_object_not_supported,original_rule_had_legal_conflict_or_exception,Keep in review; inspect rerun gaps and cited evidence before changing verifier behavior.,"Principal Use Use-Specific Regulations Small-Scale Multi-Unit Housing - Rowhouse Dwellings 101.5.2 Boarding, Lodging, or Rooming House 101.5.3 Group Home - Supportive Housing (Category A) 101.5.4 Child Care Facilities 101.5.6 Accessory Use Use-Specific Regu...",lot_area: lot area for burnaby generic graph pack 004  ssmu min lot area must be at least 281 m2 when for Small-Scale Multi-Unit.
burnaby_r1_023,review_needed,False,covenant,burnaby_generic_graph_pack_004__rowhouse_covenant_requirement,Section 219 Covenant,required,,,"At the time of registration of the subdivision plan to create two or more rowhouse lots, to ensure that all adjoining rowhouse",burnaby_generic_graph_pack_004__page_0001__local_006,burnaby_generic_graph_pack_007__page_0002__local_003,2,pipeline5_text_candidate_requires_review; unresolved_exception_cue,original_rule_had_legal_conflict_or_exception,Keep in review; inspect rerun gaps and cited evidence before changing verifier behavior.,"Interior Side Yard 0 m, except 1.2 m 1.2 m 1.2 m 1.2 m for end unit lots Minimum Separation of Buildings on the Same Lot .4 .5 Between Front Principals - 2.4 m 2.4 m 2.4 m Between Rear Principals - 2.4 m 2.4 m 2.4 m Between Front & Rear Principals 6.0 m Bet...","Section 219 Covenant: covenant for burnaby generic graph pack 004  rowhouse covenant requirement is required when At the time of registration of the subdivision plan to create two or more rowhouse lots, to ensure that all adjoining rowhouse."
burnaby_r1_024,rejected,False,lot_area,min_lot_area_4_units,lot area,>=,281,m2,"for 4 Units Only, Small-Scale Multi-Unit",burnaby_generic_graph_pack_007__page_0002__local_001,burnaby_generic_graph_pack_007__page_0002__local_002,2,pipeline5_text_candidate_requires_review; value_not_found_in_evidence; unit_not_found_in_evidence; rule_object_not_supported; unresolved_exception_cue,,Keep in review; inspect rerun gaps and cited evidence before changing verifier behavior.,Maximum Height Front Principal Buildings Height sloping roof: 10 m | flat roof: 9.5 m Storeys (basement inclusive) 3 storeys 2.5 storeys 3 storeys Rear Principal Buildings Height sloping roof: 7.5 m | flat roof: 7.0 m Storeys (basement inclusive) 2 storeys...,"lot area: lot area for min lot area 4 units must be at least 281 m2 when for 4 Units Only, Small-Scale Multi-Unit."
burnaby_r1_025,rejected,False,lot_area,max_lot_area_rowhouse,lot area,<=,280,m2,for Rowhouse,burnaby_generic_graph_pack_007__page_0002__local_001,burnaby_generic_graph_pack_002__page_0001__local_004,1,upstream_extraction_requested_review; pipeline5_text_candidate_requires_review; rule_family_direction_mismatch; value_not_found_in_evidence; unit_not_found_in_evidence; rule_object_not_supported,,Keep in review; inspect rerun gaps and cited evidence before changing verifier behavior.,"Principal Use Use-Specific Regulations Small-Scale Multi-Unit Housing - Rowhouse Dwellings 101.5.2 Boarding, Lodging, or Rooming House 101.5.3 Group Home - Supportive Housing (Category A) 101.5.4 Child Care Facilities 101.5.6 Accessory Use Use-Specific Regu...",lot area: lot area for max lot area rowhouse must be no more than 280 m2 when for Rowhouse.
burnaby_r1_031,rejected,False,impervious_surface,max_impervious_surfaces_rowhouse_or_ssmu_3_to_4,impervious surface area,<=,70,%,for Rowhouse or Small-Scale Multi-Unit 3 to 4 Units,burnaby_generic_graph_pack_007__page_0002__local_001,burnaby_generic_graph_pack_007__page_0002__local_002,2,pipeline5_text_candidate_requires_review; value_not_found_in_evidence; unit_not_found_in_evidence; unresolved_exception_cue,,Keep in review; inspect rerun gaps and cited evidence before changing verifier behavior.,Maximum Height Front Principal Buildings Height sloping roof: 10 m | flat roof: 9.5 m Storeys (basement inclusive) 3 storeys 2.5 storeys 3 storeys Rear Principal Buildings Height sloping roof: 7.5 m | flat roof: 7.0 m Storeys (basement inclusive) 2 storeys...,impervious surface area: impervious surface for max impervious surfaces rowhouse or ssmu 3 to 4 must be no more than 70 % when for Rowhouse or Small-Scale Multi-Unit 3 to 4 Units.
burnaby_r1_032,rejected,False,impervious_surface,max_impervious_surfaces_ssmu_1_to_3_or_1_to_2,impervious surface area,<=,60,%,for Small-Scale Multi-Unit 1 to 3 Units or 1 to 2 Units,burnaby_generic_graph_pack_007__page_0002__local_001,burnaby_generic_graph_pack_007__page_0002__local_002,2,pipeline5_text_candidate_requires_review; value_not_found_in_evidence; unit_not_found_in_evidence; unresolved_exception_cue,,Keep in review; inspect rerun gaps and cited evidence before changing verifier behavior.,Maximum Height Front Principal Buildings Height sloping roof: 10 m | flat roof: 9.5 m Storeys (basement inclusive) 3 storeys 2.5 storeys 3 storeys Rear Principal Buildings Height sloping roof: 7.5 m | flat roof: 7.0 m Storeys (basement inclusive) 2 storeys...,impervious surface area: impervious surface for max impervious surfaces ssmu 1 to 3 or 1 to 2 must be no more than 60 % when for Small-Scale Multi-Unit 1 to 3 Units or 1 to 2 Units.
burnaby_r1_033,rejected,False,height,max_height_front_principal_sloping,height,<=,10,m,"Front Principal Buildings, sloping roof",burnaby_generic_graph_pack_007__page_0002__local_002,burnaby_generic_graph_pack_007__page_0002__local_001,2,pipeline5_text_candidate_requires_review; value_not_found_in_evidence; unit_not_found_in_evidence,original_rule_had_legal_conflict_or_exception,Keep in review; inspect rerun gaps and cited evidence before changing verifier behavior.,101.4 Development Regulations Dwelling Type Rowhouse Small-Scale Multi-Unit 5 to 6 Units Permitted Dwelling Units 1 to 3 1 to 2 3 to 4 Frequent Transit (including secondary suites) Units Units Units Network Area Only 4 Units Only: Minimum Lot Area - - 281 m...,"height: height for max height front principal sloping must be no more than 10 m when Front Principal Buildings, sloping roof."
burnaby_r1_034,rejected,False,height,max_height_front_principal_flat,height,<=,9.5,m,"Front Principal Buildings, flat roof",burnaby_generic_graph_pack_007__page_0002__local_002,burnaby_generic_graph_pack_007__page_0002__local_001,2,pipeline5_text_candidate_requires_review; value_not_found_in_evidence; unit_not_found_in_evidence,original_rule_had_legal_conflict_or_exception,Keep in review; inspect rerun gaps and cited evidence before changing verifier behavior.,101.4 Development Regulations Dwelling Type Rowhouse Small-Scale Multi-Unit 5 to 6 Units Permitted Dwelling Units 1 to 3 1 to 2 3 to 4 Frequent Transit (including secondary suites) Units Units Units Network Area Only 4 Units Only: Minimum Lot Area - - 281 m...,"height: height for max height front principal flat must be no more than 9.5 m when Front Principal Buildings, flat roof."
