rule_id,status,review_action_bucket,review_category,triage_priority,likely_status,likely_correct_score,rule_object,constraint_scope,applies_to,operator,value,unit,condition,support_gaps,source_page,evidence_id,evidence_quote,rule_sentence
burnaby_r1_002,review_needed,retry_with_better_evidence,general_review,medium,likely_correct,0.822,lot_area,lot_area,lot,<=,280,m2,Maximum Lot Area,text_candidate_requires_review; rule_family_direction_mismatch,1,m4_pack_0002_ev_002,Maximum Lot Area 280 m2,lot: lot area for lot area must be no more than 280 m2 when Maximum Lot Area.
burnaby_r1_003,review_needed,retry_with_better_evidence,operator_uncertain,low,likely_wrong_or_noise,0.432,dwelling_units,dwelling_units,small-scale multi-unit lots,<=,1,units,,upstream_extraction_requested_review; text_candidate_requires_review; operator_not_supported; rule_object_not_supported; range_bound_not_maximum,4,m4_pack_0004_ev_001,small-scale multi-unit lots with 1 to 3 units,small-scale multi-unit lots: dwelling units for dwelling units must be no more than 1 units.
burnaby_r1_004,review_needed,retry_with_better_evidence,operator_uncertain,low,likely_wrong_or_noise,0.432,dwelling_units,dwelling_units,small-scale multi-unit lots,<=,3,units,,upstream_extraction_requested_review; text_candidate_requires_review; operator_not_supported; rule_object_not_supported,4,m4_pack_0004_ev_002,small-scale multi-unit lots with 1 to 3 units,small-scale multi-unit lots: dwelling units for dwelling units must be no more than 3 units.
burnaby_r1_005,review_needed,retry_with_better_evidence,missing_condition_evidence,high,plausible,0.66,lot_coverage,lot_coverage,lots in the R1 District on the Community Heritage Register,<=,60,%,subject to approval of the Director of Planning and Development and the registration of a Section 219 Covenant,text_candidate_requires_review; text_condition_not_supported,6,m4_pack_0006_ev_001,maximum lot coverage as set out in Section 101.4 may be increased up to 60%,lots in the R1 District on the Community Heritage Register: lot coverage for lot coverage must be no more than 60 % when subject to approval of the Director of Planning and Development and the registration of a Section 219 Covenant.
burnaby_r1_006,review_needed,retry_with_better_evidence,missing_condition_evidence,high,plausible,0.692,impervious_surface,impervious_surface,lots in the R1 District on the Community Heritage Register,<=,70,%,subject to approval of the Director of Planning and Development and the registration of a Section 219 Covenant,text_candidate_requires_review; text_condition_not_supported,6,m4_pack_0006_ev_002,impervious surface area up to 70%,lots in the R1 District on the Community Heritage Register: impervious surface for impervious surface must be no more than 70 % when subject to approval of the Director of Planning and Development and the registration of a Section 219 Covenant.
burnaby_r1_007,review_needed,retry_with_better_evidence,missing_condition_evidence,high,plausible,0.687,setback,setback,street yards,>=,2.0,m,lots in the R1 District on the Community Heritage Register,text_candidate_requires_review; text_condition_not_supported,6,m4_pack_0006_ev_003,lot line setbacks for street yards may meet a minimum of 2.0 m,street yards: setback for setback must be at least 2.0 m when lots in the R1 District on the Community Heritage Register.
burnaby_r1_008,review_needed,retry_with_better_evidence,upstream_review_requested,medium,likely_correct,0.834,dwelling_units,dwelling_units,small-scale multi-unit,<=,1,units,on a lot,upstream_extraction_requested_review; text_candidate_requires_review; range_bound_not_maximum,5,m4_pack_0008_ev_001,1 to 3 small-scale multi-unit dwelling units on a lot,small-scale multi-unit: dwelling units for dwelling units must be no more than 1 units when on a lot.
burnaby_r1_009,review_needed,retry_with_better_evidence,upstream_review_requested,medium,likely_correct,0.834,dwelling_units,dwelling_units,small-scale multi-unit,<=,3,units,on a lot,upstream_extraction_requested_review; text_candidate_requires_review,5,m4_pack_0008_ev_002,1 to 3 small-scale multi-unit dwelling units on a lot,small-scale multi-unit: dwelling units for dwelling units must be no more than 3 units when on a lot.
burnaby_r1_010,review_needed,retry_with_better_evidence,operator_uncertain,low,plausible,0.65,dwelling_units,dwelling_units,dwelling units,<=,1,units,Total Dwelling Units on a Lot 1 to 3 Units,upstream_extraction_requested_review; text_candidate_requires_review; operator_not_supported; range_bound_not_maximum,4,m4_pack_0017_ev_001,Total Dwelling Units on a Lot 1 to 3 Units,dwelling units: dwelling units for dwelling units must be no more than 1 units when Total Dwelling Units on a Lot 1 to 3 Units.
burnaby_r1_012,review_needed,retry_with_better_evidence,operator_uncertain,low,plausible,0.623,dwelling_units,dwelling_units,dwelling units,<=,4,units,Total Dwelling Units on a Lot 4 to 6 Units,upstream_extraction_requested_review; extraction_source_fidelity_hold; text_candidate_requires_review; operator_not_supported; range_bound_not_maximum,4,m4_pack_0017_ev_003,Parent context: 101.5.1 All Dwelling Units (1) The minimum number of dwelling units with at least 3 bedrooms must be provided on a lot as follows: Total Dwelling Units on a Lot 1 to 3 Units 4 to 6 Units Minimum 3+ Bedroom Units:,dwelling units: dwelling units for dwelling units must be no more than 4 units when Total Dwelling Units on a Lot 4 to 6 Units.
