original_rule_id,retry_decision,promotion_ready,rule_object,constraint_scope,applies_to,operator,value,unit,condition,original_evidence_id,retry_evidence_id,retry_evidence_page,retry_support_gaps,promotion_risk_flags,promotion_recommendation,retry_evidence_quote,rule_sentence
vancouver_rs_005,review_needed,False,floor_area,,laneway house,<=,,,,vancouver_section_11_2026_02__11_3_7_1__0008__unit_001__ev_heading_plus_clause_004_2,vancouver_section_11_2026_02__11_3_7_1__0008__unit_001__ev_heading_plus_clause_006_1,8.0,pipeline5_text_candidate_requires_review,,Keep in review; inspect rerun gaps and cited evidence before changing verifier behavior.,11.3.8.2 The floor area for a laneway house must not exceed the lesser of: | (a) 0.25 multiplied by the site area; and 11.3.8.2 The floor area for a laneway house must not exceed the lesser of: | (a) 0.25 multiplied by the site area; and,laneway house: floor area must be no more than.
vancouver_rs_009,verified,True,floor_area,total,laneway house,<=,186,sq. m,,vancouver_section_11_2026_02__11_3_7_1__0008__unit_001__ev_text_008,vancouver_section_11_2026_02__11_3_7_1__0008__unit_001__ev_heading_plus_clause_006_2,8.0,,,Candidate can be considered for manual promotion after benchmark/adversarial checks.,11.3.8.2 The floor area for a laneway house must not exceed the lesser of: | (b) 186 sq. m . 11.3.8.2 The floor area for a laneway house must not exceed the lesser of: | (b) 186 sq. m .,laneway house: floor area for total must be no more than 186 sq. m.
vancouver_rs_024,review_needed,False,floor_area,computation,laneway house,allowed,,,,vancouver_section_11_2026_02__11_3_8_8__0009__unit_001__ev_text_002,vancouver_section_11_2026_02__11_3_8_8__0009__unit_001__ev_heading_plus_clause_006_2,9.0,pipeline5_text_candidate_requires_review; unresolved_exception_cue,,Keep in review; inspect rerun gaps and cited evidence before changing verifier behavior.,"11.3.8.9 Computation of floor area for a laneway house must exclude: | (b) balconies and decks, and any other appurtenances that the Director of Planning considers similar to the foregoing, provided that the total area of these exclusions does not exceed 8%...",laneway house: floor area for computation is permitted.
vancouver_rs_036,review_needed,False,ceiling_height,excluded_area,laneway house,<=,,,total area being excluded,vancouver_section_11_2026_02__11_3_8_8__0009__unit_001__ev_text_012,vancouver_section_11_2026_02__11_3_7_1__0008__unit_001__ev_heading_plus_clause_012_1,1,pipeline5_text_candidate_requires_review,original_rule_had_legal_conflict_or_exception,Keep in review; inspect rerun gaps and cited evidence before changing verifier behavior.,"11.3.8.4 The building height for a laneway house must not exceed 8.5 m and 2 storeys. | 11.3.8.5 Despite the maximum permitted site coverage in an applicable district schedule, for a site with a laneway house, the maximum site coverage is 50% of the site ar...",laneway house: ceiling height for excluded area must be no more than  when total area being excluded.
vancouver_rs_026,review_needed,False,floor_area,gross_cross_sectional_area,floor_area_measurement,,,,,vancouver_section_11_2026_02__11_3_8_8__0009__unit_001__ev_text_004,vancouver_section_11_2026_02__11_3_7_1__0008__unit_001__ev_heading_plus_clause_004_2,8.0,pipeline5_text_candidate_requires_review; operator_not_supported,,Keep in review; inspect rerun gaps and cited evidence before changing verifier behavior.,11.3.8 Laneway House | 11.3.8.2 The floor area for a laneway house must not exceed the lesser of: 11.3.8 Laneway House | 11.3.8.2 The floor area for a laneway house must not exceed the lesser of:,floor_area_measurement: floor area for gross cross sectional area is claimed.
vancouver_rs_018,review_needed,False,building_separation,separation_from_main_house,laneway house,>=,4.9,m,measured across the width of the site,vancouver_section_11_2026_02__11_3_7_1__0008__unit_001__ev_text_015,vancouver_section_11_2026_02__11_3_7_1__0008__unit_001__ev_heading_plus_clause_014_1,8.0,pipeline5_text_candidate_requires_review; rule_object_not_supported,,Keep in review; inspect rerun gaps and cited evidence before changing verifier behavior.,"11.3.8.6 A laneway house must be at least: | (a) 4.9 m, measured across the width of the site, from the single detached house or single detached house with secondary suite on the site; 11.3.8.6 A laneway house must be at least: | (a) 4.9 m, measured across...",laneway house: building separation for separation from main house must be at least 4.9 m when measured across the width of the site.
vancouver_rs_025,review_needed,False,floor_area,all_floors,all_floors,,,,,vancouver_section_11_2026_02__11_3_8_8__0009__unit_001__ev_text_003,vancouver_section_11_2026_02__11_3_7_1__0008__unit_001__ev_heading_plus_clause_004_2,8.0,pipeline5_text_candidate_requires_review; operator_not_supported,,Keep in review; inspect rerun gaps and cited evidence before changing verifier behavior.,11.3.8 Laneway House | 11.3.8.2 The floor area for a laneway house must not exceed the lesser of: 11.3.8 Laneway House | 11.3.8.2 The floor area for a laneway house must not exceed the lesser of:,all_floors: floor area for all floors is claimed.
vancouver_rs_019,review_needed,False,setback,rear_yard,laneway house,>=,0.9,m,,vancouver_section_11_2026_02__11_3_7_1__0008__unit_001__ev_text_016,vancouver_section_11_2026_02__11_3_7_1__0008__unit_001__ev_heading_plus_clause_014_2,8.0,pipeline5_text_candidate_requires_review; rule_object_not_supported,,Keep in review; inspect rerun gaps and cited evidence before changing verifier behavior.,11.3.8.6 A laneway house must be at least: | (b) 0.9 m from the ultimate rear property line; and 11.3.8.6 A laneway house must be at least: | (b) 0.9 m from the ultimate rear property line; and,laneway house: setback for rear yard must be at least 0.9 m.
vancouver_rs_003,review_needed,False,permitted_use,,Laneway House,allowed,,,,vancouver_section_11_2026_02__11_3_7_1__0008__unit_001__ev_text_004,vancouver_section_11_2026_02__11_3_7_1__0008__unit_001__ev_heading_plus_clause_004_1,8.0,pipeline5_text_candidate_requires_review,,Keep in review; inspect rerun gaps and cited evidence before changing verifier behavior.,"11.3.8 Laneway House | 11.3.8.1 A laneway house is only permitted in combination with a single detached house, single detached house with secondary suite, or child day care facility, and only on a site that provides vehicular access from the rear of the sit...",Laneway House: permitted use is permitted.
vancouver_rs_027,rejected,False,ceiling_height,floor_above_distance,floor_area_calculation,<=,3.7,m,"distance from a floor to the floor above or, where there is no floor above, to the top of the roof joists exceeds 3.7 m",vancouver_section_11_2026_02__11_3_8_8__0009__unit_001__ev_text_005,vancouver_section_11_2026_02__11_3_7_1__0008__unit_001__ev_heading_plus_clause_012_1,1,pipeline5_text_candidate_requires_review; value_not_found_in_evidence; applies_to_not_supported,,Keep in review; inspect rerun gaps and cited evidence before changing verifier behavior.,"11.3.8.4 The building height for a laneway house must not exceed 8.5 m and 2 storeys. | 11.3.8.5 Despite the maximum permitted site coverage in an applicable district schedule, for a site with a laneway house, the maximum site coverage is 50% of the site ar...","floor_area_calculation: ceiling height for floor above distance must be no more than 3.7 m when distance from a floor to the floor above or, where there is no floor above, to the top of the roof joists exceeds 3.7 m."
