original_rule_id,retry_decision,promotion_ready,rule_object,constraint_scope,applies_to,operator,value,unit,condition,original_evidence_id,retry_evidence_id,retry_evidence_page,retry_support_gaps,promotion_risk_flags,promotion_recommendation,retry_evidence_quote,rule_sentence
calgary_rcg_001,review_needed,False,floor_area,max_floor_area,floor_area,<=,100.0,m2,,local_merged_rule_0001,local_merged_rule_0002,395,pipeline5_text_candidate_requires_review; operator_not_supported; unresolved_exception_cue,original_rule_had_legal_conflict_or_exception,Keep in review; inspect rerun gaps and cited evidence before changing verifier behavior.,"building 13.0 m (2) Except as otherwise stated in subsections (2.1) and (3), the maximum 23P2016 floor area of a Secondary Suite, excluding any area covered by stairways and landings, is 100.0 square metres: (a) in the R-C1L, R-C1Ls, R-C1, R-C1s, R-C1N, R-1...",floor_area: floor area for max floor area must be no more than 100.0 m2.
calgary_rcg_005,review_needed,False,setback,min_setback,setback,>=,0.6,m,,local_merged_rule_0005,local_merged_rule_0004,395,pipeline5_text_candidate_requires_review; applies_to_not_supported; constraint_scope_not_supported; operator_not_supported,,Keep in review; inspect rerun gaps and cited evidence before changing verifier behavior.,"building 1.5 m 352 (1) For a Backyard Suite, the minimum building setback from a rear property line is: (a) 1.5 metres for any portion of the building used as a Backyard Suite; and (b) 0.6 metres for any portion of the building used as a private garage. bov...",setback: setback for min setback must be at least 0.6 m.
calgary_rcg_007,review_needed,False,building_separation,building_separation,building_separation,>=,0.6,m,,local_merged_rule_0007,local_merged_rule_0008,396,pipeline5_text_candidate_requires_review; applies_to_not_supported,,Keep in review; inspect rerun gaps and cited evidence before changing verifier behavior.,building 40.0 % (3.2) (a) Where portions of a Backyard Suite meet the requirements of subsection (b) these portions may project: (i) into a setback area from a property line shared with a street or a lane to a minimum building setback of 0.6 metres from the...,building_separation: building separation for building separation must be at least 0.6 m.
calgary_rcg_009,review_needed,False,building_separation,building_separation,building_separation,>=,3.1,m,,local_merged_rule_0009,local_merged_rule_0007,396,pipeline5_text_candidate_requires_review; applies_to_not_supported,,Keep in review; inspect rerun gaps and cited evidence before changing verifier behavior.,building 0.6 m (3.2) (a) Where portions of a Backyard Suite meet the requirements of subsection (b) these portions may project: (i) into a setback area from a property line shared with a street or a lane to a minimum building setback of 0.6 metres from the...,building_separation: building separation for building separation must be at least 3.1 m.
calgary_rcg_012,review_needed,False,height,building,height,<=,3.0,m,,local_merged_rule_0012,local_merged_rule_0011,396,pipeline5_text_candidate_requires_review; applies_to_not_supported; constraint_scope_not_supported; operator_not_supported,,Keep in review; inspect rerun gaps and cited evidence before changing verifier behavior.,building 5.0 m (4.1) The maximum building height for a Backyard Suite is: (a) 5.0 metres measured from grade at a side property line shared with a parcel designated with a low density residential district; (b) 3.0 metres measured from grade at a rear proper...,height: height for building must be no more than 3.0 m.
calgary_rcg_013,verified,True,height,building,height,<=,7.5,m,,local_merged_rule_0013,local_merged_rule_0010,396,,,Candidate can be considered for manual promotion after benchmark/adversarial checks.,"building 7.5 m (4) Unless otherwise referenced in subsection (4.1), the maximum building height for a Backyard Suite is 7.5 metres. 10P2019 ilding setback of 0.6 metres from the shared property line; and (ii) 0.6 metres into the minimum separation area requ...",height: height for building must be no more than 7.5 m.
calgary_rcg_014,review_needed,False,floor_area,max_floor_area,floor_area,<=,2.5,m2,,local_merged_rule_0014,local_merged_rule_0015,396,pipeline5_text_candidate_requires_review; applies_to_not_supported; unresolved_exception_cue,original_rule_had_legal_conflict_or_exception,Keep in review; inspect rerun gaps and cited evidence before changing verifier behavior.,"building 75.0 m2 (5) The maximum floor area of a Backyard Suite, excluding any area covered by stairways and internal landings not exceeding 2.5 square metres, is 75.0 square metres. d (iii) each have a maximum length of 3.1 metres 10P2019 (4) Unless otherw...",floor_area: floor area for max floor area must be no more than 2.5 m2.
calgary_rcg_015,review_needed,False,floor_area,max_floor_area,floor_area,<=,75.0,m2,,local_merged_rule_0015,local_merged_rule_0014,396,pipeline5_text_candidate_requires_review; applies_to_not_supported; unresolved_exception_cue,original_rule_had_legal_conflict_or_exception,Keep in review; inspect rerun gaps and cited evidence before changing verifier behavior.,"building 2.5 m2 (5) The maximum floor area of a Backyard Suite, excluding any area covered by stairways and internal landings not exceeding 2.5 square metres, is 75.0 square metres. d (iii) each have a maximum length of 3.1 metres 10P2019 (4) Unless otherwi...",floor_area: floor area for max floor area must be no more than 75.0 m2.
calgary_rcg_017,review_needed,False,setback,min_setback,setback,>=,4.0,m,,local_merged_rule_0017,local_merged_rule_0018,397,pipeline5_text_candidate_requires_review; operator_not_supported,,Keep in review; inspect rerun gaps and cited evidence before changing verifier behavior.,building 2.0 m (8) A Backyard Suite may include a balcony where the balcony: 10P2019 (a) projects from a façade that faces a property line shared with a lane or a street; or (b) includes a privacy wall that screens the balcony from a property line shared wi...,setback: setback for min setback must be at least 4.0 m.
calgary_rcg_018,review_needed,False,setback,min_setback,setback,>=,2.0,m,,local_merged_rule_0018,local_merged_rule_0017,397,pipeline5_text_candidate_requires_review; applies_to_not_supported; constraint_scope_not_supported,,Keep in review; inspect rerun gaps and cited evidence before changing verifier behavior.,building 4.0 m (8) A Backyard Suite may include a balcony where the balcony: 10P2019 (a) projects from a façade that faces a property line shared with a lane or a street; or (b) includes a privacy wall that screens the balcony from a property line shared wi...,setback: setback for min setback must be at least 2.0 m.
calgary_rcg_019,review_needed,False,setback,min_setback,setback,>=,3.0,m,,local_merged_rule_0019,local_merged_rule_0017,397,pipeline5_text_candidate_requires_review; applies_to_not_supported; constraint_scope_not_supported,,Keep in review; inspect rerun gaps and cited evidence before changing verifier behavior.,building 4.0 m (8) A Backyard Suite may include a balcony where the balcony: 10P2019 (a) projects from a façade that faces a property line shared with a lane or a street; or (b) includes a privacy wall that screens the balcony from a property line shared wi...,setback: setback for min setback must be at least 3.0 m.
