original_rule_id,retry_decision,promotion_ready,rule_object,constraint_scope,applies_to,operator,value,unit,condition,original_evidence_id,retry_evidence_id,retry_evidence_page,retry_support_gaps,promotion_risk_flags,promotion_recommendation,retry_evidence_quote,rule_sentence
calgary_rcg_003,rejected,False,height,height,Backyard Suite,<=,7.5,m,at a proportional distance from the shared property line,m4_pack_0001_ev_003,m4_pack_0001_ev_001,396,upstream_extraction_requested_review; extraction_source_fidelity_hold; text_candidate_requires_review; value_not_found_in_evidence,,Keep in review; inspect rerun gaps and cited evidence before changing verifier behavior.,The maximum building height for a Backyard Suite is: (a) 5.0 metres measured from grade at a side property line shared with a parcel designated with a low density residential district tion (3) or the amenity space required in subsection (3.1); (b) Projectio...,Backyard Suite: height for height must be no more than 7.5 m when at a proportional distance from the shared property line.
calgary_rcg_007,rejected,False,setback,setback,private garage,>=,0.6,m,rear property line,m4_pack_0003_ev_002,m4_pack_0003_ev_001,395,upstream_extraction_requested_review; extraction_source_fidelity_hold; text_candidate_requires_review; value_not_found_in_evidence; constraint_scope_not_supported; operator_not_supported,,Keep in review; inspect rerun gaps and cited evidence before changing verifier behavior.,minimum building setback from a rear property line is: (a) 1.5 metres for any portion of the building used as a Backyard Suite area of a Secondary Suite may be relaxed by the Development Authority to a maximum of 10.0 per cent. (4) Except in the R-CG Distri...,private garage: setback for setback must be at least 0.6 m when rear property line.
calgary_rcg_011,review_needed,False,setback,setback,"Duplex Dwelling, Semi-detached Dwelling or Single Detached Dwelling",>=,3.0,m,for any other residential district,m4_pack_0007_ev_001,v3_repair_pack_0008_ev_001,398,text_candidate_requires_review; rule_object_not_supported,,Keep in review; inspect rerun gaps and cited evidence before changing verifier behavior.,"a minimum of 3.0 metres for any other residential district operty line for a Duplex Dwelling, Semi-detached Dwelling or Single Detached Dwelling in the Developed Area is deemed to conform with the requirements of this Bylaw if: (a) the Duplex Dwelling, Semi...","Duplex Dwelling, Semi-detached Dwelling or Single Detached Dwelling: setback for setback must be at least 3.0 m when for any other residential district."
calgary_rcg_016,rejected,False,setback,setback,balcony,<,4.0,m,balcony projects from a façade that faces a property line shared with a lane or a street or includes a privacy wall,m4_pack_0015_ev_001,m4_pack_0015_ev_002,397,upstream_extraction_requested_review; extraction_source_fidelity_hold; text_candidate_requires_review; enumerated_branch_condition_missing; rule_family_direction_mismatch; value_not_found_in_evidence; constraint_scope_not_supported,,Keep in review; inspect rerun gaps and cited evidence before changing verifier behavior.,the privacy wall is a minimum of 2.0 metres in height n 16P2018 less than 1.5 metres. (c) deleted 16P2018 (8) A Backyard Suite may include a balcony where the balcony: 10P2019 (a) projects from a façade that faces a property line shared with a lane or a str...,balcony: setback for setback must be less than 4.0 m when balcony projects from a façade that faces a property line shared with a lane or a street or includes a privacy wall.
calgary_rcg_017,rejected,False,height,height,privacy wall,>=,2.0,m,balcony includes a privacy wall that screens the balcony from a property line shared with a parcel designated with low density residential district,m4_pack_0015_ev_002,m4_pack_0015_ev_003,397,upstream_extraction_requested_review; extraction_source_fidelity_hold; text_candidate_requires_review; rule_family_direction_mismatch; value_not_found_in_evidence,,Keep in review; inspect rerun gaps and cited evidence before changing verifier behavior.,a maximum of 3.0 metres in height Backyard Suite may include a balcony where the balcony: 10P2019 (a) projects from a façade that faces a property line shared with a lane or a street; or (b) includes a privacy wall that screens the balcony from a property l...,privacy wall: height for height must be at least 2.0 m when balcony includes a privacy wall that screens the balcony from a property line shared with a parcel designated with low density residential district.
calgary_rcg_018,rejected,False,height,height,privacy wall,<=,3.0,m,balcony includes a privacy wall that screens the balcony from a property line shared with a parcel designated with low density residential district,m4_pack_0015_ev_003,m4_pack_0015_ev_002,397,upstream_extraction_requested_review; extraction_source_fidelity_hold; text_candidate_requires_review; value_not_found_in_evidence,,Keep in review; inspect rerun gaps and cited evidence before changing verifier behavior.,the privacy wall is a minimum of 2.0 metres in height n 16P2018 less than 1.5 metres. (c) deleted 16P2018 (8) A Backyard Suite may include a balcony where the balcony: 10P2019 (a) projects from a façade that faces a property line shared with a lane or a str...,privacy wall: height for height must be no more than 3.0 m when balcony includes a privacy wall that screens the balcony from a property line shared with a parcel designated with low density residential district.
calgary_rcg_022,rejected,False,floor_area,floor_area,Backyard Suite,<=,75.0,m2,,m4_pack_0021_ev_001,m4_pack_0001_ev_001,396,text_candidate_requires_review; value_not_found_in_evidence; unit_not_found_in_evidence; rule_object_not_supported,,Keep in review; inspect rerun gaps and cited evidence before changing verifier behavior.,The maximum building height for a Backyard Suite is: (a) 5.0 metres measured from grade at a side property line shared with a parcel designated with a low density residential district tion (3) or the amenity space required in subsection (3.1); (b) Projectio...,Backyard Suite: floor area for floor area must be no more than 75.0 m2.
calgary_rcg_024,rejected,False,lot_coverage,lot_coverage,parcels subject to a single development permit,<=,45.0,%,density of less than 40 units per hectare,m4_pack_0022_ev_001,m4_pack_0014_ev_001,470,text_candidate_requires_review; value_not_found_in_evidence; unit_not_found_in_evidence; applies_to_not_supported,,Keep in review; inspect rerun gaps and cited evidence before changing verifier behavior.,21.0 square metres where one motor vehicle parking stall is required on a parcel that is not located in a private garage hectare; (c) 55.0 per cent of the area of the parcels subject to the single development permit for a development with a density of 50 un...,parcels subject to a single development permit: lot coverage for lot coverage must be no more than 45.0 % when density of less than 40 units per hectare.
calgary_rcg_031,rejected,False,setback,setback,side setback area,,2.4,m,measured from grade,m4_pack_0033_ev_001,m4_pack_0013_ev_001,471,upstream_extraction_requested_review; text_candidate_requires_review; value_not_found_in_evidence; operator_not_supported,,Keep in review; inspect rerun gaps and cited evidence before changing verifier behavior.,"A minimum building setback of 1.2 metres is required from a side property line PART 5 - 536 Building Setback Areas 15P2016 536 The minimum depth of all setback areas must be equal to the minimum 56P2022 building setback required in sections 535, 537, 538, 5...",side setback area: setback for setback has value 2.4 m when measured from grade.
calgary_rcg_046,rejected,False,height,height,building,<=,11.0,m,"shared property line with low density residential district, M-CG or H-GO District",m4_pack_0042_ev_002,m4_pack_0042_ev_001,472,upstream_extraction_requested_review; extraction_source_fidelity_hold; text_candidate_requires_review; value_not_found_in_evidence,,Keep in review; inspect rerun gaps and cited evidence before changing verifier behavior.,the maximum building height: (a) is the greater of: (i) the highest geodetic elevation of a main residential building on the adjoining parcel; or (ii) 7.0 metres from grade foremost front façade of the immediately adjacent main residential building and the...,"building: height for height must be no more than 11.0 m when shared property line with low density residential district, M-CG or H-GO District."
