original_rule_id,retry_decision,promotion_ready,rule_object,constraint_scope,applies_to,operator,value,unit,condition,original_evidence_id,retry_evidence_id,retry_evidence_page,retry_support_gaps,promotion_risk_flags,promotion_recommendation,retry_evidence_quote,rule_sentence
calgary_rcg_001,rejected,False,setback,setback,principal building,>=,0.6,m,property line shared with a street or a lane,m4_pack_0001_ev_001,m4_pack_0794_ev_001,385,pipeline5_text_candidate_requires_review; text_condition_not_supported; enumerated_branch_condition_missing; value_not_found_in_evidence; applies_to_not_supported; constraint_scope_not_supported; operator_not_supported; outside_target_section,,Keep in review; inspect rerun gaps and cited evidence before changing verifier behavior.,the minimum building setback for an Accessory Residential Building is: (a) 1.2 metres from a side or rear property line shared with a street tisfaction of the Development Authority. (7) deleted 43P2016 (8) A Power Generation Facility – Small with a capacity...,principal building: setback for setback must be at least 0.6 m when property line shared with a street or a lane.
calgary_rcg_002,review_needed,False,building_separation,building_separation,principal building,>=,0.6,m,minimum separation area required in subsection (3),m4_pack_0001_ev_002,m4_pack_0001_ev_001,396,pipeline5_text_candidate_requires_review; enumerated_branch_condition_missing; applies_to_not_supported,,Keep in review; inspect rerun gaps and cited evidence before changing verifier behavior.,into a setback area from a property line shared with a street or a lane to a minimum building setback of 0.6 metres in residential building to the closest façade of a Backyard Suite. 10P2019 (3.1) The minimum façade separation in subsection (3) may be reduc...,principal building: building separation for building separation must be at least 0.6 m when minimum separation area required in subsection (3).
calgary_rcg_003,review_needed,False,building_separation,building_separation,principal building,>=,0.6,m,amenity space required in subsection (3.1),m4_pack_0001_ev_003,m4_pack_0001_ev_001,396,upstream_extraction_requested_review; pipeline5_text_candidate_requires_review; enumerated_branch_condition_missing; applies_to_not_supported,,Keep in review; inspect rerun gaps and cited evidence before changing verifier behavior.,into a setback area from a property line shared with a street or a lane to a minimum building setback of 0.6 metres in residential building to the closest façade of a Backyard Suite. 10P2019 (3.1) The minimum façade separation in subsection (3) may be reduc...,principal building: building separation for building separation must be at least 0.6 m when amenity space required in subsection (3.1).
calgary_rcg_004,not_used,False,lot_coverage,lot_coverage,principal building,<=,40.0,%,of the length of the façade on each storey for the total combined length of all projections,m4_pack_0001_ev_004,m4_pack_0113_ev_001,407,pipeline5_text_candidate_requires_review; text_condition_not_supported; applies_to_not_supported; outside_target_section; coefficient_operand_not_value,,Keep in review; inspect rerun gaps and cited evidence before changing verifier behavior.,"The maximum parcel coverage is 40.0 per cent of the area of a parcel, which must be reduced by 21.0 square metres for each required motor vehicle parking stall that is not provided in a private garage. PART 5 - DIVISION 2: R-C1L & R-C1Ls 374 Parcel Area 374...",principal building: lot coverage for lot coverage must be no more than 40.0 % when of the length of the façade on each storey for the total combined length of all projections.
calgary_rcg_006,rejected,False,height,height,privacy wall,>=,2.0,m,balcony is setback less than 4.0 metres from the shared property line,m4_pack_0002_ev_001,m4_pack_0002_ev_002,397,upstream_extraction_requested_review; pipeline5_text_candidate_requires_review; enumerated_branch_condition_missing; rule_family_direction_mismatch; value_not_found_in_evidence,,Keep in review; inspect rerun gaps and cited evidence before changing verifier behavior.,and a maximum of 3.0 metres in height ) A Backyard Suite may include a balcony where the balcony: 10P2019 (a) projects from a façade that faces a property line shared with a lane or a street; or (b) includes a privacy wall that screens the balcony from a pr...,privacy wall: height for height must be at least 2.0 m when balcony is setback less than 4.0 metres from the shared property line.
calgary_rcg_007,rejected,False,height,height,privacy wall,<=,3.0,m,balcony is setback less than 4.0 metres from the shared property line,m4_pack_0002_ev_002,m4_pack_0002_ev_001,397,upstream_extraction_requested_review; pipeline5_text_candidate_requires_review; value_not_found_in_evidence,,Keep in review; inspect rerun gaps and cited evidence before changing verifier behavior.,the privacy wall is a minimum of 2.0 metres in height n 16P2018 less than 1.5 metres. (c) deleted 16P2018 (8) A Backyard Suite may include a balcony where the balcony: 10P2019 (a) projects from a façade that faces a property line shared with a lane or a str...,privacy wall: height for height must be no more than 3.0 m when balcony is setback less than 4.0 metres from the shared property line.
calgary_rcg_010,rejected,False,building_separation,building_separation,principal building,>=,5.0,m,closest façade of the main residential building to the closest façade of a Backyard Suite,m4_pack_0005_ev_001,m4_pack_0001_ev_001,396,pipeline5_text_candidate_requires_review; enumerated_branch_condition_missing; value_not_found_in_evidence; applies_to_not_supported; constraint_scope_not_supported; operator_not_supported,,Keep in review; inspect rerun gaps and cited evidence before changing verifier behavior.,into a setback area from a property line shared with a street or a lane to a minimum building setback of 0.6 metres in residential building to the closest façade of a Backyard Suite. 10P2019 (3.1) The minimum façade separation in subsection (3) may be reduc...,principal building: building separation for building separation must be at least 5.0 m when closest façade of the main residential building to the closest façade of a Backyard Suite.
calgary_rcg_018,rejected,False,setback,setback,private garage,>=,0.6,m,rear property line,m4_pack_0010_ev_002,m4_pack_0009_ev_001,395,pipeline5_text_candidate_requires_review; value_not_found_in_evidence; constraint_scope_not_supported; operator_not_supported; rule_object_not_supported,,Keep in review; inspect rerun gaps and cited evidence before changing verifier behavior.,"has a minimum area of 7.5 square metres is no maximum floor area for a Secondary Suite wholly located 23P2016, 4P2017 in a basement. Internal landings and stairways providing access to the basement may be located above grade. (3) The maximum floor area of a...",private garage: setback for setback must be at least 0.6 m when rear property line.
calgary_rcg_020,rejected,False,floor_area,floor_area,backyard suite,<=,75.0,m2,,m4_pack_0012_ev_001,m4_pack_0006_ev_001,396,pipeline5_text_candidate_requires_review; value_not_found_in_evidence; unit_not_found_in_evidence; rule_object_not_supported,,Keep in review; inspect rerun gaps and cited evidence before changing verifier behavior.,The maximum building height for a Backyard Suite is: (a) 5.0 metres measured from grade at a side property line shared with a parcel designated with a low density residential district tion (3) or the amenity space required in subsection (3.1); (b) Projectio...,backyard suite: floor area for floor area must be no more than 75.0 m2.
calgary_rcg_125,rejected,False,height,height,principal building,<=,7.0,m,measured at the shared property line,m4_pack_0253_ev_001,m4_pack_0253_ev_002,472,upstream_extraction_requested_review; pipeline5_text_candidate_requires_review; enumerated_branch_condition_missing; value_not_found_in_evidence; applies_to_not_supported; constraint_scope_not_supported; rule_object_not_supported,,Keep in review; inspect rerun gaps and cited evidence before changing verifier behavior.,"and (b) increases at a 45 degree angle to a maximum of 11.0 metres d (4), the maximum building height is 11.0 metres measured from grade. (2) Where a building setback is required from a property line shared with another parcel designated with a low density...",principal building: height for height must be no more than 7.0 m when measured at the shared property line.
