original_rule_id,retry_decision,promotion_ready,rule_object,constraint_scope,applies_to,operator,value,unit,condition,original_evidence_id,retry_evidence_id,retry_evidence_page,retry_support_gaps,promotion_risk_flags,promotion_recommendation,retry_evidence_quote,rule_sentence
burnaby_r1_019,rejected,False,lot_area,lot,Rowhouse .1,<=,280,m²,,pipeline5_merged_rule_0019,pipeline5_merged_rule_0058,1,pipeline5_text_candidate_requires_review; rule_family_direction_mismatch; value_not_found_in_evidence; unit_not_found_in_evidence; unresolved_exception_cue,,Keep in review; inspect rerun gaps and cited evidence before changing verifier behavior.,"subdivision plan .1 At the time of registration of the subdivision plan to create two or more rowhouse lots, the registration of a Section 219 Covenant will be required to ensure that all adjoining rowhouse dwellings will be constructed at the same time. .1...",Rowhouse .1: lot area for lot must be no more than 280 m².
burnaby_r1_020,rejected,False,dwelling_units,lot,Rowhouse,>=,1,units,,pipeline5_merged_rule_0020__api_01,pipeline5_merged_rule_0058,1,pipeline5_text_candidate_requires_review; rule_family_direction_mismatch; value_not_found_in_evidence; unit_not_found_in_evidence; applies_to_not_supported; constraint_scope_not_supported; operator_not_supported; rule_object_not_supported; unresolved_exception_cue,,Keep in review; inspect rerun gaps and cited evidence before changing verifier behavior.,"subdivision plan .1 At the time of registration of the subdivision plan to create two or more rowhouse lots, the registration of a Section 219 Covenant will be required to ensure that all adjoining rowhouse dwellings will be constructed at the same time. .1...",Rowhouse: dwelling units for lot must be at least 1 units.
burnaby_r1_028,rejected,False,lot_area,lot,Small-Scale Multi-Unit (3 to 4 Units),>=,281,m²,4 Units Only,pipeline5_merged_rule_0024,pipeline5_merged_rule_0058,1,pipeline5_text_candidate_requires_review; text_condition_not_supported; value_not_found_in_evidence; unit_not_found_in_evidence; unresolved_exception_cue,,Keep in review; inspect rerun gaps and cited evidence before changing verifier behavior.,"subdivision plan .1 At the time of registration of the subdivision plan to create two or more rowhouse lots, the registration of a Section 219 Covenant will be required to ensure that all adjoining rowhouse dwellings will be constructed at the same time. .1...",Small-Scale Multi-Unit (3 to 4 Units): lot area for lot must be at least 281 m² when 4 Units Only.
burnaby_r1_029,rejected,False,lot_area,lot,Small-Scale Multi-Unit (5 to 6 Units),>=,281,m²,Frequent Transit Network Area Only,pipeline5_merged_rule_0025,pipeline5_merged_rule_0027,2,rule_family_direction_mismatch; value_not_found_in_evidence; unit_not_found_in_evidence; applies_to_not_supported; operator_not_supported; table_operator_refuted; rule_object_unit_not_compatible; table_applies_to_not_supported; table_condition_not_supported; table_column_not_target_scope; table_cell_candidate_requires_review; table_evidence_candidate_requires_review,,Keep in review; inspect rerun gaps and cited evidence before changing verifier behavior.,Maximum Lot Coverage All Buildings All Buildings 55 % Maximum Lot Coverage | All Buildings | 55 % | Maximum Lot Coverage | All Buildings | 55% 101.4 Development Regulations Dwelling Type Rowhouse Small-Scale Multi-Unit 5 to 6 Units Permitted Dwelling Units...,Small-Scale Multi-Unit (5 to 6 Units): lot area for lot must be at least 281 m² when Frequent Transit Network Area Only.
burnaby_r1_030,rejected,False,lot_area,lot,Rowhouse,<=,280,m²,,pipeline5_merged_rule_0026,pipeline5_merged_rule_0058,1,pipeline5_text_candidate_requires_review; rule_family_direction_mismatch; value_not_found_in_evidence; unit_not_found_in_evidence; unresolved_exception_cue,,Keep in review; inspect rerun gaps and cited evidence before changing verifier behavior.,"subdivision plan .1 At the time of registration of the subdivision plan to create two or more rowhouse lots, the registration of a Section 219 Covenant will be required to ensure that all adjoining rowhouse dwellings will be constructed at the same time. .1...",Rowhouse: lot area for lot must be no more than 280 m².
burnaby_r1_032,rejected,False,lot_coverage,lot,Small-Scale Multi-Unit (1 to 2 Units),<=,40,%,Lots <= 567 m2,pipeline5_merged_rule_0028,pipeline5_merged_rule_0027,2,value_not_found_in_evidence; applies_to_not_supported; table_applies_to_not_supported; table_column_not_target_scope; table_cell_candidate_requires_review; table_evidence_candidate_requires_review,,Keep in review; inspect rerun gaps and cited evidence before changing verifier behavior.,Maximum Lot Coverage All Buildings All Buildings 55 % Maximum Lot Coverage | All Buildings | 55 % | Maximum Lot Coverage | All Buildings | 55% 101.4 Development Regulations Dwelling Type Rowhouse Small-Scale Multi-Unit 5 to 6 Units Permitted Dwelling Units...,Small-Scale Multi-Unit (1 to 2 Units): lot coverage for lot must be no more than 40 % when Lots <= 567 m2.
burnaby_r1_033,rejected,False,lot_coverage,lot,Small-Scale Multi-Unit (1 to 2 Units),<=,30,%,Lots > 567 m2,pipeline5_merged_rule_0029,pipeline5_merged_rule_0027,2,value_not_found_in_evidence; applies_to_not_supported; table_applies_to_not_supported; table_column_not_target_scope; table_cell_candidate_requires_review; table_evidence_candidate_requires_review,,Keep in review; inspect rerun gaps and cited evidence before changing verifier behavior.,Maximum Lot Coverage All Buildings All Buildings 55 % Maximum Lot Coverage | All Buildings | 55 % | Maximum Lot Coverage | All Buildings | 55% 101.4 Development Regulations Dwelling Type Rowhouse Small-Scale Multi-Unit 5 to 6 Units Permitted Dwelling Units...,Small-Scale Multi-Unit (1 to 2 Units): lot coverage for lot must be no more than 30 % when Lots > 567 m2.
burnaby_r1_034,rejected,False,lot_coverage,lot,Small-Scale Multi-Unit (3 to 4 Units),<=,40,%,,pipeline5_merged_rule_0030,pipeline5_merged_rule_0027,2,value_not_found_in_evidence; applies_to_not_supported; table_applies_to_not_supported; table_column_not_target_scope; table_cell_candidate_requires_review; table_evidence_candidate_requires_review,,Keep in review; inspect rerun gaps and cited evidence before changing verifier behavior.,Maximum Lot Coverage All Buildings All Buildings 55 % Maximum Lot Coverage | All Buildings | 55 % | Maximum Lot Coverage | All Buildings | 55% 101.4 Development Regulations Dwelling Type Rowhouse Small-Scale Multi-Unit 5 to 6 Units Permitted Dwelling Units...,Small-Scale Multi-Unit (3 to 4 Units): lot coverage for lot must be no more than 40 %.
burnaby_r1_035,rejected,False,lot_coverage,lot,Small-Scale Multi-Unit (5 to 6 Units),<=,45,%,Frequent Transit Network Area Only,pipeline5_merged_rule_0031,pipeline5_merged_rule_0027,2,value_not_found_in_evidence; applies_to_not_supported; table_applies_to_not_supported; table_condition_not_supported; table_column_not_target_scope; table_cell_candidate_requires_review; table_evidence_candidate_requires_review,,Keep in review; inspect rerun gaps and cited evidence before changing verifier behavior.,Maximum Lot Coverage All Buildings All Buildings 55 % Maximum Lot Coverage | All Buildings | 55 % | Maximum Lot Coverage | All Buildings | 55% 101.4 Development Regulations Dwelling Type Rowhouse Small-Scale Multi-Unit 5 to 6 Units Permitted Dwelling Units...,Small-Scale Multi-Unit (5 to 6 Units): lot coverage for lot must be no more than 45 % when Frequent Transit Network Area Only.
burnaby_r1_036,rejected,False,lot_coverage,lot,Rowhouse; Small-Scale Multi-Unit (5 to 6 Units),<=,70,%,,pipeline5_merged_rule_0032,pipeline5_merged_rule_0027,2,value_not_found_in_evidence; applies_to_not_supported; rule_object_not_supported; table_rule_object_not_supported; table_applies_to_not_supported; table_column_not_target_scope; table_cell_candidate_requires_review; table_evidence_candidate_requires_review,,Keep in review; inspect rerun gaps and cited evidence before changing verifier behavior.,Maximum Lot Coverage All Buildings All Buildings 55 % Maximum Lot Coverage | All Buildings | 55 % | Maximum Lot Coverage | All Buildings | 55% 101.4 Development Regulations Dwelling Type Rowhouse Small-Scale Multi-Unit 5 to 6 Units Permitted Dwelling Units...,Rowhouse; Small-Scale Multi-Unit (5 to 6 Units): lot coverage for lot must be no more than 70 %.
burnaby_r1_037,rejected,False,lot_coverage,lot,Small-Scale Multi-Unit (1 to 2 Units); Small-Scale Multi-Unit (3 to 4 Units),<=,60,%,,pipeline5_merged_rule_0033,pipeline5_merged_rule_0027,2,value_not_found_in_evidence; applies_to_not_supported; rule_object_not_supported; table_rule_object_not_supported; table_applies_to_not_supported; table_column_not_target_scope; table_cell_candidate_requires_review; table_evidence_candidate_requires_review; cross_family_value_collision,original_rule_had_legal_conflict_or_exception,Keep in review; inspect rerun gaps and cited evidence before changing verifier behavior.,Maximum Lot Coverage All Buildings All Buildings 55 % Maximum Lot Coverage | All Buildings | 55 % | Maximum Lot Coverage | All Buildings | 55% 101.4 Development Regulations Dwelling Type Rowhouse Small-Scale Multi-Unit 5 to 6 Units Permitted Dwelling Units...,Small-Scale Multi-Unit (1 to 2 Units); Small-Scale Multi-Unit (3 to 4 Units): lot coverage for lot must be no more than 60 %.
burnaby_r1_046,rejected,False,storeys,building,Rowhouse; Small-Scale Multi-Unit (1 to 2 Units); Small-Scale Multi-Unit (3 to 4 Units); Small-Scale Multi-Unit (5 to 6 Units),<=,1,storeys,,pipeline5_merged_rule_0042,pipeline5_merged_rule_0027,2,value_not_found_in_evidence; unit_not_found_in_evidence; applies_to_not_supported; rule_object_unit_not_compatible; table_applies_to_not_supported; table_column_not_target_scope; table_cell_candidate_requires_review; table_evidence_candidate_requires_review,,Keep in review; inspect rerun gaps and cited evidence before changing verifier behavior.,Maximum Lot Coverage All Buildings All Buildings 55 % Maximum Lot Coverage | All Buildings | 55 % | Maximum Lot Coverage | All Buildings | 55% 101.4 Development Regulations Dwelling Type Rowhouse Small-Scale Multi-Unit 5 to 6 Units Permitted Dwelling Units...,Rowhouse; Small-Scale Multi-Unit (1 to 2 Units); Small-Scale Multi-Unit (3 to 4 Units); Small-Scale Multi-Unit (5 to 6 Units): storeys for building must be no more than 1 storeys.
