rule_id,status,review_action_bucket,review_category,triage_priority,likely_status,likely_correct_score,rule_object,constraint_scope,applies_to,operator,value,unit,condition,support_gaps,source_page,evidence_id,evidence_quote,rule_sentence
calgary_rcg_001,review_needed,human_legal_review,unresolved_exception,high,weak,0.453,floor_area,max_floor_area,floor_area,<=,100.0,m2,,pipeline5_text_candidate_requires_review; operator_not_supported; unresolved_exception_cue,395,local_merged_rule_0001,"(2) Except as otherwise stated in subsections (2.1) and (3), the maximum 23P2016 floor area of a Secondary Suite, excluding any area covered by stairways and landings, is 100.0 square metres: (a) in the R-C1L, R-C1Ls, R-C1, R-C1s, R-C1N, R-1, R-1s and 24P2018 R-1N Districts; or (b) when located on a parcel with a parcel width less than 13.0 metres",floor_area: floor area for max floor area must be no more than 100.0 m2.
calgary_rcg_005,review_needed,retry_with_better_evidence,operator_uncertain,low,likely_wrong_or_noise,0.33,setback,min_setback,setback,>=,0.6,m,,pipeline5_text_candidate_requires_review; applies_to_not_supported; constraint_scope_not_supported; operator_not_supported,395,local_merged_rule_0005,"352 (1) For a Backyard Suite, the minimum building setback from a rear property line is: (a) 1.5 metres for any portion of the building used as a Backyard Suite; and (b) 0.6 metres for any portion of the building used as a private garage.",setback: setback for min setback must be at least 0.6 m.
calgary_rcg_007,review_needed,retry_with_better_evidence,missing_applies_to,medium,plausible,0.729,building_separation,building_separation,building_separation,>=,0.6,m,,pipeline5_text_candidate_requires_review; applies_to_not_supported,396,local_merged_rule_0007,(3.2) (a) Where portions of a Backyard Suite meet the requirements of subsection (b) these portions may project: (i) into a setback area from a property line shared with a street or a lane to a minimum building setback of 0.6 metres from the shared property line; and (ii) 0.6 metres into the minimum separation area required in subsection (3) or the amenity space required in subsection (3.1); (b) Projections described in subsection (a) must: (i) not exceed 40.0 per cent of the length of the façade on each storey for the total combined length of all projections; (ii) each contain a window; and (iii) each have a maximum length of 3.1 metres 10P2019,building_separation: building separation for building separation must be at least 0.6 m.
calgary_rcg_009,review_needed,retry_with_better_evidence,missing_applies_to,medium,plausible,0.729,building_separation,building_separation,building_separation,>=,3.1,m,,pipeline5_text_candidate_requires_review; applies_to_not_supported,396,local_merged_rule_0009,(3.2) (a) Where portions of a Backyard Suite meet the requirements of subsection (b) these portions may project: (i) into a setback area from a property line shared with a street or a lane to a minimum building setback of 0.6 metres from the shared property line; and (ii) 0.6 metres into the minimum separation area required in subsection (3) or the amenity space required in subsection (3.1); (b) Projections described in subsection (a) must: (i) not exceed 40.0 per cent of the length of the façade on each storey for the total combined length of all projections; (ii) each contain a window; and (iii) each have a maximum length of 3.1 metres 10P2019,building_separation: building separation for building separation must be at least 3.1 m.
calgary_rcg_012,review_needed,retry_with_better_evidence,operator_uncertain,low,weak,0.416,height,building,height,<=,3.0,m,,pipeline5_text_candidate_requires_review; applies_to_not_supported; constraint_scope_not_supported; operator_not_supported,396,local_merged_rule_0012,(4.1) The maximum building height for a Backyard Suite is: (a) 5.0 metres measured from grade at a side property line shared with a parcel designated with a low density residential district; (b) 3.0 metres measured from grade at a rear property line shared with a parcel designated with a low density residential district; and (c) increases at a 45 degree angle to a maximum of 7.5 metres at a proportional distance from the shared property line. 10P2019,height: height for building must be no more than 3.0 m.
calgary_rcg_013,review_needed,retry_with_better_evidence,missing_applies_to,medium,plausible,0.614,height,building,height,<=,7.5,m,,pipeline5_text_candidate_requires_review; applies_to_not_supported; constraint_scope_not_supported,396,local_merged_rule_0013,(4.1) The maximum building height for a Backyard Suite is: (a) 5.0 metres measured from grade at a side property line shared with a parcel designated with a low density residential district; (b) 3.0 metres measured from grade at a rear property line shared with a parcel designated with a low density residential district; and (c) increases at a 45 degree angle to a maximum of 7.5 metres at a proportional distance from the shared property line. 10P2019,height: height for building must be no more than 7.5 m.
calgary_rcg_014,review_needed,human_legal_review,unresolved_exception,high,weak,0.497,floor_area,max_floor_area,floor_area,<=,2.5,m2,,pipeline5_text_candidate_requires_review; applies_to_not_supported; unresolved_exception_cue,396,local_merged_rule_0014,"(5) The maximum floor area of a Backyard Suite, excluding any area covered by stairways and internal landings not exceeding 2.5 square metres, is 75.0 square metres.",floor_area: floor area for max floor area must be no more than 2.5 m2.
calgary_rcg_015,review_needed,human_legal_review,unresolved_exception,high,weak,0.497,floor_area,max_floor_area,floor_area,<=,75.0,m2,,pipeline5_text_candidate_requires_review; applies_to_not_supported; unresolved_exception_cue,396,local_merged_rule_0015,"(5) The maximum floor area of a Backyard Suite, excluding any area covered by stairways and internal landings not exceeding 2.5 square metres, is 75.0 square metres.",floor_area: floor area for max floor area must be no more than 75.0 m2.
calgary_rcg_017,review_needed,retry_with_better_evidence,operator_uncertain,low,plausible,0.641,setback,min_setback,setback,>=,4.0,m,,pipeline5_text_candidate_requires_review; operator_not_supported,397,local_merged_rule_0017,(8) A Backyard Suite may include a balcony where the balcony: 10P2019 (a) projects from a façade that faces a property line shared with a lane or a street; or (b) includes a privacy wall that screens the balcony from a property line shared with a parcel designated with low density residential district where: (i) the balcony is setback less than 4.0 metres from the shared property line; and (ii) the privacy wall is a minimum of 2.0 metres in height and a maximum of 3.0 metres in height.,setback: setback for min setback must be at least 4.0 m.
calgary_rcg_018,review_needed,retry_with_better_evidence,missing_applies_to,medium,weak,0.523,setback,min_setback,setback,>=,2.0,m,,pipeline5_text_candidate_requires_review; applies_to_not_supported; constraint_scope_not_supported,397,local_merged_rule_0018,(8) A Backyard Suite may include a balcony where the balcony: 10P2019 (a) projects from a façade that faces a property line shared with a lane or a street; or (b) includes a privacy wall that screens the balcony from a property line shared with a parcel designated with low density residential district where: (i) the balcony is setback less than 4.0 metres from the shared property line; and (ii) the privacy wall is a minimum of 2.0 metres in height and a maximum of 3.0 metres in height.,setback: setback for min setback must be at least 2.0 m.
calgary_rcg_019,review_needed,retry_with_better_evidence,missing_applies_to,medium,weak,0.523,setback,min_setback,setback,>=,3.0,m,,pipeline5_text_candidate_requires_review; applies_to_not_supported; constraint_scope_not_supported,397,local_merged_rule_0019,(8) A Backyard Suite may include a balcony where the balcony: 10P2019 (a) projects from a façade that faces a property line shared with a lane or a street; or (b) includes a privacy wall that screens the balcony from a property line shared with a parcel designated with low density residential district where: (i) the balcony is setback less than 4.0 metres from the shared property line; and (ii) the privacy wall is a minimum of 2.0 metres in height and a maximum of 3.0 metres in height.,setback: setback for min setback must be at least 3.0 m.
calgary_rcg_022,review_needed,retry_with_better_evidence,missing_applies_to,medium,plausible,0.554,setback,min_setback,setback,>=,3.0,m,,pipeline5_text_candidate_requires_review; applies_to_not_supported; constraint_scope_not_supported,398,local_merged_rule_0022,"(3) The building setback from the front property line for a Duplex Dwelling, Semi-detached Dwelling or Single Detached Dwelling in the Developed Area is deemed to conform with the requirements of this Bylaw if: (a) the Duplex Dwelling, Semi-detached Dwelling or Single Detached Dwelling was legally existing or approved prior to the effective date of this Bylaw; (b) the building setback from the front property line is: (i) a minimum of 6.0 metres for the R-C1L or R-C1Ls districts; or (ii) a minimum of 3.0 metres for any other residential district; and 67P2008 (c) the main residential building: (i) has not been added to after the effective date of this Bylaw; or (ii) has been added to after the effective date of this Bylaw and the addition complies with the requirements specified in this Bylaw for a building setback from the front property line. 67P2008, 46P2008",setback: setback for min setback must be at least 3.0 m.
calgary_rcg_023,review_needed,retry_with_better_evidence,operator_uncertain,low,plausible,0.684,height,building,height,<=,1.0,m,,pipeline5_text_candidate_requires_review; operator_not_supported,399,local_merged_rule_0023,"(2) When the difference between the average building reference point at the front corners of the parcel and those at the rear of the parcel is greater than or equal to 1.0 metres, the building height must not be greater than a height plane that: (a) begins at the highest average building reference point; (b) extends vertically to the maximum building height plus",height: height for building must be no more than 1.0 m.
calgary_rcg_024,review_needed,retry_with_better_evidence,operator_uncertain,low,plausible,0.687,height,building,height,<=,1.0,m,,pipeline5_text_candidate_requires_review; operator_not_supported,399,local_merged_rule_0024,"(3) When the difference between the average building reference points at the front corners of the parcel and those at the rear of the parcel is less than 1.0 metres, the building height must not be greater than the height plane that: (a) begins at the highest average building reference point; (b) extends vertically to the maximum building height plus",height: height for building must be no more than 1.0 m.
