rule_id,status,review_action_bucket,review_category,triage_priority,likely_status,likely_correct_score,rule_object,constraint_scope,applies_to,operator,value,unit,condition,support_gaps,source_page,evidence_id,evidence_quote,rule_sentence
burnaby_r1_001,review_needed,retry_with_better_evidence,missing_applies_to,medium,plausible,0.639,lot_area,lot_area,rowhouse lots,>=,281,m2,at the time of registration of the subdivision plan to create two or more rowhouse lots,pipeline5_text_candidate_requires_review; applies_to_not_supported,1,m4_pack_0002_ev_001,Minimum Lot Area - 281 m2,rowhouse lots: lot area for lot area must be at least 281 m2 when at the time of registration of the subdivision plan to create two or more rowhouse lots.
burnaby_r1_002,review_needed,retry_with_better_evidence,missing_applies_to,medium,plausible,0.628,lot_area,lot_area,rowhouse lots,<=,280,m2,at the time of registration of the subdivision plan to create two or more rowhouse lots,pipeline5_text_candidate_requires_review; rule_family_direction_mismatch; applies_to_not_supported,1,m4_pack_0002_ev_002,Maximum Lot Area 280 m2,rowhouse lots: lot area for lot area must be no more than 280 m2 when at the time of registration of the subdivision plan to create two or more rowhouse lots.
burnaby_r1_003,review_needed,needs_second_source_consensus,text_candidate_needs_consensus,medium,likely_correct,0.794,lot_coverage,lot_coverage,lot,<=,60,%,heritage lots,pipeline5_text_candidate_requires_review,6,m4_pack_0006_ev_001,maximum lot coverage as set out in Section 101.4 may be increased up to 60%,lot: lot coverage for lot coverage must be no more than 60 % when heritage lots.
burnaby_r1_005,review_needed,retry_with_better_evidence,missing_condition_evidence,high,plausible,0.701,setback,setback,street yards,>=,2.0,m,heritage lots,pipeline5_text_candidate_requires_review; text_condition_not_supported,6,m4_pack_0006_ev_003,lot line setbacks for street yards may meet a minimum of 2.0 m,street yards: setback for setback must be at least 2.0 m when heritage lots.
burnaby_r1_007,review_needed,retry_with_better_evidence,possible_rule_object_mismatch,low,plausible,0.579,fire_access_corridor,height,All dwelling units,>=,2.5,m,clear of any projections or obstructions,pipeline5_text_candidate_requires_review; rule_object_not_supported,6,m4_pack_0034_ev_002,is clear of any projections or obstructions to a minimum of 2.5 m in height,All dwelling units: fire access corridor for height must be at least 2.5 m when clear of any projections or obstructions.
burnaby_r1_008,review_needed,retry_with_better_evidence,general_review,medium,likely_correct,0.79,setback,lane_yard,projections into required lane yards,<=,0.8,m,in the R1 District,pipeline5_text_candidate_requires_review; rule_family_direction_mismatch,5,m4_pack_0044_ev_001,projections into required lane yards are limited to a maximum of 0.8 m,projections into required lane yards: setback for lane yard must be no more than 0.8 m when in the R1 District.
burnaby_r1_009,review_needed,retry_with_better_evidence,text_candidate_needs_consensus,medium,likely_correct,0.889,dwelling_units,dwelling_units,lot,<=,6,units,,pipeline5_text_candidate_requires_review,1,m4_pack_0057_ev_001,up to a maximum of 6 dwelling units on a lot,lot: dwelling units for dwelling units must be no more than 6 units.
burnaby_r1_016,review_needed,defer_low_priority,general_review,medium,likely_correct,0.896,lot_area,lot_area,Rowhouse 1 to 3 Units,<=,280,m2,,rule_family_direction_mismatch,2,burnaby_r1_matrix_p2_t0_b0_007,Maximum Lot Area .1 | Rowhouse 1 to 3 Units | 280 m2,Rowhouse 1 to 3 Units: lot area for lot area must be no more than 280 m2.
burnaby_r1_073,review_needed,human_legal_review,unresolved_exception,high,plausible,0.758,setback,interior_side_yard,All Buildings,>=,0,m,end unit lots,unresolved_exception_cue,2,burnaby_r1_matrix_p2_t0_b0_064,"Minimum Lot Line Setbacks for All Buildings .2 .3 | Interior Side Yard | Rowhouse 1 to 3 Units | 0 m, except 1.2 m
for end unit lots",All Buildings: setback for interior side yard must be at least 0 m when end unit lots.
burnaby_r1_092,review_needed,retry_with_better_evidence,text_candidate_needs_consensus,medium,plausible,0.774,permitted_use,district,Small-Scale Multi-Unit Housing,allowed,,,,pipeline5_text_candidate_requires_review,1,m4_pack_0045_v3_clause_ev_002,"101.2 Permitted Uses Principal Use Use-Specific Regulations Small-Scale Multi-Unit Housing - Rowhouse Dwellings 101.5.2 Boarding, Lodging, or Rooming House 101.5.3 Group Home - Supportive Housing (Category A) 101.5.4 Child Care Facilities 101.5.6 Accessory Use Use-Specific Regulations Boarding Use (up to 2 boarders) - Home Occupations 6.8, 6.8A Urban Agriculture 6.30 Accessory Buildings, Structures, and Uses 101.5.5, 6.6 (B/L No. 14694-24-11-04)",Small-Scale Multi-Unit Housing: permitted use for district is permitted.
