original_rule_id,retry_decision,promotion_ready,rule_object,constraint_scope,applies_to,operator,value,unit,condition,original_evidence_id,retry_evidence_id,retry_evidence_page,retry_support_gaps,promotion_risk_flags,promotion_recommendation,retry_evidence_quote,rule_sentence
vancouver_rs_017,rejected,False,floor_area,floor_area,common space,>,4,m2,per unit,m4_pack_0009_ev_001,m4_pack_0010_ev_001,4,text_candidate_requires_review; rule_family_direction_mismatch; value_not_found_in_evidence; applies_to_not_supported; constraint_scope_not_supported; unresolved_exception_cue,,Keep in review; inspect rerun gaps and cited evidence before changing verifier behavior.,"the floor area of each: (a) dwelling unit, except for a lock-off unit, must be at least 37 m2 is by-law. 11.2.3.3 Casino - class 1, casino - class 2, and bingo halls are not permitted as home-based businesses. 11.3 Dwelling Uses 11.3.1 Dwelling Unit 11.3.1....",common space: floor area for floor area must be more than 4 m2 when per unit.
vancouver_rs_019,review_needed,False,floor_area,floor_area,dwelling unit,>=,37,m2,except for a lock-off unit,m4_pack_0010_ev_001,v3_repair_pack_0013_ev_001,4,text_candidate_requires_review; rule_family_direction_mismatch,,Keep in review; inspect rerun gaps and cited evidence before changing verifier behavior.,"the floor area of each: (a) dwelling unit, except for a lock-off unit, must be at least 37 m2 is by-law. 11.2.3.3 Casino - class 1, casino - class 2, and bingo halls are not permitted as home-based businesses. 11.3 Dwelling Uses 11.3.1 Dwelling Unit 11.3.1....",dwelling unit: floor area for floor area must be at least 37 m2 when except for a lock-off unit.
vancouver_rs_021,review_needed,False,floor_area,floor_area,micro dwelling,>=,29.7,m2,,m4_pack_0015_ev_001,v3_repair_pack_0014_ev_001,5,text_candidate_requires_review; rule_family_direction_mismatch,,Keep in review; inspect rerun gaps and cited evidence before changing verifier behavior.,The floor area of a micro dwelling must be at least 29.7 m2 o the designated room. 11.3.1.9 The minimum requirements regarding floor area in section 11.3.1.2 do not apply to a dwelling unit contained in temporary modular housing. 11.3.2 Micro Dwelling 11.3....,micro dwelling: floor area for floor area must be at least 29.7 m2.
vancouver_rs_022,review_needed,False,setback,setback,side yards,>=,6.0,m,,m4_pack_0050_ev_001,v3_repair_pack_0015_ev_001,11,upstream_extraction_requested_review; extraction_source_fidelity_hold; text_candidate_requires_review; constraint_scope_not_supported,,Keep in review; inspect rerun gaps and cited evidence before changing verifier behavior.,"side yards must have a minimum width of 6.0 m building, before granting a development permit the Director of Planning must be satisfied that the building is suitable for the conversion, having regard to the size of the site and building, open space on the s...",side yards: setback for setback must be at least 6.0 m.
vancouver_rs_023,rejected,False,setback,setback,interior side yards,>=,4.5,m,,m4_pack_0051_ev_001,m4_pack_0051_ev_002,11,upstream_extraction_requested_review; extraction_source_fidelity_hold; text_candidate_requires_review; value_not_found_in_evidence; constraint_scope_not_supported,,Keep in review; inspect rerun gaps and cited evidence before changing verifier behavior.,"an additional 0.3 m for every 0.6 m by which the height of the building exceeds 10.7 m 11.4.4.3 Yards must be provided in accordance with the applicable district schedule, except that interior side yards must have a minimum width of 4.5 m plus an additional...",interior side yards: setback for setback must be at least 4.5 m.
vancouver_rs_024,rejected,False,setback,setback,interior side yards,>=,0.3,m,for every 0.6 m by which the height of the building exceeds 10.7 m,m4_pack_0051_ev_002,m4_pack_0051_ev_001,11,upstream_extraction_requested_review; extraction_source_fidelity_hold; text_candidate_requires_review; value_not_found_in_evidence,,Keep in review; inspect rerun gaps and cited evidence before changing verifier behavior.,interior side yards must have a minimum width of 4.5 m the height of the building exceeds 11.5 m. 11.4.4 Church 11.4.4.1 The site must have a minimum frontage of 20.1 m. 11.4.4.2 The Director of Planning may increase the building height permitted by the app...,interior side yards: setback for setback must be at least 0.3 m when for every 0.6 m by which the height of the building exceeds 10.7 m.
vancouver_rs_025,rejected,False,height,height,building,>,10.7,m,,m4_pack_0051_ev_003,m4_pack_0051_ev_001,11,upstream_extraction_requested_review; extraction_source_fidelity_hold; text_candidate_requires_review; rule_family_direction_mismatch; value_not_found_in_evidence,,Keep in review; inspect rerun gaps and cited evidence before changing verifier behavior.,interior side yards must have a minimum width of 4.5 m the height of the building exceeds 11.5 m. 11.4.4 Church 11.4.4.1 The site must have a minimum frontage of 20.1 m. 11.4.4.2 The Director of Planning may increase the building height permitted by the app...,building: height for height must be more than 10.7 m.
vancouver_rs_046,rejected,False,floor_area,floor_area,common space,>,4,m2,per unit,v3_repair_pack_0010_ev_001,m4_pack_0010_ev_001,4,text_candidate_requires_review; rule_family_direction_mismatch; value_not_found_in_evidence; applies_to_not_supported; constraint_scope_not_supported; unresolved_exception_cue,,Keep in review; inspect rerun gaps and cited evidence before changing verifier behavior.,"the floor area of each: (a) dwelling unit, except for a lock-off unit, must be at least 37 m2 is by-law. 11.2.3.3 Casino - class 1, casino - class 2, and bingo halls are not permitted as home-based businesses. 11.3 Dwelling Uses 11.3.1 Dwelling Unit 11.3.1....",common space: floor area for floor area must be more than 4 m2 when per unit.
vancouver_rs_048,review_needed,False,floor_area,floor_area,dwelling unit,>=,37,m2,except for a lock-off unit,v3_repair_pack_0013_ev_001,m4_pack_0010_ev_001,4,text_candidate_requires_review; rule_family_direction_mismatch,,Keep in review; inspect rerun gaps and cited evidence before changing verifier behavior.,"the floor area of each: (a) dwelling unit, except for a lock-off unit, must be at least 37 m2 is by-law. 11.2.3.3 Casino - class 1, casino - class 2, and bingo halls are not permitted as home-based businesses. 11.3 Dwelling Uses 11.3.1 Dwelling Unit 11.3.1....",dwelling unit: floor area for floor area must be at least 37 m2 when except for a lock-off unit.
vancouver_rs_049,review_needed,False,floor_area,floor_area,micro dwelling,>=,29.7,m2,,v3_repair_pack_0014_ev_001,m4_pack_0015_ev_001,5,text_candidate_requires_review; rule_family_direction_mismatch,,Keep in review; inspect rerun gaps and cited evidence before changing verifier behavior.,The floor area of a micro dwelling must be at least 29.7 m2 o the designated room. 11.3.1.9 The minimum requirements regarding floor area in section 11.3.1.2 do not apply to a dwelling unit contained in temporary modular housing. 11.3.2 Micro Dwelling 11.3....,micro dwelling: floor area for floor area must be at least 29.7 m2.
