rule_id,city,zone,status,rule_object,constraint_type,constraint_scope,applies_to,operator,value,unit,condition,exception,source_page,evidence_id,evidence_quote,rule_sentence
calgary_rcg_210,Calgary,RCG,verified,height,maximum,accessory_building_height_limit,Accessory Residential Building,<=,4.6,m,measured from the finished floor of the building,,386,calgary_generic_graph_pack_064__page_0386__local_003,"residential building is 1.0 metres. (6) The height of an Accessory Residential Building must not exceed: 67P2008 (a) 4.6 metres, measured from the finished floor of the building; 46P2019 (b) 3.0 metres at any eaveline, when measured from the finished floor of the building; or (c) one storey, which may include an attic space that: (i) is accessed by a removable ladder; (ii) does not have windows; (iii) is used by the occupants of the main residential building for placement of personal items; and (iv) has a maximum height of 1.5 metres when measured from the attic floor to the underside of any rafter.",Accessory Residential Building: height for accessory building height limit must be no more than 4.6 m when measured from the finished floor of the building.
calgary_rcg_218,Calgary,RCG,verified,height,maximum,privacy_wall_maximum_height,privacy wall,<=,3.0,m,,,390,calgary_generic_graph_pack_066__page_0390__local_003,"(iii) the privacy wall is a minimum of 2.0 metres in height and a maximum of 3.0 metres in height; and 27P2011 (c) must not have a balcony with a height greater than 6.0 metres, when measured vertically at any point from grade to the platform of the balcony. (3) Where a Contextual Single Detached Dwelling is located on a parcel with a parcel width less than or equal to 10.0 metres the maximum building depth is the greater of: (a) 65.0 per cent of the parcel depth; or (b) the contextual building depth average. (4) Where a Contextual Single Detached Dwelling is located on a parcel with a parcel width greater than 10 metres the maximum",privacy wall: height for privacy wall maximum height must be no more than 3.0 m.
calgary_rcg_234,Calgary,RCG,verified,setback,minimum,backyard_suite_rear_setback,Backyard Suite,>=,1.5,m,for any portion of the building used as a Backyard Suite,,395,calgary_generic_graph_pack_072__page_0395__local_006,"352 Backyard Suite 12P2012, 24P2014 352 (1) For a Backyard Suite, the minimum building setback from a rear property line is: (a) 1.5 metres for any portion of the building used as a Backyard Suite; and (2) Unless otherwise specified in the district, for a Backyard Suite, the minimum building setback from a side property line is 1.2 metres for any portion of the building used as a Backyard Suite.",Backyard Suite: setback for backyard suite rear setback must be at least 1.5 m when for any portion of the building used as a Backyard Suite.
calgary_rcg_236,Calgary,RCG,verified,setback,minimum,minimum_building_setback,building,>=,0.6,m,from the shared property line to a street or a lane,,396,calgary_generic_graph_pack_074__page_0396__local_003,street or a lane to a minimum building setback of 0.6 metres from the shared property line; and (ii) 0.6 metres into the minimum separation area required in subsection (3) or the amenity space required in subsection (3.1);,building: setback for minimum building setback must be at least 0.6 m when from the shared property line to a street or a lane.
calgary_rcg_244,Calgary,RCG,verified,setback,minimum,backyard_suite_balcony_setback,balcony attached to a Backyard Suite,>=,0.6,m,projecting into a required setback area from a property line shared with a street or a lane,,397,calgary_generic_graph_pack_079__page_0397__local_003,(9) A balcony attached to a Backyard Suite may project into a required 10P2019 setback area from a property line shared with a street or a lane to a minimum setback of 0.6 metres from the property line.,balcony attached to a Backyard Suite: setback for backyard suite balcony setback must be at least 0.6 m when projecting into a required setback area from a property line shared with a street or a lane.
calgary_rcg_289,Calgary,RCG,verified,height,maximum,building_height_single_detached_conditional,Single Detached Dwelling,<=,11.0,m,where the area of the parcel is equal to or greater than 400.0 square metres and the parcel width is equal to or greater than 10.0 metres,,451,calgary_generic_graph_pack_137__page_0451__local_004,"487 Building Height 487 (1) Unless otherwise referenced in subsection (2), the maximum building 13P2008 height is 10.0 metres for a Single Detached Dwelling. (2) The maximum building height is 11.0 metres for Single Detached Dwellings where: (a) the area of the parcel is equal to or greater than 400.0 square metres; and (b) the parcel width is equal to or greater than 10.0 metres. 57P2008 (3) The maximum building height for Duplex Dwellings and Semi‑detached Dwellings is 11.0 metres. (4) The maximum building height for all other uses is 10.0 metres.",Single Detached Dwelling: height for building height single detached conditional must be no more than 11.0 m when where the area of the parcel is equal to or greater than 400.0 square metres and the parcel width is equal to or greater than 10.0 metres.
calgary_rcg_292,Calgary,RCG,verified,height,maximum,building_height_other_uses,all other uses,<=,10.0,m,,,451,calgary_generic_graph_pack_137__page_0451__local_004,"487 Building Height 487 (1) Unless otherwise referenced in subsection (2), the maximum building 13P2008 height is 10.0 metres for a Single Detached Dwelling. (2) The maximum building height is 11.0 metres for Single Detached Dwellings where: (a) the area of the parcel is equal to or greater than 400.0 square metres; and (b) the parcel width is equal to or greater than 10.0 metres. 57P2008 (3) The maximum building height for Duplex Dwellings and Semi‑detached Dwellings is 11.0 metres. (4) The maximum building height for all other uses is 10.0 metres.",all other uses: height for building height other uses must be no more than 10.0 m.
calgary_rcg_314,Calgary,RCG,verified,setback,minimum,calgary_generic_graph_pack_161__page_0483__local_004_547_12_1,rear property line,>=,7.5,m,"Unless otherwise referenced in subsections (2), (3) or (4)",,483,calgary_generic_graph_pack_161__page_0483__local_004,"547.12 Building Setback from Rear Property Line 547.12 (1) Unless otherwise referenced in subsections (2), (3) or (4) the minimum building setback from a rear property line is 7.5 metres. (2) On a laneless parcel the minimum building setback from a rear property line is 5.0 metres where all the required motor vehicle parking stalls are provided in a private garage. (3) The minimum building setback from a rear property line shared with a carriage house lot is 1.2 meters where all the required motor vehicle parking stalls are provided in a private garage. (4) On a laned parcel the minimum building setback from a rear property line shared with a lane is 0.6 metres where all the required motor vehicle parking stalls:","rear property line: setback for calgary generic graph pack 161  page 0483  local 004 547 12 1 must be at least 7.5 m when Unless otherwise referenced in subsections (2), (3) or (4)."
calgary_rcg_315,Calgary,RCG,verified,setback,minimum,calgary_generic_graph_pack_161__page_0483__local_004_547_12_2,rear property line,>=,5.0,m,On a laneless parcel where all the required motor vehicle parking stalls are provided in a private garage,,483,calgary_generic_graph_pack_161__page_0483__local_004,"547.12 Building Setback from Rear Property Line 547.12 (1) Unless otherwise referenced in subsections (2), (3) or (4) the minimum building setback from a rear property line is 7.5 metres. (2) On a laneless parcel the minimum building setback from a rear property line is 5.0 metres where all the required motor vehicle parking stalls are provided in a private garage. (3) The minimum building setback from a rear property line shared with a carriage house lot is 1.2 meters where all the required motor vehicle parking stalls are provided in a private garage. (4) On a laned parcel the minimum building setback from a rear property line shared with a lane is 0.6 metres where all the required motor vehicle parking stalls:",rear property line: setback for calgary generic graph pack 161  page 0483  local 004 547 12 2 must be at least 5.0 m when On a laneless parcel where all the required motor vehicle parking stalls are provided in a private garage.
calgary_rcg_316,Calgary,RCG,verified,setback,minimum,calgary_generic_graph_pack_161__page_0483__local_004_547_12_3,rear property line,>=,1.2,m,shared with a carriage house lot where all the required motor vehicle parking stalls are provided in a private garage,,483,calgary_generic_graph_pack_161__page_0483__local_004,"547.12 Building Setback from Rear Property Line 547.12 (1) Unless otherwise referenced in subsections (2), (3) or (4) the minimum building setback from a rear property line is 7.5 metres. (2) On a laneless parcel the minimum building setback from a rear property line is 5.0 metres where all the required motor vehicle parking stalls are provided in a private garage. (3) The minimum building setback from a rear property line shared with a carriage house lot is 1.2 meters where all the required motor vehicle parking stalls are provided in a private garage. (4) On a laned parcel the minimum building setback from a rear property line shared with a lane is 0.6 metres where all the required motor vehicle parking stalls:",rear property line: setback for calgary generic graph pack 161  page 0483  local 004 547 12 3 must be at least 1.2 m when shared with a carriage house lot where all the required motor vehicle parking stalls are provided in a private garage.
