original_rule_id,retry_decision,promotion_ready,rule_object,constraint_scope,applies_to,operator,value,unit,condition,original_evidence_id,retry_evidence_id,retry_evidence_page,retry_support_gaps,promotion_risk_flags,promotion_recommendation,retry_evidence_quote,rule_sentence
vancouver_rs_012,review_needed,False,computation_method,computation_basis,"computation of floor area, floor space ratio, yards, site coverage, impermeability, number of buildings on site and dwelling unit density",required,,,"must be based on the site width and area at the time of development, prior to any subdivision into individual freehold rowhouse parcels",vancouver_generic_graph_pack_007__page_0008__local_002,vancouver_generic_graph_pack_007__page_0008__local_003,8,pipeline5_text_candidate_requires_review; rule_object_not_supported,,Keep in review; inspect rerun gaps and cited evidence before changing verifier behavior.,"11.3.7.2 For the purpose of fee simple subdivision, the minimum site width and frontage for each freehold rowhouse parcel is 5.0 m. Section 11 11.3.7.1 Computation of floor area, floor space ratio, yards, site coverage, impermeability, number of buildings o...","computation of floor area, floor space ratio, yards, site coverage, impermeability, number of buildings on site and dwelling unit density: computation method for computation basis is required when must be based on the site width and area at the time of development, prior to any subdivision into individual freehold rowhouse parcels."
vancouver_rs_015,review_needed,False,floor_area,laneway_house_floor_area_ratio,floor area,<=,,,"for a laneway house, must not exceed the lesser of 0.25 multiplied by the site area and 186 m2",vancouver_generic_graph_pack_007__page_0008__local_007,vancouver_generic_graph_pack_006__page_0008__local_005,8,pipeline5_text_candidate_requires_review,,Keep in review; inspect rerun gaps and cited evidence before changing verifier behavior.,"11.3.8.1 A laneway house is only permitted in combination with a single detached house, single detached house with secondary suite, or child day care facility, and only on a site that provides vehicular access from the rear of the site. loor space ratio, ya...","floor area: floor area for laneway house floor area ratio must be no more than  when for a laneway house, must not exceed the lesser of 0.25 multiplied by the site area and 186 m2."
vancouver_rs_016,rejected,False,floor_area,laneway_house_floor_area_limit,floor area,<=,186,m2,"for a laneway house, must not exceed the lesser of 0.25 multiplied by the site area and 186 m2",vancouver_generic_graph_pack_007__page_0008__local_008,vancouver_generic_graph_pack_006__page_0008__local_005,8,pipeline5_text_candidate_requires_review; value_not_found_in_evidence; unit_not_found_in_evidence; applies_to_not_supported; operator_not_supported,,Keep in review; inspect rerun gaps and cited evidence before changing verifier behavior.,"11.3.8.1 A laneway house is only permitted in combination with a single detached house, single detached house with secondary suite, or child day care facility, and only on a site that provides vehicular access from the rear of the site. loor space ratio, ya...","floor area: floor area for laneway house floor area limit must be no more than 186 m2 when for a laneway house, must not exceed the lesser of 0.25 multiplied by the site area and 186 m2."
vancouver_rs_019,review_needed,False,director_consideration,laneway_house_reduced_site_width_considerations,"Director of Planning consideration of massing, overlook and impact on neighbourhood privacy and all applicable Council policies and guidelines",required,,,"for a laneway house, to reduce the minimum site width",vancouver_generic_graph_pack_007__page_0008__local_011,vancouver_generic_graph_pack_006__page_0008__local_005,8,pipeline5_text_candidate_requires_review; rule_object_not_supported,,Keep in review; inspect rerun gaps and cited evidence before changing verifier behavior.,"11.3.8.1 A laneway house is only permitted in combination with a single detached house, single detached house with secondary suite, or child day care facility, and only on a site that provides vehicular access from the rear of the site. loor space ratio, ya...","Director of Planning consideration of massing, overlook and impact on neighbourhood privacy and all applicable Council policies and guidelines: director consideration for laneway house reduced site width considerations is required when for a laneway house, to reduce the minimum site width."
vancouver_rs_027,review_needed,False,floor_area_computation,laneway_house_floor_area_inclusion_all_floors,all_floors,required,,,"for a laneway house, including earthen floor, measured to the extreme outer limits of the building",vancouver_generic_graph_pack_009__page_0009__local_003,vancouver_generic_graph_pack_006__page_0008__local_005,8,pipeline5_text_candidate_requires_review,,Keep in review; inspect rerun gaps and cited evidence before changing verifier behavior.,"11.3.8.1 A laneway house is only permitted in combination with a single detached house, single detached house with secondary suite, or child day care facility, and only on a site that provides vehicular access from the rear of the site. loor space ratio, ya...","all_floors: floor area computation for laneway house floor area inclusion all floors is required when for a laneway house, including earthen floor, measured to the extreme outer limits of the building."
vancouver_rs_028,review_needed,False,floor_area_computation,laneway_house_floor_area_inclusion_stairways_etc,stairways_and_similar_features,required,,,"for a laneway house, including stairways, fire escapes, elevator shafts and other features that the Director of Planning considers similar, measured by their gross cross-sectional areas and included in the measurements for each floor at which they are located",vancouver_generic_graph_pack_009__page_0009__local_004,vancouver_generic_graph_pack_009__page_0009__local_003,9,pipeline5_text_candidate_requires_review,,Keep in review; inspect rerun gaps and cited evidence before changing verifier behavior.,"(a) all floors, including earthen floor, measured to the extreme outer limits of the building; Section 11 11.3.8.8 Computation of floor area for a laneway house must include: (a) all floors, including earthen floor, measured to the extreme outer limits of t...","stairways_and_similar_features: floor area computation for laneway house floor area inclusion stairways etc is required when for a laneway house, including stairways, fire escapes, elevator shafts and other features that the Director of Planning considers similar, measured by their gross cross-sectional areas and included in the measurements for each floor at which they are located."
vancouver_rs_030,rejected,False,parking_space,laneway_house_parking_space_open_sides,open_sides,>=,2,,for each parking space used for off-street parking floor area exclusion in a laneway house,vancouver_generic_graph_pack_009__page_0009__local_007,vancouver_generic_graph_pack_009__page_0009__local_004,9,pipeline5_text_candidate_requires_review; rule_family_direction_mismatch; value_not_found_in_evidence; rule_object_not_supported,,Keep in review; inspect rerun gaps and cited evidence before changing verifier behavior.,"(b) stairways, fire escapes, elevator shafts and other features that the Director of Planning considers similar, measured by their gross cross-sectional areas and included in the measurements for each floor at which they are located; and Section 11 11.3.8.8...",open_sides: parking space for laneway house parking space open sides must be at least 2 when for each parking space used for off-street parking floor area exclusion in a laneway house.
vancouver_rs_033,review_needed,False,guard_rail,laneway_house_guard_rail_height_limit,height,<=,,,"for guard rails protecting entries, porches, and verandahs excluded from laneway house floor area, which must not exceed the required minimum height",vancouver_generic_graph_pack_009__page_0009__local_010,vancouver_generic_graph_pack_007__page_0008__local_007,8,pipeline5_text_candidate_requires_review; applies_to_not_supported,,Keep in review; inspect rerun gaps and cited evidence before changing verifier behavior.,"(a) 0.25 multiplied by the site area; and ite width and frontage for each freehold rowhouse parcel is 5.0 m. 11.3.8 Laneway House 11.3.8.1 A laneway house is only permitted in combination with a single detached house, single detached house with secondary su...","height: guard rail for laneway house guard rail height limit must be no more than  when for guard rails protecting entries, porches, and verandahs excluded from laneway house floor area, which must not exceed the required minimum height."
vancouver_rs_035,rejected,False,ceiling_height,laneway_house_excluded_entry_porch_verandah_ceiling_height,ceiling_height,<=,3.1,m,"of the total area being excluded (entries, porches, verandahs) for a laneway house, measured from the entry, porch or verandah floor, excluding roof structure",vancouver_generic_graph_pack_009__page_0009__local_012,vancouver_generic_graph_pack_009__page_0009__local_010,9,pipeline5_text_candidate_requires_review; value_not_found_in_evidence; unit_not_found_in_evidence,original_rule_had_legal_conflict_or_exception,Keep in review; inspect rerun gaps and cited evidence before changing verifier behavior.,"(i) they are open or protected by guard rails that do not exceed the required minimum height, thereof that are used for off-street parking, provided that each parking space is open on at least 2 sides and does not exceed 7.3 m in length; (b) balconies and d...","ceiling_height: ceiling height for laneway house excluded entry porch verandah ceiling height must be no more than 3.1 m when of the total area being excluded (entries, porches, verandahs) for a laneway house, measured from the entry, porch or verandah floor, excluding roof structure."
vancouver_rs_036,review_needed,False,roof,laneway_house_roof_joist_pitch,joist_pitch,required,,,"roof joists must have a minimum 7:12 pitch and the related ceiling maintains the same pitch as the roof joists, for floor area exclusion under sloping roof/ceiling in a laneway house",vancouver_generic_graph_pack_009__page_0009__local_013,vancouver_generic_graph_pack_009__page_0009__local_012,9,pipeline5_text_candidate_requires_review; text_condition_not_supported; applies_to_not_supported; unresolved_exception_cue,,Keep in review; inspect rerun gaps and cited evidence before changing verifier behavior.,"(iii) the ceiling height, excluding roof structure, of the total area being excluded does not exceed 3.1 m measured from the entry, porch or verandah floor; that the total area of these exclusions does not exceed 8% of the permitted floor area; (c) entries,...","joist_pitch: roof for laneway house roof joist pitch is required when roof joists must have a minimum 7:12 pitch and the related ceiling maintains the same pitch as the roof joists, for floor area exclusion under sloping roof/ceiling in a laneway house."
