rule_id,status,review_action_bucket,review_category,triage_priority,likely_status,likely_correct_score,rule_object,constraint_scope,applies_to,operator,value,unit,condition,support_gaps,source_page,evidence_id,evidence_quote,rule_sentence
burnaby_r1_019,review_needed,retry_with_better_evidence,missing_scope_evidence,medium,plausible,0.718,lot_area,lot,Rowhouse .1,<=,280,m²,,rule_family_direction_mismatch; table_column_not_target_scope; table_cell_candidate_requires_review; table_evidence_candidate_requires_review,1,pipeline5_merged_rule_0019,Maximum Lot Area | Lot Area .3 | Rowhouse .1 | 280 m² | Lot Area .3 | Maximum Lot Area | Rowhouse .1 | 280 m²,Rowhouse .1: lot area for lot must be no more than 280 m².
burnaby_r1_020,review_needed,retry_with_better_evidence,general_review,low,plausible,0.702,dwelling_units,lot,Rowhouse,>=,1,units,,rule_family_direction_mismatch; table_applies_to_not_supported,2,pipeline5_merged_rule_0020__api_01,Permitted Dwelling Units | Dwelling Units (including secondary suites) | 1 units | Permitted Dwelling Units (including secondary suites) | 1 to 3 Units,Rowhouse: dwelling units for lot must be at least 1 units.
burnaby_r1_021,review_needed,safe_verifier_tuning_candidate,near_verified_table_context,high,plausible,0.766,dwelling_units,lot,lot,<=,3,units,,table_cell_candidate_requires_review; table_evidence_candidate_requires_review,2,pipeline5_merged_rule_0020__api_02,Permitted Dwelling Units | Dwelling Units (including secondary suites) | 3 units | Permitted Dwelling Units (including secondary suites) | 1 to 3 Units,lot: dwelling units for lot must be no more than 3 units.
burnaby_r1_022,review_needed,defer_low_priority,general_review,medium,likely_correct,0.828,dwelling_units,lot,Small-Scale Multi-Unit (1 to 2 Units),>=,1,units,,rule_family_direction_mismatch,2,pipeline5_merged_rule_0021__api_01,Permitted Dwelling Units | Dwelling Units (including secondary suites) | 1 units | Permitted Dwelling Units (including secondary suites) | 1 to 2 Units,Small-Scale Multi-Unit (1 to 2 Units): dwelling units for lot must be at least 1 units.
burnaby_r1_023,review_needed,safe_verifier_tuning_candidate,near_verified_table_context,high,plausible,0.766,dwelling_units,lot,lot,<=,2,units,,table_cell_candidate_requires_review; table_evidence_candidate_requires_review,2,pipeline5_merged_rule_0021__api_02,Permitted Dwelling Units | Dwelling Units (including secondary suites) | 2 units | Permitted Dwelling Units (including secondary suites) | 1 to 2 Units,lot: dwelling units for lot must be no more than 2 units.
burnaby_r1_024,review_needed,defer_low_priority,general_review,medium,likely_correct,0.828,dwelling_units,lot,Small-Scale Multi-Unit (3 to 4 Units),>=,3,units,,rule_family_direction_mismatch,2,pipeline5_merged_rule_0022__api_01,Permitted Dwelling Units | Dwelling Units (including secondary suites) | 3 units | Permitted Dwelling Units (including secondary suites) | 3 to 4 Units,Small-Scale Multi-Unit (3 to 4 Units): dwelling units for lot must be at least 3 units.
burnaby_r1_025,review_needed,safe_verifier_tuning_candidate,near_verified_table_context,high,plausible,0.766,dwelling_units,lot,lot,<=,4,units,,table_cell_candidate_requires_review; table_evidence_candidate_requires_review,2,pipeline5_merged_rule_0022__api_02,Permitted Dwelling Units | Dwelling Units (including secondary suites) | 4 units | Permitted Dwelling Units (including secondary suites) | 3 to 4 Units,lot: dwelling units for lot must be no more than 4 units.
burnaby_r1_026,review_needed,defer_low_priority,general_review,medium,likely_correct,0.806,dwelling_units,lot,Small-Scale Multi-Unit (5 to 6 Units),>=,5,units,Frequent Transit Network Area Only,rule_family_direction_mismatch,2,pipeline5_merged_rule_0023__api_01,Permitted Dwelling Units | Dwelling Units (including secondary suites) | 5 units | Permitted Dwelling Units (including secondary suites) | 5 to 6 Units,Small-Scale Multi-Unit (5 to 6 Units): dwelling units for lot must be at least 5 units when Frequent Transit Network Area Only.
burnaby_r1_027,review_needed,safe_verifier_tuning_candidate,near_verified_table_context,high,plausible,0.744,dwelling_units,lot,lot,<=,6,units,Frequent Transit Network Area Only,table_cell_candidate_requires_review; table_evidence_candidate_requires_review,2,pipeline5_merged_rule_0023__api_02,Permitted Dwelling Units | Dwelling Units (including secondary suites) | 6 units | Permitted Dwelling Units (including secondary suites) | 5 to 6 Units,lot: dwelling units for lot must be no more than 6 units when Frequent Transit Network Area Only.
burnaby_r1_028,review_needed,retry_with_better_evidence,missing_applies_to,medium,plausible,0.722,lot_area,lot,Small-Scale Multi-Unit (3 to 4 Units),>=,281,m²,4 Units Only,applies_to_not_supported,2,pipeline5_merged_rule_0024,Minimum Lot Area | Lot Area | 281 m² | Minimum Lot Area | 4 Units Only: 281 m2,Small-Scale Multi-Unit (3 to 4 Units): lot area for lot must be at least 281 m² when 4 Units Only.
