rule_id,city,zone,status,rule_object,constraint_type,constraint_scope,applies_to,operator,value,unit,condition,exception,source_page,evidence_id,evidence_quote,rule_sentence
calgary_rcg_008,Calgary,RCG,verified,setback,minimum,setback,balcony attached to a Backyard Suite,>=,0.6,m,project into a required 10P2019 setback area from a property line shared with a street or a lane,,397,m4_pack_0003_ev_001,A balcony attached to a Backyard Suite may project into a required 10P2019 setback area from a property line shared with a street or a lane to a minimum setback of 0.6 metres from the property line.,balcony attached to a Backyard Suite: setback for setback must be at least 0.6 m when project into a required 10P2019 setback area from a property line shared with a street or a lane.
calgary_rcg_017,Calgary,RCG,verified,setback,minimum,setback,backyard suite,>=,1.5,m,rear property line,,395,m4_pack_0010_ev_001,minimum building setback from a rear property line is: (a) 1.5 metres for any portion of the building used as a Backyard Suite,backyard suite: setback for setback must be at least 1.5 m when rear property line.
calgary_rcg_019,Calgary,RCG,verified,height,maximum,height,Backyard Suite,<=,7.5,m,Unless otherwise referenced in subsection (4.1),,396,m4_pack_0011_ev_001,the maximum building height for a Backyard Suite is 7.5 metres,Backyard Suite: height for height must be no more than 7.5 m when Unless otherwise referenced in subsection (4.1).
calgary_rcg_219,Calgary,RCG,verified,building_separation,minimum,building_separation,Backyard Suite,>=,5.0,m,between the closest façade of the main residential building to the closest façade of a Backyard Suite. 10P2019,,396,m4_pack_0005_v3_clause_ev_002,"(3) Unless otherwise referenced in subsections (3.1) and (3.2), a minimum separation of 5.0 metres is required between the closest façade of the main residential building to the closest façade of a Backyard Suite. 10P2019",Backyard Suite: building separation for building separation must be at least 5.0 m when between the closest façade of the main residential building to the closest façade of a Backyard Suite. 10P2019.
calgary_rcg_220,Calgary,RCG,verified,height,maximum,height,Backyard Suite,<=,5.0,m,measured from grade at a side property line shared with a parcel designated with a low density residential district,,396,m4_pack_0006_v3_clause_ev_003,(4.1) The maximum building height for a Backyard Suite is: 5.0 metres measured from grade at a side property line shared with a parcel designated with a low density residential district,Backyard Suite: height for height must be no more than 5.0 m when measured from grade at a side property line shared with a parcel designated with a low density residential district.
calgary_rcg_221,Calgary,RCG,verified,floor_area,maximum,floor_area,Secondary Suite,<=,100.0,m2,"(a) in the R-C1L, R-C1Ls, R-C1, R-C1s, R-C1N, R-1, R-1s and 24P2018 R-1N Districts; or (b) when located on a parcel with a parcel width less than 13.0 metres",excluding any area covered by stairways and landings,395,m4_pack_0008_v3_clause_ev_004,"(2) Except as otherwise stated in subsections (2.1) and (3), the maximum 23P2016 floor area of a Secondary Suite, excluding any area covered by stairways and landings, is 100.0 square metres: (a) in the R-C1L, R-C1Ls, R-C1, R-C1s, R-C1N, R-1, R-1s and 24P2018 R-1N Districts; or (b) when located on a parcel with a parcel width less than 13.0 metres","Secondary Suite: floor area for floor area must be no more than 100.0 m2 when (a) in the R-C1L, R-C1Ls, R-C1, R-C1s, R-C1N, R-1, R-1s and 24P2018 R-1N Districts; or (b) when located on a parcel with a parcel width less than 13.0 metres."
calgary_rcg_222,Calgary,RCG,verified,floor_area,maximum,floor_area,Backyard Suite,<=,75.0,m2,,excluding any area covered by stairways and internal landings not exceeding 2.5 square metres,396,m4_pack_0012_v3_clause_ev_005,"(5) The maximum floor area of a Backyard Suite, excluding any area covered by stairways and internal landings not exceeding 2.5 square metres, is 75.0 square metres",Backyard Suite: floor area for floor area must be no more than 75.0 m2.
calgary_rcg_223,Calgary,RCG,verified,setback,minimum,front setback,"Duplex Dwelling, Semi-detached Dwelling or Single Detached Dwelling",>=,6.0,m,Developed Area and R-C1L or R-C1Ls districts,,398,m4_pack_0015_v3_clause_ev_006,"The building setback from the front property line for a Duplex Dwelling, Semi-detached Dwelling or Single Detached Dwelling in the Developed Area is deemed to conform with the requirements of this Bylaw if the building setback from the front property line is a minimum of 6.0 metres for the R-C1L or R-C1Ls districts","Duplex Dwelling, Semi-detached Dwelling or Single Detached Dwelling: setback for front setback must be at least 6.0 m when Developed Area and R-C1L or R-C1Ls districts."
calgary_rcg_235,Calgary,RCG,verified,building_separation,minimum,building_separation,main residential building to Backyard Suite,>=,5.0,m,,,396,v3_repair_pack_0012_ev_001,a minimum separation of 5.0 metres is required between the closest façade of the main residential building to the closest façade of a Backyard Suite,main residential building to Backyard Suite: building separation for building separation must be at least 5.0 m.
calgary_rcg_240,Calgary,RCG,verified,setback,minimum,setback,backyard suite,>=,1.5,m,,,395,v3_repair_pack_0016_ev_001,minimum building setback from a rear property line is: (a) 1.5 metres for any portion of the building used as a Backyard Suite,backyard suite: setback for setback must be at least 1.5 m.
