rule_id,status,review_action_bucket,review_category,triage_priority,likely_status,likely_correct_score,rule_object,constraint_scope,applies_to,operator,value,unit,condition,support_gaps,source_page,evidence_id,evidence_quote,rule_sentence
calgary_rcg_001,review_needed,defer_low_priority,upstream_review_requested,medium,likely_correct,0.848,height,height,Backyard Suite,<=,5.0,m,measured from grade at a side property line shared with a parcel designated with a low density residential district,upstream_extraction_requested_review; extraction_source_fidelity_hold,396,m4_pack_0001_ev_001,The maximum building height for a Backyard Suite is: (a) 5.0 metres measured from grade at a side property line shared with a parcel designated with a low density residential district,Backyard Suite: height for height must be no more than 5.0 m when measured from grade at a side property line shared with a parcel designated with a low density residential district.
calgary_rcg_002,review_needed,defer_low_priority,upstream_review_requested,medium,likely_correct,0.931,height,height,Backyard Suite,<=,3.0,m,measured from grade at a rear property line shared with a parcel designated with a low density residential district,upstream_extraction_requested_review; extraction_source_fidelity_hold,396,m4_pack_0001_ev_002,(b) 3.0 metres measured from grade at a rear property line shared with a parcel designated with a low density residential district,Backyard Suite: height for height must be no more than 3.0 m when measured from grade at a rear property line shared with a parcel designated with a low density residential district.
calgary_rcg_003,review_needed,retry_with_better_evidence,missing_applies_to,medium,plausible,0.739,height,height,Backyard Suite,<=,7.5,m,at a proportional distance from the shared property line,upstream_extraction_requested_review; extraction_source_fidelity_hold; text_candidate_requires_review; applies_to_not_supported,396,m4_pack_0001_ev_003,(c) increases at a 45 degree angle to a maximum of 7.5 metres at a proportional distance from the shared property line.,Backyard Suite: height for height must be no more than 7.5 m when at a proportional distance from the shared property line.
calgary_rcg_005,review_needed,retry_with_better_evidence,operator_uncertain,low,likely_wrong_or_noise,0.392,lot_coverage,lot_coverage,parcel depth,<=,50.0,%,main residential building on a corner parcel,upstream_extraction_requested_review; text_candidate_requires_review; operator_not_supported; rule_object_not_supported,470,m4_pack_0002_ev_002,50.0 per cent parcel depth,parcel depth: lot coverage for lot coverage must be no more than 50.0 % when main residential building on a corner parcel.
calgary_rcg_007,review_needed,retry_with_better_evidence,operator_uncertain,low,weak,0.488,setback,setback,private garage,>=,0.6,m,rear property line,upstream_extraction_requested_review; extraction_source_fidelity_hold; text_candidate_requires_review; constraint_scope_not_supported; operator_not_supported,395,m4_pack_0003_ev_002,"352 (1) For a Backyard Suite, the minimum building setback from a rear property line is: (a) 1.5 metres for any portion of the building used as a Backyard Suite; and (b) 0.6 metres for any portion of the building used as a private garage.",private garage: setback for setback must be at least 0.6 m when rear property line.
calgary_rcg_011,review_needed,retry_with_better_evidence,possible_rule_object_mismatch,low,plausible,0.662,setback,setback,"Duplex Dwelling, Semi-detached Dwelling or Single Detached Dwelling",>=,3.0,m,for any other residential district,text_candidate_requires_review; rule_object_not_supported,398,m4_pack_0007_ev_001,a minimum of 3.0 metres for any other residential district,"Duplex Dwelling, Semi-detached Dwelling or Single Detached Dwelling: setback for setback must be at least 3.0 m when for any other residential district."
calgary_rcg_016,review_needed,retry_with_better_evidence,missing_condition_evidence,high,plausible,0.716,setback,setback,balcony,<,4.0,m,balcony projects from a façade that faces a property line shared with a lane or a street or includes a privacy wall,upstream_extraction_requested_review; extraction_source_fidelity_hold; text_candidate_requires_review; text_condition_not_supported; rule_family_direction_mismatch,397,m4_pack_0015_ev_001,the balcony is setback less than 4.0 metres from the shared property line,balcony: setback for setback must be no more than 4.0 m when balcony projects from a façade that faces a property line shared with a lane or a street or includes a privacy wall.
calgary_rcg_017,review_needed,retry_with_better_evidence,upstream_review_requested,medium,likely_correct,0.907,height,height,privacy wall,>=,2.0,m,balcony includes a privacy wall that screens the balcony from a property line shared with a parcel designated with low density residential district,upstream_extraction_requested_review; extraction_source_fidelity_hold; text_candidate_requires_review; enumerated_branch_condition_missing; rule_family_direction_mismatch,397,m4_pack_0015_ev_002,the privacy wall is a minimum of 2.0 metres in height,privacy wall: height for height must be at least 2.0 m when balcony includes a privacy wall that screens the balcony from a property line shared with a parcel designated with low density residential district.
calgary_rcg_018,review_needed,retry_with_better_evidence,missing_applies_to,medium,plausible,0.666,height,height,privacy wall,<=,3.0,m,balcony includes a privacy wall that screens the balcony from a property line shared with a parcel designated with low density residential district,upstream_extraction_requested_review; extraction_source_fidelity_hold; text_candidate_requires_review; applies_to_not_supported,397,m4_pack_0015_ev_003,a maximum of 3.0 metres in height,privacy wall: height for height must be no more than 3.0 m when balcony includes a privacy wall that screens the balcony from a property line shared with a parcel designated with low density residential district.
calgary_rcg_022,review_needed,retry_with_better_evidence,missing_applies_to,medium,plausible,0.772,floor_area,floor_area,Backyard Suite,<=,75.0,m2,,text_candidate_requires_review; applies_to_not_supported,396,m4_pack_0021_ev_001,"The maximum floor area of a Backyard Suite, excluding any area covered by stairways and internal landings not exceeding 2.5 square metres, is 75.0 square metres.",Backyard Suite: floor area for floor area must be no more than 75.0 m2.
