rule_id,status,review_action_bucket,review_category,triage_priority,likely_status,likely_correct_score,rule_object,constraint_scope,applies_to,operator,value,unit,condition,support_gaps,source_page,evidence_id,evidence_quote,rule_sentence
calgary_rcg_001,review_needed,retry_with_better_evidence,missing_applies_to,medium,plausible,0.686,setback,setback,principal building,>=,0.6,m,property line shared with a street or a lane,pipeline5_text_candidate_requires_review; applies_to_not_supported,396,m4_pack_0001_ev_001,into a setback area from a property line shared with a street or a lane to a minimum building setback of 0.6 metres,principal building: setback for setback must be at least 0.6 m when property line shared with a street or a lane.
calgary_rcg_002,review_needed,retry_with_better_evidence,missing_applies_to,medium,plausible,0.672,building_separation,building_separation,principal building,>=,0.6,m,minimum separation area required in subsection (3),pipeline5_text_candidate_requires_review; enumerated_branch_condition_missing; applies_to_not_supported,396,m4_pack_0001_ev_002,0.6 metres into the minimum separation area required in subsection (3),principal building: building separation for building separation must be at least 0.6 m when minimum separation area required in subsection (3).
calgary_rcg_003,review_needed,retry_with_better_evidence,missing_applies_to,medium,plausible,0.669,building_separation,building_separation,principal building,>=,0.6,m,amenity space required in subsection (3.1),upstream_extraction_requested_review; pipeline5_text_candidate_requires_review; enumerated_branch_condition_missing; applies_to_not_supported,396,m4_pack_0001_ev_003,(3.2) (a) Where portions of a Backyard Suite meet the requirements of subsection (b) these portions may project: (i) into a setback area from a property line shared with a street or a lane to a minimum building setback of 0.6 metres from the shared property line; and (ii) 0.6 metres into the minimum separation area required in subsection (3) or the amenity space required in subsection (3.1); (b) Projections described in subsection (a) must: (i) not exceed 40.0 per cent of the length of the façade on each storey for the total combined length of all projections; (ii) each contain a window; and (iii) each have a maximum length of 3.1 metres 10P2019,principal building: building separation for building separation must be at least 0.6 m when amenity space required in subsection (3.1).
calgary_rcg_004,review_needed,retry_with_better_evidence,missing_applies_to,low,weak,0.381,lot_coverage,lot_coverage,principal building,<=,40.0,%,of the length of the façade on each storey for the total combined length of all projections,pipeline5_text_candidate_requires_review; applies_to_not_supported; rule_object_not_supported; coefficient_operand_not_value,396,m4_pack_0001_ev_004,not exceed 40.0 per cent of the length of the façade on each storey for the total combined length of all projections,principal building: lot coverage for lot coverage must be no more than 40.0 % when of the length of the façade on each storey for the total combined length of all projections.
calgary_rcg_006,review_needed,retry_with_better_evidence,upstream_review_requested,medium,likely_correct,0.889,height,height,privacy wall,>=,2.0,m,balcony is setback less than 4.0 metres from the shared property line,upstream_extraction_requested_review; pipeline5_text_candidate_requires_review; enumerated_branch_condition_missing; rule_family_direction_mismatch,397,m4_pack_0002_ev_001,the privacy wall is a minimum of 2.0 metres in height,privacy wall: height for height must be at least 2.0 m when balcony is setback less than 4.0 metres from the shared property line.
calgary_rcg_007,review_needed,retry_with_better_evidence,missing_applies_to,medium,plausible,0.649,height,height,privacy wall,<=,3.0,m,balcony is setback less than 4.0 metres from the shared property line,upstream_extraction_requested_review; pipeline5_text_candidate_requires_review; applies_to_not_supported,397,m4_pack_0002_ev_002,and a maximum of 3.0 metres in height,privacy wall: height for height must be no more than 3.0 m when balcony is setback less than 4.0 metres from the shared property line.
calgary_rcg_010,review_needed,retry_with_better_evidence,missing_applies_to,medium,plausible,0.712,building_separation,building_separation,principal building,>=,5.0,m,closest façade of the main residential building to the closest façade of a Backyard Suite,pipeline5_text_candidate_requires_review; applies_to_not_supported,396,m4_pack_0005_ev_001,a minimum separation of 5.0 metres is required between the closest façade of the main residential building to the closest façade of a Backyard Suite,principal building: building separation for building separation must be at least 5.0 m when closest façade of the main residential building to the closest façade of a Backyard Suite.
calgary_rcg_011,review_needed,defer_low_priority,upstream_review_requested,medium,likely_correct,0.848,height,height,backyard suite,<=,5.0,m,measured from grade at a side property line shared with a parcel designated with a low density residential district,upstream_extraction_requested_review,396,m4_pack_0006_ev_001,The maximum building height for a Backyard Suite is: (a) 5.0 metres measured from grade at a side property line shared with a parcel designated with a low density residential district,backyard suite: height for height must be no more than 5.0 m when measured from grade at a side property line shared with a parcel designated with a low density residential district.
calgary_rcg_012,review_needed,defer_low_priority,upstream_review_requested,medium,likely_correct,0.931,height,height,backyard suite,<=,3.0,m,measured from grade at a rear property line shared with a parcel designated with a low density residential district,upstream_extraction_requested_review,396,m4_pack_0006_ev_002,(b) 3.0 metres measured from grade at a rear property line shared with a parcel designated with a low density residential district,backyard suite: height for height must be no more than 3.0 m when measured from grade at a rear property line shared with a parcel designated with a low density residential district.
calgary_rcg_013,review_needed,defer_low_priority,upstream_review_requested,medium,likely_correct,0.895,height,height,backyard suite,<=,7.5,m,increases at a 45 degree angle to a maximum of 7.5 metres at a proportional distance from the shared property line,upstream_extraction_requested_review,396,m4_pack_0006_ev_003,(c) increases at a 45 degree angle to a maximum of 7.5 metres at a proportional distance from the shared property line,backyard suite: height for height must be no more than 7.5 m when increases at a 45 degree angle to a maximum of 7.5 metres at a proportional distance from the shared property line.
