rule_id,status,review_action_bucket,review_category,triage_priority,likely_status,likely_correct_score,rule_object,constraint_scope,applies_to,operator,value,unit,condition,support_gaps,source_page,evidence_id,evidence_quote,rule_sentence
calgary_rcg_001,review_needed,evidence_packet_repair_candidate,operator_uncertain,low,plausible,0.576,permitted_use,calgary_generic_graph_pack_023__page_0139__local_006_new_structures_floodway,new buildings or other new structures,prohibited,,,in the floodway,upstream_extraction_requested_review; pipeline5_text_candidate_requires_review; operator_not_supported,139,calgary_generic_graph_pack_023__page_0139__local_006,"(1) No new buildings or other new structures are allowed in the 32P2012, 11P2014, floodway, except for the replacement of existing Accessory 24P2014 Residential Buildings, Backyard Suites, Duplex Dwellings, Secondary Suites,Semi-detached Dwellings and Single Detached Dwellings on the same building footprint.",new buildings or other new structures: permitted use for calgary generic graph pack 023  page 0139  local 006 new structures floodway is claimed when in the floodway.
calgary_rcg_004,review_needed,human_legal_review,unresolved_exception,high,plausible,0.696,height,contextual_single_detached_dwelling_balcony_side_facade,balcony on side façade,permitted,,,"For a Contextual Single Detached Dwelling, where it forms part of the front façade and is not recessed back more than 4.5 metres from the front façade, or where it is on the street side of a corner parcel",pipeline5_text_candidate_requires_review; unresolved_exception_cue,390,calgary_generic_graph_pack_065__page_0390__local_002,"15P2016 (2) Unless otherwise referenced in this Part, a Contextual Single Detached Dwelling: (a) may have a balcony located on a side façade: (i) where it forms part of the front façade and is not recessed back more than 4.5 metres from the front façade; or (ii) where it is on the street side of a corner parcel; (b) may have a balcony located on a rear façade where: (i) it does not form part of the side façade unless the side façade is on the street side of a corner parcel; (ii) a privacy wall is provided where the balcony is facing a side property line shared with a parcel; and","balcony on side façade: height for contextual single detached dwelling balcony side facade is permitted when For a Contextual Single Detached Dwelling, where it forms part of the front façade and is not recessed back more than 4.5 metres from the front façade, or where it is on the street side of a corner parcel."
calgary_rcg_005,review_needed,human_legal_review,unresolved_exception,high,weak,0.512,height,contextual_single_detached_dwelling_balcony_recess_limit,balcony recess from front façade,<=,4.5,m,"For a Contextual Single Detached Dwelling, when a balcony is located on a side façade and forms part of the front façade",pipeline5_text_candidate_requires_review; operator_not_supported; unresolved_exception_cue,390,calgary_generic_graph_pack_065__page_0390__local_002,"15P2016 (2) Unless otherwise referenced in this Part, a Contextual Single Detached Dwelling: (a) may have a balcony located on a side façade: (i) where it forms part of the front façade and is not recessed back more than 4.5 metres from the front façade; or (ii) where it is on the street side of a corner parcel; (b) may have a balcony located on a rear façade where: (i) it does not form part of the side façade unless the side façade is on the street side of a corner parcel; (ii) a privacy wall is provided where the balcony is facing a side property line shared with a parcel; and","balcony recess from front façade: height for contextual single detached dwelling balcony recess limit must be no more than 4.5 m when For a Contextual Single Detached Dwelling, when a balcony is located on a side façade and forms part of the front façade."
calgary_rcg_006,review_needed,defer_low_priority,upstream_review_requested,medium,likely_correct,0.819,height,contextual_single_detached_dwelling_balcony_rear_facade,balcony on rear façade,permitted,,,"For a Contextual Single Detached Dwelling, where it does not form part of the side façade",upstream_extraction_requested_review; pipeline5_text_candidate_requires_review,390,calgary_generic_graph_pack_065__page_0390__local_002,"15P2016 (2) Unless otherwise referenced in this Part, a Contextual Single Detached Dwelling: (a) may have a balcony located on a side façade: (i) where it forms part of the front façade and is not recessed back more than 4.5 metres from the front façade; or (ii) where it is on the street side of a corner parcel; (b) may have a balcony located on a rear façade where: (i) it does not form part of the side façade unless the side façade is on the street side of a corner parcel; (ii) a privacy wall is provided where the balcony is facing a side property line shared with a parcel; and","balcony on rear façade: height for contextual single detached dwelling balcony rear facade is permitted when For a Contextual Single Detached Dwelling, where it does not form part of the side façade."
calgary_rcg_007,review_needed,human_legal_review,unresolved_exception,high,plausible,0.697,height,contextual_single_detached_dwelling_balcony_privacy_wall,privacy wall,required,,,"For a Contextual Single Detached Dwelling, where a balcony is located on a rear façade and is facing a side property line shared with a parcel",pipeline5_text_candidate_requires_review; unresolved_exception_cue,390,calgary_generic_graph_pack_065__page_0390__local_002,"15P2016 (2) Unless otherwise referenced in this Part, a Contextual Single Detached Dwelling: (a) may have a balcony located on a side façade: (i) where it forms part of the front façade and is not recessed back more than 4.5 metres from the front façade; or (ii) where it is on the street side of a corner parcel; (b) may have a balcony located on a rear façade where: (i) it does not form part of the side façade unless the side façade is on the street side of a corner parcel; (ii) a privacy wall is provided where the balcony is facing a side property line shared with a parcel; and","privacy wall: height for contextual single detached dwelling balcony privacy wall is required when For a Contextual Single Detached Dwelling, where a balcony is located on a rear façade and is facing a side property line shared with a parcel."
calgary_rcg_009,review_needed,retry_with_better_evidence,operator_uncertain,low,likely_wrong_or_noise,0.318,floor_area,calgary_generic_graph_pack_070__page_0395__local_002_easement_obstruction,"buildings, structures and objects that would prevent or restrict the easement being used for the purpose of building maintenance",prohibited,,,within a private maintenance easement provided pursuant to this Bylaw,pipeline5_text_candidate_requires_review; operator_not_supported; rule_object_not_supported,395,calgary_generic_graph_pack_070__page_0395__local_002,"350 Private Maintenance Easements 350 A private maintenance easement, provided pursuant to this Bylaw, must require the easement area be kept free of all buildings, structures and objects that would prevent or restrict the easement being used for the purpose of building maintenance.","buildings, structures and objects that would prevent or restrict the easement being used for the purpose of building maintenance: floor area for calgary generic graph pack 070  page 0395  local 002 easement obstruction is claimed when within a private maintenance easement provided pursuant to this Bylaw."
calgary_rcg_010,review_needed,retry_with_better_evidence,operator_uncertain,low,plausible,0.588,permitted_use,calgary_generic_graph_pack_100__page_0412__local_002_backyard_suite,Backyard Suite,permitted,,,In RC-1 & RC1s districts,upstream_extraction_requested_review; pipeline5_text_candidate_requires_review; operator_not_supported,412,calgary_generic_graph_pack_100__page_0412__local_002,(a.2) Backyard Suite; (h.1) Secondary Suite;,Backyard Suite: permitted use for calgary generic graph pack 100  page 0412  local 002 backyard suite is permitted when In RC-1 & RC1s districts.
calgary_rcg_011,review_needed,retry_with_better_evidence,operator_uncertain,low,plausible,0.588,permitted_use,calgary_generic_graph_pack_100__page_0412__local_002_secondary_suite,Secondary Suite,permitted,,,In RC-1 & RC1s districts,upstream_extraction_requested_review; pipeline5_text_candidate_requires_review; operator_not_supported,412,calgary_generic_graph_pack_100__page_0412__local_002,(a.2) Backyard Suite; (h.1) Secondary Suite;,Secondary Suite: permitted use for calgary generic graph pack 100  page 0412  local 002 secondary suite is permitted when In RC-1 & RC1s districts.
calgary_rcg_012,review_needed,retry_with_better_evidence,text_candidate_needs_consensus,medium,plausible,0.777,permitted_use,calgary_generic_graph_pack_124__page_0438__local_002_secondary_suite,Secondary Suite,permitted,,,In R-1 & R-1s districts,pipeline5_text_candidate_requires_review,438,calgary_generic_graph_pack_124__page_0438__local_002,(h.1) Secondary Suite;,Secondary Suite: permitted use for calgary generic graph pack 124  page 0438  local 002 secondary suite is permitted when In R-1 & R-1s districts.
calgary_rcg_013,review_needed,retry_with_better_evidence,operator_uncertain,low,plausible,0.582,permitted_use,calgary_generic_graph_pack_160__page_0480__local_002_secondary_suite,Secondary Suite,permitted,,,In the (R-G)(R-Gm) district,pipeline5_text_candidate_requires_review; operator_not_supported,480,calgary_generic_graph_pack_160__page_0480__local_002,(i) Secondary Suite;,Secondary Suite: permitted use for calgary generic graph pack 160  page 0480  local 002 secondary suite is permitted when In the (R-G)(R-Gm) district.
calgary_rcg_014,review_needed,retry_with_better_evidence,text_candidate_needs_consensus,medium,likely_correct,0.8,setback,backyard_suite_rcg_compliance,Backyard Suite,required,,,must comply with the rules of the R-CG District that apply to such development,pipeline5_text_candidate_requires_review,505,calgary_generic_graph_pack_169__page_0505__local_003,"573 Single Detached, Semi-Detached, Duplex Dwellings and Backyard Suites 46P2009, 12P2010 24P2014, 56P2022 573 Any of the following uses must comply with the rules of the R-CG District that apply to such development: (b) Backyard Suite;",Backyard Suite: setback for backyard suite rcg compliance is required when must comply with the rules of the R-CG District that apply to such development.
calgary_rcg_015,review_needed,retry_with_better_evidence,possible_rule_object_mismatch,low,plausible,0.624,setback,parcel_access_compliance,developments,required,,,comply with the Controlled Streets Bylaw,pipeline5_text_candidate_requires_review; rule_object_not_supported,505,calgary_generic_graph_pack_170__page_0505__local_004,574 Parcel Access 574 All developments must comply with the Controlled Streets Bylaw.,developments: setback for parcel access compliance is required when comply with the Controlled Streets Bylaw.
calgary_rcg_016,review_needed,retry_with_better_evidence,operator_uncertain,low,plausible,0.579,permitted_use,calgary_generic_graph_pack_182_page_0548_local_002_secondary_suite,Secondary Suite,permitted,,,In PART 6 - DIVISION 8: M-H1,pipeline5_text_candidate_requires_review; operator_not_supported,548,calgary_generic_graph_pack_182__page_0548__local_002,(d.1) Secondary Suite; 4P2012,Secondary Suite: permitted use for calgary generic graph pack 182 page 0548 local 002 secondary suite is permitted when In PART 6 - DIVISION 8: M-H1.
calgary_rcg_017,review_needed,retry_with_better_evidence,operator_uncertain,low,plausible,0.57,permitted_use,secondary_suite_permitted,Secondary Suite,permitted,,,In the M-H2 District,pipeline5_text_candidate_requires_review; operator_not_supported,554,calgary_generic_graph_pack_185__page_0554__local_002,(d.1) Secondary Suite; 4P2012,Secondary Suite: permitted use for secondary suite permitted is permitted when In the M-H2 District.
