rule_id,city,zone,status,rule_object,constraint_type,constraint_scope,applies_to,operator,value,unit,condition,exception,source_page,evidence_id,evidence_quote,rule_sentence
burnaby_r1_001,Burnaby,R1,verified,permitted_use,allowed,use,Principal Use,allowed,Permitted,,,,1,pipeline5_merged_rule_0001,Principal Use | Small-Scale Multi-Unit Housing | Permitted | Principal Use | Small-Scale Multi-Unit Housing | Use-Specific Regulations: -,Principal Use: permitted use for use is permitted with value Permitted.
burnaby_r1_004,Burnaby,R1,verified,permitted_use,allowed,use,Principal Use,allowed,Permitted,,,,1,pipeline5_merged_rule_0004,Principal Use | Group Home | Permitted | Principal Use | Group Home | Use-Specific Regulations: -,Principal Use: permitted use for use is permitted with value Permitted.
burnaby_r1_018,Burnaby,R1,verified,lot_area,minimum,lot,Small-Scale Multi-Unit,>=,281,m²,,,1,pipeline5_merged_rule_0018,Minimum Lot Area | Lot Area .3 | Small-Scale Multi-Unit | 281 m² | Lot Area .3 | Minimum Lot Area | Small-Scale Multi-Unit | 281 m²,Small-Scale Multi-Unit: lot area for lot must be at least 281 m².
burnaby_r1_038,Burnaby,R1,verified,height,maximum,building,Front Principal Buildings,<=,10,m,sloping roof,,2,pipeline5_merged_rule_0034,Maximum Height | Front Principal Buildings | flat roof: 9.5 m | 10 m | Maximum Height | Front Principal Buildings | Height | sloping roof: 10 m | flat roof: 9.5 m,Front Principal Buildings: height for building must be no more than 10 m when sloping roof.
burnaby_r1_039,Burnaby,R1,verified,height,maximum,building,Front Principal Buildings,<=,9.5,m,flat roof,,2,pipeline5_merged_rule_0035,Maximum Height | Front Principal Buildings | sloping roof: 10 m | 9.5 m | Maximum Height | Front Principal Buildings | Height | sloping roof: 10 m | flat roof: 9.5 m,Front Principal Buildings: height for building must be no more than 9.5 m when flat roof.
burnaby_r1_040,Burnaby,R1,verified,storeys,maximum,building,Front Principal Buildings,<=,3,storeys,,,2,pipeline5_merged_rule_0036,Maximum Height | Front Principal Buildings | Storeys (basement inclusive) | 3 storeys | Maximum Height | Front Principal Buildings | Storeys (basement inclusive) | 3 storeys,Front Principal Buildings: storeys for building must be no more than 3 storeys.
burnaby_r1_041,Burnaby,R1,verified,storeys,maximum,building,Front Principal Buildings,<=,2.5,storeys,,,2,pipeline5_merged_rule_0037,Maximum Height | Front Principal Buildings | Storeys (basement inclusive) | 2.5 storeys | Maximum Height | Front Principal Buildings | Storeys (basement inclusive) | 2.5 storeys,Front Principal Buildings: storeys for building must be no more than 2.5 storeys.
burnaby_r1_042,Burnaby,R1,verified,height,maximum,building,Rear Principal Buildings,<=,7.5,m,sloping roof,,2,pipeline5_merged_rule_0038,Maximum Height | Rear Principal Buildings | flat roof: 7.0 m | 7.5 m | Maximum Height | Rear Principal Buildings | Height | sloping roof: 7.5 m | flat roof: 7.0 m,Rear Principal Buildings: height for building must be no more than 7.5 m when sloping roof.
burnaby_r1_043,Burnaby,R1,verified,height,maximum,building,Rear Principal Buildings,<=,7.0,m,flat roof,,2,pipeline5_merged_rule_0039,Maximum Height | Rear Principal Buildings | sloping roof: 7.5 m | 7.0 m | Maximum Height | Rear Principal Buildings | Height | sloping roof: 7.5 m | flat roof: 7.0 m,Rear Principal Buildings: height for building must be no more than 7.0 m when flat roof.
burnaby_r1_044,Burnaby,R1,verified,storeys,maximum,building,Rear Principal Buildings,<=,2,storeys,,,2,pipeline5_merged_rule_0040,Maximum Height | Rear Principal Buildings | Storeys (basement inclusive) | 2 storeys | Maximum Height | Rear Principal Buildings | Storeys (basement inclusive) | 2 storeys,Rear Principal Buildings: storeys for building must be no more than 2 storeys.
burnaby_r1_045,Burnaby,R1,verified,height,maximum,building,Accessory Buildings,<=,4.0,m,,,2,pipeline5_merged_rule_0041,Maximum Height | Accessory Buildings | 1 storey | 4.0 m | Maximum Height | Accessory Buildings | 4.0 m | 1 storey,Accessory Buildings: height for building must be no more than 4.0 m.
burnaby_r1_047,Burnaby,R1,verified,setback,minimum,Minimum Lot Line Setbacks for All Buildings .2 .3 - Street Yard,All Buildings,>=,3.0,m,,,2,pipeline5_merged_rule_0043,Minimum Lot Line Setbacks | Street Yard | 3.0 m | Minimum Lot Line Setbacks for All Buildings .2 .3 | Street Yard | 3.0 m,All Buildings: setback for Minimum Lot Line Setbacks for All Buildings .2 .3 - Street Yard must be at least 3.0 m.
burnaby_r1_048,Burnaby,R1,verified,setback,minimum,street_yard_front,All Buildings,>=,4.0,m,front,,2,pipeline5_merged_rule_0044,Minimum Lot Line Setbacks | Street Yard | flanking: 3.0 m | 4.0 m | Minimum Lot Line Setbacks for All Buildings .2 .3 | Street Yard | front: 4.0 m | flanking: 3.0 m,All Buildings: setback for street yard front must be at least 4.0 m when front.
burnaby_r1_049,Burnaby,R1,verified,setback,minimum,street_yard_flanking,All Buildings,>=,3.0,m,flanking,,2,pipeline5_merged_rule_0045,Minimum Lot Line Setbacks | Street Yard | front: 4.0 m | 3.0 m | Minimum Lot Line Setbacks for All Buildings .2 .3 | Street Yard | front: 4.0 m | flanking: 3.0 m,All Buildings: setback for street yard flanking must be at least 3.0 m when flanking.
burnaby_r1_050,Burnaby,R1,verified,setback,minimum,lane_yard,All Buildings,>=,1.5,m,,,2,pipeline5_merged_rule_0046,Minimum Lot Line Setbacks | Lane Yard | 1.5 m | Minimum Lot Line Setbacks for All Buildings .2 .3 | Lane Yard | 1.5 m,All Buildings: setback for lane yard must be at least 1.5 m.
burnaby_r1_051,Burnaby,R1,verified,setback,minimum,interior_rear_yard,Rear Principal Buildings,>=,3.0,m,,,2,pipeline5_merged_rule_0047__api_01,"Minimum Lot Line Setbacks | Interior Rear Yard | 3.0 m | Minimum Lot Line Setbacks for All Buildings .2 .3 | Interior Rear Yard | 3.0 m, except 1.5 m for accessory buildings",Rear Principal Buildings: setback for interior rear yard must be at least 3.0 m.
burnaby_r1_052,Burnaby,R1,verified,setback,minimum,interior_rear_yard,All Buildings,>=,1.5,m,accessory buildings,,2,pipeline5_merged_rule_0047__api_02,"Minimum Lot Line Setbacks | Interior Rear Yard | 1.5 m | Minimum Lot Line Setbacks for All Buildings .2 .3 | Interior Rear Yard | 3.0 m, except 1.5 m for accessory buildings",All Buildings: setback for interior rear yard must be at least 1.5 m when accessory buildings.
burnaby_r1_053,Burnaby,R1,verified,setback,minimum,interior_side_yard,All Buildings,>=,0,m,,,2,pipeline5_merged_rule_0048__api_01,"Minimum Lot Line Setbacks | Interior Side Yard | 0 m | Minimum Lot Line Setbacks for All Buildings .2 .3 | Interior Side Yard | 0 m, except 1.2 m for end unit lots",All Buildings: setback for interior side yard must be at least 0 m.
burnaby_r1_054,Burnaby,R1,verified,setback,minimum,interior_side_yard,All Buildings,>=,1.2,m,end unit lots,,2,pipeline5_merged_rule_0048__api_02,"Minimum Lot Line Setbacks | Interior Side Yard | 1.2 m | Minimum Lot Line Setbacks for All Buildings .2 .3 | Interior Side Yard | 0 m, except 1.2 m for end unit lots",All Buildings: setback for interior side yard must be at least 1.2 m when end unit lots.
burnaby_r1_055,Burnaby,R1,verified,setback,minimum,interior_side_yard,All Buildings,>=,1.2,m,,,2,pipeline5_merged_rule_0049,Minimum Lot Line Setbacks | Interior Side Yard | 1.2 m | Minimum Lot Line Setbacks for All Buildings .2 .3 | Interior Side Yard | 1.2 m,All Buildings: setback for interior side yard must be at least 1.2 m.
burnaby_r1_056,Burnaby,R1,verified,building_separation,minimum,building_separation,Small-Scale Multi-Unit (1 to 2 Units); Small-Scale Multi-Unit (3 to 4 Units); Small-Scale Multi-Unit (5 to 6 Units),>=,2.4,m,,,2,pipeline5_merged_rule_0050,Minimum Separation Of Buildings | Between Front Principals | 2.4 m | Minimum Separation of Buildings on the Same Lot .4 .5 | Between Front Principals | 2.4 m,Small-Scale Multi-Unit (1 to 2 Units); Small-Scale Multi-Unit (3 to 4 Units); Small-Scale Multi-Unit (5 to 6 Units): building separation for building separation must be at least 2.4 m.
burnaby_r1_057,Burnaby,R1,verified,building_separation,minimum,building_separation,Rear Principal Buildings,>=,2.4,m,,,2,pipeline5_merged_rule_0051,Minimum Separation Of Buildings | Between Rear Principals | 2.4 m | Minimum Separation of Buildings on the Same Lot .4 .5 | Between Rear Principals | 2.4 m,Rear Principal Buildings: building separation for building separation must be at least 2.4 m.
burnaby_r1_058,Burnaby,R1,verified,building_separation,minimum,building_separation,Front and Rear Principal Buildings,>=,6.0,m,,,2,pipeline5_merged_rule_0052,Minimum Separation Of Buildings | Between Front & Rear Principals | 6.0 m | Minimum Separation of Buildings on the Same Lot .4 .5 | Between Front & Rear Principals | 6.0 m,Front and Rear Principal Buildings: building separation for building separation must be at least 6.0 m.
burnaby_r1_059,Burnaby,R1,verified,building_separation,minimum,building_separation,All Other Buildings,>=,2.4,m,,,2,pipeline5_merged_rule_0053,Minimum Separation Of Buildings | Between All Other Buildings | 2.4 m | Minimum Separation of Buildings on the Same Lot .4 .5 | Between All Other Buildings | 2.4 m,All Other Buildings: building separation for building separation must be at least 2.4 m.
burnaby_r1_062,Burnaby,R1,verified,dwelling_units,maximum,lot,dwelling units,<=,6,units,SMALL-SCALE MULTI-UNIT HOUSING DISTRICT (R1),,1,pipeline5_merged_rule_0056,This District provides for the use and development of primarily ground-oriented residential dwellings up to a maximum of 6 dwelling units on a lot.,dwelling units: dwelling units for lot must be no more than 6 units when SMALL-SCALE MULTI-UNIT HOUSING DISTRICT (R1).
