rule_id,city,zone,status,rule_object,constraint_type,constraint_scope,applies_to,operator,value,unit,condition,exception,source_page,evidence_id,evidence_quote,rule_sentence
vancouver_rs_006,Vancouver,RS,verified,height,maximum,height,laneway house,<=,8.5,m,,,8,m4_pack_0003_ev_001,The building height for a laneway house must not exceed 8.5 m,laneway house: height for height must be no more than 8.5 m.
vancouver_rs_007,Vancouver,RS,verified,storeys,maximum,storeys,laneway house,<=,2,storeys,,,8,m4_pack_0003_ev_002,and 2 storeys,laneway house: storeys for storeys must be no more than 2 storeys.
vancouver_rs_009,Vancouver,RS,verified,floor_area,maximum,floor_area,laneway house,<=,186,m2,,,8,m4_pack_0004_ev_002,and (b) 186 m2.,laneway house: floor area for floor area must be no more than 186 m2.
vancouver_rs_014,Vancouver,RS,verified,lot_coverage,maximum,lot_coverage,site with a laneway house,<=,50,%,site coverage,Despite the maximum permitted site coverage in an applicable district schedule,8,m4_pack_0008_ev_001,"for a site with a laneway house, the maximum site coverage is 50% of the site area",site with a laneway house: lot coverage for lot coverage must be no more than 50 % when site coverage.
vancouver_rs_015,Vancouver,RS,verified,floor_area,maximum,floor_area,laneway house,<=,186,m2,,,8,m4_pack_0004_v3_clause_ev_001,11.3.8.2 The floor area for a laneway house must not exceed the lesser of: (a) 0.25 multiplied by the site area; and (b) 186 m2,laneway house: floor area for floor area must be no more than 186 m2.
vancouver_rs_016,Vancouver,RS,verified,building_separation,minimum,building_separation,laneway house,>=,4.9,m,,,8,m4_pack_0007_v3_clause_ev_002,"11.3.8.6 A laneway house must be at least: 4.9 m, measured across the width of the site, from the single detached house or single detached house with secondary suite on the site",laneway house: building separation for building separation must be at least 4.9 m.
vancouver_rs_017,Vancouver,RS,verified,setback,minimum,rear setback,laneway house,>=,0.9,m,,,8,m4_pack_0007_v3_clause_ev_003,11.3.8.6 A laneway house must be at least: 0.9 m from the ultimate rear property line; and,laneway house: setback for rear setback must be at least 0.9 m.
vancouver_rs_018,Vancouver,RS,verified,setback,minimum,side setback,laneway house,>=,1.2,m,,except that the Director of Planning may reduce this requirement for sites less than 10.1 m in width,8,m4_pack_0007_v3_clause_ev_004,"11.3.8.6 A laneway house must be at least: 1.2 m from each side property line, except that the Director of Planning may reduce this requirement for sites less than 10.1 m in width",laneway house: setback for side setback must be at least 1.2 m.
vancouver_rs_019,Vancouver,RS,verified,lot_coverage,maximum,lot_coverage,site with a laneway house,<=,50,%,,,8,m4_pack_0008_v3_clause_ev_005,"11.3.8.5 Despite the maximum permitted site coverage in an applicable district schedule, for a site with a laneway house, the maximum site coverage is 50% of the site area",site with a laneway house: lot coverage for lot coverage must be no more than 50 %.
vancouver_rs_023,Vancouver,RS,verified,floor_area,maximum,floor_area,laneway house,<=,186,m2,lesser of (a) 0.25 multiplied by the site area; and (b) 186 m2,,8,v3_repair_pack_0004_ev_002,The floor area for a laneway house must not exceed the lesser of: (a) 0.25 multiplied by the site area; and (b) 186 m2.,laneway house: floor area for floor area must be no more than 186 m2 when lesser of (a) 0.25 multiplied by the site area; and (b) 186 m2.
