rule_id,status,review_action_bucket,review_category,triage_priority,likely_status,likely_correct_score,rule_object,constraint_scope,applies_to,operator,value,unit,condition,support_gaps,source_page,evidence_id,evidence_quote,rule_sentence
burnaby_r1_001,review_needed,needs_second_source_consensus,text_candidate_needs_consensus,medium,plausible,0.728,permitted_use,permitted_use_small_scale_multi_unit_housing,Small-Scale Multi-Unit Housing,permitted,,,Principal Use,pipeline5_text_candidate_requires_review,1,burnaby_generic_graph_pack_002__page_0001__local_004,"Principal Use Use-Specific Regulations Small-Scale Multi-Unit Housing - Rowhouse Dwellings 101.5.2 Boarding, Lodging, or Rooming House 101.5.3 Group Home - Supportive Housing (Category A) 101.5.4 Child Care Facilities 101.5.6 Accessory Use Use-Specific Regulations Boarding Use (up to 2 boarders) - Home Occupations 6.8, 6.8A Urban Agriculture 6.30 Accessory Buildings, Structures, and Uses 101.5.5, 6.6",Small-Scale Multi-Unit Housing: permitted use for permitted use small scale multi unit housing is permitted when Principal Use.
burnaby_r1_002,review_needed,needs_second_source_consensus,text_candidate_needs_consensus,medium,plausible,0.728,permitted_use,permitted_use_rowhouse_dwellings,Rowhouse Dwellings,permitted,,,"Principal Use, subject to Use-Specific Regulations 101.5.2",pipeline5_text_candidate_requires_review,1,burnaby_generic_graph_pack_002__page_0001__local_004,"Principal Use Use-Specific Regulations Small-Scale Multi-Unit Housing - Rowhouse Dwellings 101.5.2 Boarding, Lodging, or Rooming House 101.5.3 Group Home - Supportive Housing (Category A) 101.5.4 Child Care Facilities 101.5.6 Accessory Use Use-Specific Regulations Boarding Use (up to 2 boarders) - Home Occupations 6.8, 6.8A Urban Agriculture 6.30 Accessory Buildings, Structures, and Uses 101.5.5, 6.6","Rowhouse Dwellings: permitted use for permitted use rowhouse dwellings is permitted when Principal Use, subject to Use-Specific Regulations 101.5.2."
burnaby_r1_003,review_needed,needs_second_source_consensus,text_candidate_needs_consensus,medium,plausible,0.728,permitted_use,permitted_use_boarding_lodging_rooming_house,"Boarding, Lodging, or Rooming House",permitted,,,"Principal Use, subject to Use-Specific Regulations 101.5.3",pipeline5_text_candidate_requires_review,1,burnaby_generic_graph_pack_002__page_0001__local_004,"Principal Use Use-Specific Regulations Small-Scale Multi-Unit Housing - Rowhouse Dwellings 101.5.2 Boarding, Lodging, or Rooming House 101.5.3 Group Home - Supportive Housing (Category A) 101.5.4 Child Care Facilities 101.5.6 Accessory Use Use-Specific Regulations Boarding Use (up to 2 boarders) - Home Occupations 6.8, 6.8A Urban Agriculture 6.30 Accessory Buildings, Structures, and Uses 101.5.5, 6.6","Boarding, Lodging, or Rooming House: permitted use for permitted use boarding lodging rooming house is permitted when Principal Use, subject to Use-Specific Regulations 101.5.3."
burnaby_r1_004,review_needed,needs_second_source_consensus,text_candidate_needs_consensus,medium,plausible,0.728,permitted_use,permitted_use_group_home,Group Home,permitted,,,Principal Use,pipeline5_text_candidate_requires_review,1,burnaby_generic_graph_pack_002__page_0001__local_004,"Principal Use Use-Specific Regulations Small-Scale Multi-Unit Housing - Rowhouse Dwellings 101.5.2 Boarding, Lodging, or Rooming House 101.5.3 Group Home - Supportive Housing (Category A) 101.5.4 Child Care Facilities 101.5.6 Accessory Use Use-Specific Regulations Boarding Use (up to 2 boarders) - Home Occupations 6.8, 6.8A Urban Agriculture 6.30 Accessory Buildings, Structures, and Uses 101.5.5, 6.6",Group Home: permitted use for permitted use group home is permitted when Principal Use.
burnaby_r1_005,review_needed,needs_second_source_consensus,text_candidate_needs_consensus,medium,plausible,0.728,permitted_use,permitted_use_supportive_housing_category_a,Supportive Housing (Category A),permitted,,,"Principal Use, subject to Use-Specific Regulations 101.5.4",pipeline5_text_candidate_requires_review,1,burnaby_generic_graph_pack_002__page_0001__local_004,"Principal Use Use-Specific Regulations Small-Scale Multi-Unit Housing - Rowhouse Dwellings 101.5.2 Boarding, Lodging, or Rooming House 101.5.3 Group Home - Supportive Housing (Category A) 101.5.4 Child Care Facilities 101.5.6 Accessory Use Use-Specific Regulations Boarding Use (up to 2 boarders) - Home Occupations 6.8, 6.8A Urban Agriculture 6.30 Accessory Buildings, Structures, and Uses 101.5.5, 6.6","Supportive Housing (Category A): permitted use for permitted use supportive housing category a is permitted when Principal Use, subject to Use-Specific Regulations 101.5.4."
burnaby_r1_006,review_needed,needs_second_source_consensus,text_candidate_needs_consensus,medium,plausible,0.728,permitted_use,permitted_use_child_care_facilities,Child Care Facilities,permitted,,,"Principal Use, subject to Use-Specific Regulations 101.5.6",pipeline5_text_candidate_requires_review,1,burnaby_generic_graph_pack_002__page_0001__local_004,"Principal Use Use-Specific Regulations Small-Scale Multi-Unit Housing - Rowhouse Dwellings 101.5.2 Boarding, Lodging, or Rooming House 101.5.3 Group Home - Supportive Housing (Category A) 101.5.4 Child Care Facilities 101.5.6 Accessory Use Use-Specific Regulations Boarding Use (up to 2 boarders) - Home Occupations 6.8, 6.8A Urban Agriculture 6.30 Accessory Buildings, Structures, and Uses 101.5.5, 6.6","Child Care Facilities: permitted use for permitted use child care facilities is permitted when Principal Use, subject to Use-Specific Regulations 101.5.6."
burnaby_r1_007,review_needed,needs_second_source_consensus,text_candidate_needs_consensus,medium,plausible,0.728,permitted_use,permitted_use_boarding_use,Boarding Use,permitted,,,"Accessory Use, up to 2 boarders",pipeline5_text_candidate_requires_review,1,burnaby_generic_graph_pack_002__page_0001__local_004,"Principal Use Use-Specific Regulations Small-Scale Multi-Unit Housing - Rowhouse Dwellings 101.5.2 Boarding, Lodging, or Rooming House 101.5.3 Group Home - Supportive Housing (Category A) 101.5.4 Child Care Facilities 101.5.6 Accessory Use Use-Specific Regulations Boarding Use (up to 2 boarders) - Home Occupations 6.8, 6.8A Urban Agriculture 6.30 Accessory Buildings, Structures, and Uses 101.5.5, 6.6","Boarding Use: permitted use for permitted use boarding use is permitted when Accessory Use, up to 2 boarders."
burnaby_r1_008,review_needed,retry_with_better_evidence,possible_rule_object_mismatch,low,weak,0.494,lot_area,boarding_use_max_boarders,boarders,<=,2,,Accessory Use,pipeline5_text_candidate_requires_review; rule_family_direction_mismatch; rule_object_not_supported,1,burnaby_generic_graph_pack_002__page_0001__local_004,"Principal Use Use-Specific Regulations Small-Scale Multi-Unit Housing - Rowhouse Dwellings 101.5.2 Boarding, Lodging, or Rooming House 101.5.3 Group Home - Supportive Housing (Category A) 101.5.4 Child Care Facilities 101.5.6 Accessory Use Use-Specific Regulations Boarding Use (up to 2 boarders) - Home Occupations 6.8, 6.8A Urban Agriculture 6.30 Accessory Buildings, Structures, and Uses 101.5.5, 6.6",boarders: lot area for boarding use max boarders must be no more than 2 when Accessory Use.
burnaby_r1_009,review_needed,needs_second_source_consensus,text_candidate_needs_consensus,medium,plausible,0.728,permitted_use,permitted_use_home_occupations,Home Occupations,permitted,,,"Accessory Use, subject to Use-Specific Regulations 6.8, 6.8A",pipeline5_text_candidate_requires_review,1,burnaby_generic_graph_pack_002__page_0001__local_004,"Principal Use Use-Specific Regulations Small-Scale Multi-Unit Housing - Rowhouse Dwellings 101.5.2 Boarding, Lodging, or Rooming House 101.5.3 Group Home - Supportive Housing (Category A) 101.5.4 Child Care Facilities 101.5.6 Accessory Use Use-Specific Regulations Boarding Use (up to 2 boarders) - Home Occupations 6.8, 6.8A Urban Agriculture 6.30 Accessory Buildings, Structures, and Uses 101.5.5, 6.6","Home Occupations: permitted use for permitted use home occupations is permitted when Accessory Use, subject to Use-Specific Regulations 6.8, 6.8A."
burnaby_r1_010,review_needed,needs_second_source_consensus,text_candidate_needs_consensus,medium,plausible,0.728,permitted_use,permitted_use_urban_agriculture,Urban Agriculture,permitted,,,"Accessory Use, subject to Use-Specific Regulations 6.30",pipeline5_text_candidate_requires_review,1,burnaby_generic_graph_pack_002__page_0001__local_004,"Principal Use Use-Specific Regulations Small-Scale Multi-Unit Housing - Rowhouse Dwellings 101.5.2 Boarding, Lodging, or Rooming House 101.5.3 Group Home - Supportive Housing (Category A) 101.5.4 Child Care Facilities 101.5.6 Accessory Use Use-Specific Regulations Boarding Use (up to 2 boarders) - Home Occupations 6.8, 6.8A Urban Agriculture 6.30 Accessory Buildings, Structures, and Uses 101.5.5, 6.6","Urban Agriculture: permitted use for permitted use urban agriculture is permitted when Accessory Use, subject to Use-Specific Regulations 6.30."
