rule_id,status,review_action_bucket,review_category,triage_priority,likely_status,likely_correct_score,rule_object,constraint_scope,applies_to,operator,value,unit,condition,support_gaps,source_page,evidence_id,evidence_quote,rule_sentence
vancouver_rs_001,review_needed,needs_second_source_consensus,text_candidate_needs_consensus,medium,plausible,0.749,permitted_use,laneway_house_permitted_use,laneway house,permitted,,,"only in combination with a single detached house, single detached house with secondary suite, or child day care facility, and only on a site that provides vehicular access from the rear of the site",pipeline5_text_candidate_requires_review,8,vancouver_generic_graph_pack_006__page_0008__local_005,"11.3.8.1 A laneway house is only permitted in combination with a single detached house, single detached house with secondary suite, or child day care facility, and only on a site that provides vehicular access from the rear of the site.","laneway house: permitted use for laneway house permitted use is permitted when only in combination with a single detached house, single detached house with secondary suite, or child day care facility, and only on a site that provides vehicular access from the rear of the site."
vancouver_rs_002,review_needed,retry_with_better_evidence,operator_uncertain,low,likely_wrong_or_noise,0.178,building_separation,laneway_house_separation_distance,laneway house,>=,4.9,m,"measured across the width of the site, from the single detached house or single detached house with secondary suite on the site",pipeline5_text_candidate_requires_review; applies_to_not_supported; operator_not_supported; rule_object_not_supported,8,vancouver_generic_graph_pack_006__page_0008__local_015,"(a) 4.9 m, measured across the width of the site, from the single detached house or single detached house with secondary suite on the site;","laneway house: building separation for laneway house separation distance must be at least 4.9 m when measured across the width of the site, from the single detached house or single detached house with secondary suite on the site."
vancouver_rs_003,review_needed,retry_with_better_evidence,operator_uncertain,low,likely_wrong_or_noise,0.175,setback,laneway_house_rear_setback,laneway house,>=,0.9,m,from the ultimate rear property line,pipeline5_text_candidate_requires_review; applies_to_not_supported; operator_not_supported; rule_object_not_supported,8,vancouver_generic_graph_pack_006__page_0008__local_016,(b) 0.9 m from the ultimate rear property line; and,laneway house: setback for laneway house rear setback must be at least 0.9 m when from the ultimate rear property line.
vancouver_rs_004,review_needed,retry_with_better_evidence,operator_uncertain,low,likely_wrong_or_noise,0.197,setback,laneway_house_side_setback,laneway house,>=,1.2,m,from each side property line,upstream_extraction_requested_review; pipeline5_text_candidate_requires_review; applies_to_not_supported; operator_not_supported; rule_object_not_supported,8,vancouver_generic_graph_pack_006__page_0008__local_017,"(c) 1.2 m from each side property line, except that the Director of Planning may reduce this requirement for sites less than 10.1 m in width.",laneway house: setback for laneway house side setback must be at least 1.2 m when from each side property line.
vancouver_rs_005,review_needed,needs_second_source_consensus,text_candidate_needs_consensus,medium,plausible,0.771,permitted_use,vancouver_generic_graph_pack_014__page_0010__local_002__laneway_house_child_day_care,laneway house in combination with a child day care facility,permitted,,,"only if there is only 1 laneway house and 1 child day care facility on the site, and the child day care facility is in a building converted from a single detached house or single detached house with secondary suite containing no other uses",pipeline5_text_candidate_requires_review,10,vancouver_generic_graph_pack_014__page_0010__local_002,11.3.8.11 A laneway house in combination with a child day care facility is only permitted if:,"laneway house in combination with a child day care facility: permitted use for vancouver generic graph pack 014  page 0010  local 002  laneway house child day care is permitted when only if there is only 1 laneway house and 1 child day care facility on the site, and the child day care facility is in a building converted from a single detached house or single detached house with secondary suite containing no other uses."
vancouver_rs_009,review_needed,needs_second_source_consensus,text_candidate_needs_consensus,medium,likely_correct,0.825,permitted_use,11.9.1.2_short_term_rental,short term rental accommodation,permitted,,,"only in a lawful dwelling unit, secondary suite, laneway house, or lock-off unit that is a principal residence unit",pipeline5_text_candidate_requires_review,18,vancouver_generic_graph_pack_022__page_0018__local_010,"11.9.1.2 Short term rental accommodation is only permitted in a lawful dwelling unit, secondary suite, laneway house, or lock-off unit that is a principal residence unit.","short term rental accommodation: permitted use for 11.9.1.2 short term rental is permitted when only in a lawful dwelling unit, secondary suite, laneway house, or lock-off unit that is a principal residence unit."
vancouver_rs_010,review_needed,evidence_packet_repair_candidate,operator_uncertain,low,plausible,0.579,permitted_use,vancouver_generic_graph_pack_011__page_0009__local_020_decks,decks,prohibited,,,above the uppermost level of a laneway house,pipeline5_text_candidate_requires_review; operator_not_supported,9,vancouver_generic_graph_pack_011__page_0009__local_020,11.3.8.10 Decks and roof decks are not permitted above the uppermost level of a laneway house.,decks: permitted use for vancouver generic graph pack 011  page 0009  local 020 decks is claimed when above the uppermost level of a laneway house.
vancouver_rs_011,review_needed,evidence_packet_repair_candidate,operator_uncertain,low,plausible,0.579,permitted_use,vancouver_generic_graph_pack_011__page_0009__local_020_roof_decks,roof decks,prohibited,,,above the uppermost level of a laneway house,pipeline5_text_candidate_requires_review; operator_not_supported,9,vancouver_generic_graph_pack_011__page_0009__local_020,11.3.8.10 Decks and roof decks are not permitted above the uppermost level of a laneway house.,roof decks: permitted use for vancouver generic graph pack 011  page 0009  local 020 roof decks is claimed when above the uppermost level of a laneway house.
vancouver_rs_012,review_needed,retry_with_better_evidence,text_candidate_needs_consensus,medium,plausible,0.764,lot_coverage,computation_basis,"computation of floor area, floor space ratio, yards, site coverage, impermeability, number of buildings on site and dwelling unit density",required,,,"must be based on the site width and area at the time of development, prior to any subdivision into individual freehold rowhouse parcels",pipeline5_text_candidate_requires_review,8,vancouver_generic_graph_pack_007__page_0008__local_002,"11.3.7.1 Computation of floor area, floor space ratio, yards, site coverage, impermeability, number of buildings on site and dwelling unit density must be based on the site width and area at the time of development, prior to any subdivision into individual freehold rowhouse parcels.","computation of floor area, floor space ratio, yards, site coverage, impermeability, number of buildings on site and dwelling unit density: lot coverage for computation basis must be at least  when must be based on the site width and area at the time of development, prior to any subdivision into individual freehold rowhouse parcels."
vancouver_rs_015,review_needed,retry_with_better_evidence,text_candidate_needs_consensus,medium,plausible,0.766,floor_area,laneway_house_floor_area_ratio,floor area,<=,,,"for a laneway house, must not exceed the lesser of 0.25 multiplied by the site area and 186 m2",pipeline5_text_candidate_requires_review,8,vancouver_generic_graph_pack_007__page_0008__local_007,(a) 0.25 multiplied by the site area; and,"floor area: floor area for laneway house floor area ratio must be no more than  when for a laneway house, must not exceed the lesser of 0.25 multiplied by the site area and 186 m2."
