rule_id,city,zone,status,rule_object,constraint_type,constraint_scope,applies_to,operator,value,unit,condition,exception,source_page,evidence_id,evidence_quote,rule_sentence
calgary_rcg_004,Calgary,RCG,verified,setback,minimum,setback,side property line shared with another parcel,>=,3.0,m,main residential building on a corner parcel,,470,m4_pack_0002_ev_001,minimum building setback from the side property line shared with another parcel is 3.0 metres,side property line shared with another parcel: setback for setback must be at least 3.0 m when main residential building on a corner parcel.
calgary_rcg_006,Calgary,RCG,verified,setback,minimum,setback,Backyard Suite,>=,1.5,m,rear property line,,395,m4_pack_0003_ev_001,minimum building setback from a rear property line is: (a) 1.5 metres for any portion of the building used as a Backyard Suite,Backyard Suite: setback for setback must be at least 1.5 m when rear property line.
calgary_rcg_008,Calgary,RCG,verified,setback,minimum,setback,Backyard Suite,>=,0.6,m,into a setback area from a property line shared with a street or a lane,,396,m4_pack_0006_ev_001,into a setback area from a property line shared with a street or a lane to a minimum building setback of 0.6 metres,Backyard Suite: setback for setback must be at least 0.6 m when into a setback area from a property line shared with a street or a lane.
calgary_rcg_012,Calgary,RCG,verified,height,maximum,height,Backyard Suite,<=,7.5,m,,,396,m4_pack_0009_ev_001,the maximum building height for a Backyard Suite is 7.5 metres.,Backyard Suite: height for height must be no more than 7.5 m.
calgary_rcg_013,Calgary,RCG,verified,setback,minimum,setback,side property line,>=,1.2,m,,,471,m4_pack_0013_ev_001,A minimum building setback of 1.2 metres is required from a side property line,side property line: setback for setback must be at least 1.2 m.
calgary_rcg_020,Calgary,RCG,verified,building_separation,minimum,building_separation,between the closest façade of the main residential building to the closest façade of a Backyard Suite,>=,5.0,m,,,396,m4_pack_0018_ev_001,a minimum separation of 5.0 metres is required between the closest façade of the main residential building to the closest façade of a Backyard Suite.,between the closest façade of the main residential building to the closest façade of a Backyard Suite: building separation for building separation must be at least 5.0 m.
calgary_rcg_026,Calgary,RCG,verified,lot_coverage,maximum,lot_coverage,all other uses,<=,45.0,%,,,470,m4_pack_0023_ev_001,the maximum parcel coverage is 45.0 percent.,all other uses: lot coverage for lot coverage must be no more than 45.0 %.
calgary_rcg_028,Calgary,RCG,verified,building_separation,minimum,building_separation,main residential buildings,>=,6.5,m,on a laned parcel,,470,bundle::calgary_rcg_028,[m4_pack_0027_ev_001] minimum separation distance of the main residential buildings on the front portion of the parcel and the main residential buildings contained on the rear portion of the parcel is 6.5 metres,main residential buildings: building separation for building separation must be at least 6.5 m when on a laned parcel.
calgary_rcg_055,Calgary,RCG,verified,height,maximum,height,building,<=,11.0,m,,,472,m4_pack_0046_ev_001,the maximum building height is 11.0 metres measured from grade.,building: height for height must be no more than 11.0 m.
calgary_rcg_056,Calgary,RCG,verified,height,maximum,height,main residential building,<=,8.6,m,"not located on a corner parcel, for any portion of a main residential building located between the rear property line and 60.0 per cent parcel depth or the contextual building depth average",,473,m4_pack_0047_ev_001,the maximum building height 56P2022 is 8.6 metres for any portion of a main residential building,"main residential building: height for height must be no more than 8.6 m when not located on a corner parcel, for any portion of a main residential building located between the rear property line and 60.0 per cent parcel depth or the contextual building depth average."
calgary_rcg_064,Calgary,RCG,verified,setback,minimum,setback,private garage attached to a main residential building,>=,0.6,m,on a laned parcel,,472,bundle::calgary_rcg_064,[m4_pack_0055_ev_001] on a laned parcel the minimum building setback from a side property line for a private garage attached to a main residential building is 0.6 metres.,private garage attached to a main residential building: setback for setback must be at least 0.6 m when on a laned parcel.
calgary_rcg_067,Calgary,RCG,verified,setback,minimum,setback,side property line,>=,3.0,m,,,470,bundle::calgary_rcg_067,"[m4_pack_0002_ev_001] minimum building setback from the side property line shared with another parcel is 3.0 metres
[m4_pack_0002_ev_002] 50.0 per cent parcel depth",side property line: setback for setback must be at least 3.0 m.
calgary_rcg_069,Calgary,RCG,verified,setback,minimum,setback,building,>=,1.2,m,laned or corner parcel,,472,m4_pack_0067_ev_001,the minimum building setback from a rear property line is 1.2 metres,building: setback for setback must be at least 1.2 m when laned or corner parcel.
calgary_rcg_073,Calgary,RCG,verified,setback,minimum,setback,side property line shared with a street,>=,0.6,m,corner parcel,,471,m4_pack_0070_ev_001,the minimum building setback from a side property line shared with a street is 0.6 metres.,side property line shared with a street: setback for setback must be at least 0.6 m when corner parcel.
calgary_rcg_074,Calgary,RCG,verified,setback,minimum,setback,rear property line,>=,7.5,m,,,472,m4_pack_0071_ev_001,the minimum building setback from a rear property line is 7.5 metres.,rear property line: setback for setback must be at least 7.5 m.
calgary_rcg_079,Calgary,RCG,verified,height,maximum,height,Backyard Suite,<=,5.0,m,measured from grade at a side property line shared with a parcel designated with a low density residential district,,396,m4_pack_0001_v3_clause_ev_001,(4.1) The maximum building height for a Backyard Suite is: 5.0 metres measured from grade at a side property line shared with a parcel designated with a low density residential district,Backyard Suite: height for height must be no more than 5.0 m when measured from grade at a side property line shared with a parcel designated with a low density residential district.
calgary_rcg_081,Calgary,RCG,verified,setback,minimum,front setback,"Duplex Dwelling, Semi-detached Dwelling or Single Detached Dwelling",>=,6.0,m,Developed Area and R-C1L or R-C1Ls districts,,398,m4_pack_0007_v3_clause_ev_003,"The building setback from the front property line for a Duplex Dwelling, Semi-detached Dwelling or Single Detached Dwelling in the Developed Area is deemed to conform with the requirements of this Bylaw if the building setback from the front property line is a minimum of 6.0 metres for the R-C1L or R-C1Ls districts","Duplex Dwelling, Semi-detached Dwelling or Single Detached Dwelling: setback for front setback must be at least 6.0 m when Developed Area and R-C1L or R-C1Ls districts."
calgary_rcg_082,Calgary,RCG,verified,building_separation,minimum,building_separation,Backyard Suite,>=,5.0,m,between the closest façade of the main residential building to the closest façade of a Backyard Suite. 10P2019,,396,m4_pack_0018_v3_clause_ev_004,"(3) Unless otherwise referenced in subsections (3.1) and (3.2), a minimum separation of 5.0 metres is required between the closest façade of the main residential building to the closest façade of a Backyard Suite. 10P2019",Backyard Suite: building separation for building separation must be at least 5.0 m when between the closest façade of the main residential building to the closest façade of a Backyard Suite. 10P2019.
calgary_rcg_083,Calgary,RCG,verified,floor_area,maximum,floor_area,Secondary Suite,<=,100.0,m2,"(a) in the R-C1L, R-C1Ls, R-C1, R-C1s, R-C1N, R-1, R-1s and 24P2018 R-1N Districts; or (b) when located on a parcel with a parcel width less than 13.0 metres",excluding any area covered by stairways and landings,395,m4_pack_0020_v3_clause_ev_005,"(2) Except as otherwise stated in subsections (2.1) and (3), the maximum 23P2016 floor area of a Secondary Suite, excluding any area covered by stairways and landings, is 100.0 square metres: (a) in the R-C1L, R-C1Ls, R-C1, R-C1s, R-C1N, R-1, R-1s and 24P2018 R-1N Districts; or (b) when located on a parcel with a parcel width less than 13.0 metres","Secondary Suite: floor area for floor area must be no more than 100.0 m2 when (a) in the R-C1L, R-C1Ls, R-C1, R-C1s, R-C1N, R-1, R-1s and 24P2018 R-1N Districts; or (b) when located on a parcel with a parcel width less than 13.0 metres."
calgary_rcg_084,Calgary,RCG,verified,floor_area,maximum,floor_area,Backyard Suite,<=,75.0,m2,,excluding any area covered by stairways and internal landings not exceeding 2.5 square metres,396,m4_pack_0021_v3_clause_ev_006,"(5) The maximum floor area of a Backyard Suite, excluding any area covered by stairways and internal landings not exceeding 2.5 square metres, is 75.0 square metres",Backyard Suite: floor area for floor area must be no more than 75.0 m2.
