rule_id,status,review_action_bucket,review_category,triage_priority,likely_status,likely_correct_score,rule_object,constraint_scope,applies_to,operator,value,unit,condition,support_gaps,source_page,evidence_id,evidence_quote,rule_sentence
vancouver_rs_001,review_needed,evidence_packet_repair_candidate,operator_uncertain,low,plausible,0.598,floor_area,computation_basis,site,,,,,pipeline5_text_candidate_requires_review; operator_not_supported,8.0,vancouver_section_11_2026_02__11_3_7_1__0008__unit_001__ev_text_002,"11.3.7.1 Computation of floor area, floor space ratio, yards, site coverage, impermeability, number of buildings on site and dwelling unit density must be based on the site width and area at the time of development, prior to any subdivision into individual freehold rowhouse parcels.",site: floor area for computation basis is claimed.
vancouver_rs_003,review_needed,retry_with_better_evidence,operator_uncertain,low,weak,0.421,permitted_use,,Laneway House,allowed,,,,pipeline5_text_candidate_requires_review; constraint_scope_not_supported; operator_not_supported,8.0,vancouver_section_11_2026_02__11_3_7_1__0008__unit_001__ev_text_004,11.3.8 Laneway House,Laneway House: permitted use is permitted.
vancouver_rs_005,review_needed,retry_with_better_evidence,text_candidate_needs_consensus,medium,likely_correct,0.931,floor_area,,laneway house,<=,,,,pipeline5_text_candidate_requires_review,8.0,vancouver_section_11_2026_02__11_3_7_1__0008__unit_001__ev_heading_plus_clause_004_2,11.3.8 Laneway House | 11.3.8.2 The floor area for a laneway house must not exceed the lesser of:,laneway house: floor area must be no more than.
vancouver_rs_009,review_needed,retry_with_better_evidence,operator_uncertain,low,likely_wrong_or_noise,0.106,floor_area,total,laneway house,<=,186,sq. m,,pipeline5_text_candidate_requires_review; applies_to_not_supported; constraint_scope_not_supported; operator_not_supported; rule_object_not_supported,8.0,vancouver_section_11_2026_02__11_3_7_1__0008__unit_001__ev_text_008,(b) 186 sq. m .,laneway house: floor area for total must be no more than 186 sq. m.
vancouver_rs_016,review_needed,upstream_candidate_issue,possible_rule_object_mismatch,low,plausible,0.561,building_separation,separation_from_main_house,laneway house,>=,4.9,m,,pipeline5_text_candidate_requires_review; rule_object_not_supported,8.0,vancouver_section_11_2026_02__11_3_7_1__0008__unit_001__ev_heading_plus_clause_014_1,"11.3.8.6 A laneway house must be at least: | (a) 4.9 m, measured across the width of the site, from the single detached house or single detached house with secondary suite on the site;",laneway house: building separation for separation from main house must be at least 4.9 m.
vancouver_rs_017,review_needed,upstream_candidate_issue,possible_rule_object_mismatch,low,plausible,0.563,setback,rear_yard,laneway house,>=,0.9,m,,pipeline5_text_candidate_requires_review; rule_object_not_supported,8.0,vancouver_section_11_2026_02__11_3_7_1__0008__unit_001__ev_heading_plus_clause_014_2,11.3.8.6 A laneway house must be at least: | (b) 0.9 m from the ultimate rear property line; and,laneway house: setback for rear yard must be at least 0.9 m.
vancouver_rs_018,review_needed,retry_with_better_evidence,operator_uncertain,low,likely_wrong_or_noise,0.203,building_separation,separation_from_main_house,laneway house,>=,4.9,m,measured across the width of the site,pipeline5_text_candidate_requires_review; applies_to_not_supported; operator_not_supported; rule_object_not_supported,8.0,vancouver_section_11_2026_02__11_3_7_1__0008__unit_001__ev_text_015,"(a) 4.9 m, measured across the width of the site, from the single detached house or single detached house with secondary suite on the site;",laneway house: building separation for separation from main house must be at least 4.9 m when measured across the width of the site.
vancouver_rs_019,review_needed,retry_with_better_evidence,operator_uncertain,low,likely_wrong_or_noise,0.2,setback,rear_yard,laneway house,>=,0.9,m,,pipeline5_text_candidate_requires_review; applies_to_not_supported; operator_not_supported; rule_object_not_supported,8.0,vancouver_section_11_2026_02__11_3_7_1__0008__unit_001__ev_text_016,(b) 0.9 m from the ultimate rear property line; and,laneway house: setback for rear yard must be at least 0.9 m.
vancouver_rs_020,review_needed,upstream_candidate_issue,operator_uncertain,low,likely_wrong_or_noise,0.197,setback,side_yard,laneway house,>=,1.2,m,,pipeline5_text_candidate_requires_review; applies_to_not_supported; operator_not_supported; rule_object_not_supported,8.0,vancouver_section_11_2026_02__11_3_7_1__0008__unit_001__ev_text_017,"(c) 1.2 m from each side property line, except that the Director of Planning may reduce this requirement for sites less than 10.1 m in width.",laneway house: setback for side yard must be at least 1.2 m.
vancouver_rs_024,review_needed,retry_with_better_evidence,text_candidate_needs_consensus,medium,likely_correct,0.836,floor_area,computation,laneway house,allowed,,,,pipeline5_text_candidate_requires_review,9.0,vancouver_section_11_2026_02__11_3_8_8__0009__unit_001__ev_text_002,11.3.8.8 Computation of floor area for a laneway house must include:,laneway house: floor area for computation is permitted.
